temples_min_dist_m,other_min_dist_m,alcohol,beer,breakfast,cash_only,casual,category,city,coffee,delivery,dine_in,dinner,family_friendly,lat,lng,lunch,main_category,name,permanentlyClosed,place_id,rank,rating,rating.1,reviews_count,reviewsDistribution_oneStar,reviewsDistribution_twoStar,reviewsDistribution_threeStar,reviewsDistribution_fourStar,reviewsDistribution_fiveStar,takeout,temporarilyClosed,title,tourists,vegetarian,weekly_hours,wheelchair_accessible_entrance,wifi,banks_count_1km,banks_weight_1km,banks_category_weight,education_count_1km,education_weight_1km,education_category_weight,health_count_1km,health_weight_1km,health_category_weight,temples_count_1km,temples_weight_1km,temples_category_weight,other_count_1km,other_weight_1km,other_category_weight,poi_composite_score
119.5772368,63.15140825,0,0,0,0,1,Coffee shop,Bhaktapur,1,0,0,0,0,27.6760317,85.4325788,0,Coffee shop,à¤¶à¥à¤¯à¤¾à¤® à¤à¤¿à¤¯à¤¾ à¤ªà¤¸à¤²,0,ChIJTxWVs2wb6zkR2nZG2O3CSfE,40,0,3.9,587,0,12,153,315,107,1,0,à¤¶à¥à¤¯à¤¾à¤® à¤à¤¿à¤¯à¤¾ à¤ªà¤¸à¤²,0,0,98,0,0,33,102.3,1,94,119.8,0.8,94,228.4,0.9,212,758.6,0.6,88,228,0.5,2.571269662
72.4380222,271.3028303,0,0,0,0,1,Coffee shop,Suryabinayak,1,0,0,0,0,27.6620794,85.4220969,0,Coffee shop,Twayana Nasa: Chhe,0,ChIJ-97B2xgb6zkRWOWWMMbU85Q,16,5,4,583,0,8,129,317,129,1,0,Twayana Nasa: Chhe,0,0,77,0,0,25,62.4,1,68,110.9,0.8,54,146.5,0.9,40,107.5,0.6,28,71,0.5,1.345530033
25.68607525,138.9146902,0,0,0,0,1,Dessert restaurant,Bhaktapur,0,0,0,0,0,27.6727945,85.431531,0,Dessert restaurant,Madhikarmi JuJu Dhau Center,0,ChIJ50RMEq4a6zkR_RR7NVxe0yU,5,4.5,4.7,487,0,0,22,191,274,1,0,Madhikarmi JuJu Dhau Center,0,0,91,0,0,49,157.6,1,124,165.2,0.8,127,318.3,0.9,228,796.1,0.6,103,272.7,0.5,3.388111387
227.3253438,189.2869429,0,0,0,0,1,Pizza restaurant,Suryabinayak,0,0,1,0,0,27.6633687,85.4237219,0,Pizza restaurant,Peace Heart Zone,0,ChIJCT3RuKIb6zkRCZz1oOlw4eE,30,0,4.7,449,0,1,20,176,252,1,0,Peace Heart Zone,0,0,98,0,0,31,77.4,1,90,142.9,0.8,81,213.5,0.9,81,259.3,0.6,33,85.8,0.5,1.855249547
231.6786914,348.7328263,1,1,0,0,1,Cafe,Changunarayan,1,0,1,0,0,27.6972587,85.4493306,0,Cafe,Pikhel Snooker and Pool House,0,ChIJ3wHIXdMF6zkRph1aQYGzUsM,23,0,4.8,444,0,0,15,158,271,0,0,Pikhel Snooker and Pool House,0,0,91,0,0,0,0,1,4,0,0.8,0,0,0.9,14,17.6,0.6,5,12.5,0.5,0.035357796
37.71143673,67.74555133,1,1,0,0,1,Bar,Bhaktapur,0,0,1,0,0,27.6702897,85.4285822,0,Bar,Tas-ka Bar,0,ChIJGYARj7Ub6zkRNTdYENeSh58,12,4.1,4,438,0,6,97,238,97,1,0,Tas-ka Bar,0,0,77,0,0,51,150.6,1,134,183,0.8,129,335.9,0.9,224,791.9,0.6,96,253.5,0.5,3.421165594
177.9884295,64.97188741,0,0,0,0,1,Chinese restaurant,Suryabinayak,0,0,1,0,0,27.670709,85.4092365,0,Chinese restaurant,Sukul Dhoka ko Michael Momo,0,ChIJI8PY--Yb6zkRxywH9oI0OOM,34,3.5,4.7,402,0,0,18,158,226,1,0,Sukul Dhoka ko Michael Momo,0,0,77,0,0,8,17.7,1,50,95.6,0.8,41,101.6,0.9,14,37.2,0.6,27,56.4,0.5,0.842332016
95.15753609,90.74064119,0,0,0,0,0,Tea house,Madhyapur Thimi,0,0,1,0,0,27.6729299,85.3863708,0,Tea house,Ghar Tea and Bites Since 2081,0,ChIJV5-TUAAb6zkRupy6GBOJkzc,15,4.8,3.9,385,0,8,101,206,70,1,0,Ghar Tea and Bites Since 2081,0,0,98,0,0,15,42.1,1,1,5,0.8,6,21.7,0.9,107,382.6,0.6,31,95.9,0.5,0.771425747
53.98908964,64.75828263,0,0,0,0,1,Fast food restaurant,Bhaktapur,0,0,1,0,0,27.6742943,85.4046743,0,Fast food restaurant,Antarikshya Stick Food,0,ChIJ7YVcRwAb6zkRZCwkdppgHCk,15,0,3.9,380,0,8,99,204,69,1,0,Antarikshya Stick Food,0,0,98,0,0,15,44.3,1,43,86.6,0.8,41,104.1,0.9,15,50.8,0.6,24,68.2,0.5,0.998491087
170.6408802,200.2796479,0,0,0,0,1,Restaurant,Suryabinayak,0,0,1,0,0,27.6630064,85.4232512,0,Restaurant,Kumpakha khaja ghar & Mini Party palace,0,ChIJAVrEWgAb6zkRlA4thxwvGOI,28,4,4.7,377,0,0,17,148,212,0,0,Kumpakha khaja ghar & Mini Party palace,0,0,98,0,0,30,74,1,82,134,0.8,79,209,0.9,66,197.3,0.6,31,78.8,0.5,1.731443736
636.0131882,400.8683586,0,0,0,1,1,Cafe,Suryabinayak,1,0,1,0,0,27.6483017,85.4489812,0,Cafe,Grocery shop,0,ChIJlxchde8P6zkRYSGgsBIrtWo,13,4,4.3,346,0,2,42,178,124,1,0,Grocery shop,0,0,84,0,0,1,5,1,3,0,0.8,1,0,0.9,8,16.5,0.6,5,5,0.5,0.050199744
61.39429898,51.18626762,1,1,1,0,1,Family restaurant,Changunarayan,1,1,1,1,1,27.6776181,85.4075666,1,Family restaurant,Old Town Food: Best Late-Night Food in Bhaktapur,0,ChIJ4Rmjn8Eb6zkRB_ltBQDlPXU,14,4.1,4.1,344,0,4,63,186,91,1,0,Old Town Food: Best Late-Night Food in Bhaktapur,1,1,121,0,1,13,38.8,1,43,91.6,0.8,43,110.1,0.9,16,52.1,0.6,20,48.8,0.5,0.966814633
85.28871674,95.15982954,1,1,0,0,1,Fast food restaurant,Madhyapur Thimi,0,0,1,0,0,27.6838397,85.3868701,0,Fast food restaurant,Lwaka Baka,0,ChIJWS0_qSEb6zkRVCABavCFVqw,3,4.7,4.1,336,0,3,62,182,89,1,0,Lwaka Baka,0,0,94.5,0,0,16,51,1,1,0,0.8,5,14.8,0.9,120,407.8,0.6,24,65.2,0.5,0.751666554
77.91222318,95.62367305,0,0,0,0,1,Restaurant,Bhaktapur,0,0,1,1,0,27.6662604,85.4234316,1,Restaurant,Kyodong Laphing and Fast Food,0,ChIJEUMzZzgb6zkRrOvvHIoDYpo,16,4,4,334,0,5,74,181,74,1,0,Kyodong Laphing and Fast Food,0,0,91,0,0,35,88.7,1,108,169.8,0.8,105,278.2,0.9,132,462,0.6,71,175.7,0.5,2.489608486
230.1233063,122.9957299,0,0,0,0,0,Restaurant,Bhaktapur,0,0,0,0,0,27.6659531,85.4345625,0,Restaurant,Center Momo & Burger House,0,ChIJ5Y32S6Ya6zkRnPvXdJMTrMY,40,4.3,4.3,316,0,1,39,163,113,0,1,Center Momo & Burger House,0,0,70,0,0,37,114.4,1,89,151,0.8,76,219.1,0.9,177,642.2,0.6,44,128.7,0.5,2.477326083
2.629673567,96.59679325,0,0,0,0,1,Coffee shop,Bhaktapur,1,0,1,0,0,27.67151,85.4216859,0,Coffee shop,Shova Coffee Shop,0,ChIJo3m2ZKMa6zkRx2AXNDv-B94,15,3.2,4.3,311,0,1,38,160,112,1,0,Shova Coffee Shop,0,0,98,0,0,41,106.6,1,99,165.2,0.8,105,276.7,0.9,125,425,0.6,79,187.7,0.5,2.565449878
0,78.68127073,0,0,1,0,1,Restaurant,pilotbaba,1,0,1,1,0,27.6401489,85.4226591,1,Restaurant,watanabe cafe,0,ChIJzcJXz_sR6zkR-6cOe-25nrk,21,0,3.6,311,0,17,121,144,29,1,0,watanabe cafe,0,0,168,0,0,0,0,1,2,4.6,0.8,0,0,0.9,14,52.9,0.6,8,22.5,0.5,0.097424572
157.3394331,150.0911362,0,0,0,0,1,Coffee shop,Mahamanjushree Nagarkot,1,0,1,0,0,27.6818551,85.4550173,1,Coffee shop,RFC,0,ChIJV0DXvK4F6zkRnYwPcEGKROg,20,0,4.3,300,0,1,37,154,108,1,0,RFC,0,0,98,0,0,0,0,1,5,0,0.8,1,0,0.9,6,13.6,0.6,12,33.5,0.5,0.069608044
115.1718962,43.32941094,1,1,0,0,1,Sports bar,Bhaktapur,0,0,1,0,0,27.6734257,85.3744307,0,Sports bar,The Red Triangle Snooker & Bar,0,ChIJB-CTJpEb6zkRgBO9h_DMAkQ,19,5,3.8,288,0,8,87,150,43,0,0,The Red Triangle Snooker & Bar,0,0,98,0,0,26,82.4,1,1,4.6,0.8,3,14,0.9,33,100.1,0.6,24,71.7,0.5,0.730564221
13.65287573,60.89978971,0,0,0,0,0,Asian restaurant,Bhaktapur,0,0,0,0,0,27.6733506,85.4351605,0,Asian restaurant,Travellers Bistro,0,ChIJz6eBSQAb6zkRTEtatxOaKWw,112,0,4.7,273,0,0,12,107,154,0,0,Travellers Bistro,0,0,105,0,0,37,120.6,1,97,124.8,0.8,89,231.2,0.9,218,787.6,0.6,85,230.4,0.5,2.729337726
193.7205445,66.69687019,0,0,0,0,1,Coffee shop,Bhaktapur,1,1,1,0,1,27.664202,85.4217985,1,Coffee shop,CafÃ©:In,0,ChIJ7Z2XjEwb6zkRd5jpjRqZTrE,4,4.8,4.5,271,0,0,21,125,125,1,0,CafÃ©:In,1,0,74.75,0,1,31,77.4,1,84,139.8,0.8,87,226.4,0.9,70,211.1,0.6,44,103.7,0.5,1.86933844
295.7809698,193.4266394,0,0,1,0,1,Cafe,Suryabinayak,1,0,1,0,0,27.6698033,85.4105413,0,Cafe,SUZZANE FOOD CAFE,0,ChIJac7ehNwb6zkR40PzpA-bkSY,32,1,4.8,268,0,0,9,95,164,1,0,SUZZANE FOOD CAFE,0,0,105,0,0,7,15.4,1,54,105.6,0.8,42,98.1,0.9,19,50.7,0.6,30,60.7,0.5,0.877344398
50.94182193,47.14977973,0,0,0,0,0,Restaurant,Bhaktapur,0,0,1,0,0,27.6710646,85.4217254,0,Restaurant,The Burger House And Crunchy Fried Chicken,0,ChIJ9WLXZgAb6zkRuet6V6a195E,6,5,3.4,255,1,23,118,99,14,1,0,The Burger House And Crunchy Fried Chicken,0,0,87.5,0,0,42,109.9,1,102,165.2,0.8,106,281.7,0.9,130,438,0.6,78,187.7,0.5,2.606132925
