temples_min_dist_m,other_min_dist_m,alcohol,beer,breakfast,cash_only,casual,category,city,coffee,delivery,dine_in,dinner,family_friendly,lat,lng,lunch,main_category,name,permanentlyClosed,place_id,rank,rating,rating.1,reviews_count,reviewsDistribution_oneStar,reviewsDistribution_twoStar,reviewsDistribution_threeStar,reviewsDistribution_fourStar,reviewsDistribution_fiveStar,takeout,temporarilyClosed,title,tourists,vegetarian,weekly_hours,wheelchair_accessible_entrance,wifi,banks_count_1km,banks_weight_1km,banks_category_weight,education_count_1km,education_weight_1km,education_category_weight,health_count_1km,health_weight_1km,health_category_weight,temples_count_1km,temples_weight_1km,temples_category_weight,other_count_1km,other_weight_1km,other_category_weight,poi_composite_score,score_rating,score_rating.1,score_reviews_count,score_reviewsDistribution_oneStar,score_reviewsDistribution_twoStar,score_reviewsDistribution_threeStar,score_reviewsDistribution_fourStar,score_reviewsDistribution_fiveStar,score_takeout,score_temporarilyClosed,score_title,score_tourists,score_vegetarian,score_weekly_hours,score_wheelchair_accessible_entrance,score_wifi,score_banks_count_1km,score_banks_weight_1km,score_banks_category_weight,score_education_count_1km,score_education_weight_1km,score_education_category_weight,score_health_count_1km,score_health_weight_1km,score_health_category_weight,score_temples_count_1km,score_temples_weight_1km,score_temples_category_weight,score_other_count_1km,score_other_weight_1km,score_other_category_weight,score_poi_composite_score,raw_score,success_score,success_rank
25.68607525,138.9146902,0,0,0,0,1,Dessert restaurant,Bhaktapur,0,0,0,0,0,27.6727945,85.431531,0,Dessert restaurant,Madhikarmi JuJu Dhau Center,0,ChIJ50RMEq4a6zkR_RR7NVxe0yU,5,4.5,4.7,487,0,0,22,191,274,1,0,Madhikarmi JuJu Dhau Center,0,0,91,0,0,49,157.6,1,124,165.2,0.8,127,318.3,0.9,228,796.1,0.6,103,272.7,0.5,3.388111387,3.6,0.925,1.934403474684489,1,0.3,0.071895425,0.482018927,1.2,0.4,2,0,0,0,0.24836601307189543,0,0,0.19436925297395288,0.09824757,0.1,0.1951322692656781,0.09590078,0.1,0.1949885412820858,0.097001503,0.1,0.099761043,0.04995604,0.05,0.099391419,0.049707172,0.05,1.3562045791109882,15.092344009751086,100,1
25.14489358,98.56781951,1,1,1,0,1,Bar,Bhaktapur,1,1,1,1,0,27.6707963,85.4288518,1,Bar,The Garuda Bar,0,ChIJ__8_CK8a6zkRYpBaL7b1-_g,9,4.2,4.4,197,0,1,19,96,81,1,0,The Garuda Bar,1,1,91,1,1,50,149.4,1,134,182.7,0.8,130,340.9,0.9,227,798.9,0.6,98,256.7,0.5,3.435790885,3.3600000000000003,0.8500000000000001,1.6169808600350621,1,0.28846153846153844,0.062091503,0.24227129337539433,0.3547445255474453,0.4,2,0,0.2,0.2,0.24836601307189543,0.6,0.6,0.1953531484850834,0.097218107,0.1,0.1982425855000851,0.097778439,0.1,0.1959195558985224,0.098151956,0.1,0.099680694,0.049982260129287935,0.05,0.098337003,0.049173642,0.05,1.3752898883382534,14.978043012785847,99.01194825693366,2
193.7205445,66.69687019,0,0,0,0,1,Coffee shop,Bhaktapur,1,1,1,0,1,27.664202,85.4217985,1,Coffee shop,Caf̩:In,0,ChIJ7Z2XjEwb6zkRd5jpjRqZTrE,4,4.8,4.5,271,0,0,21,125,125,1,0,Caf̩:In,1,0,74.75,0,1,31,77.4,1,84,139.8,0.8,87,226.4,0.9,70,211.1,0.6,44,103.7,0.5,1.86933844,3.84,0.875,1.7287185495195003,1,0.3,0.068627451,0.3154574132492114,0.5474452554744526,0.4,2,0,0.2,0,0.19526143790849673,0,0.6,0.1721954337940981,0.084584684,0.1,0.1795460420348187,0.092790143,0.1,0.179930736,0.091291557,0.1,0.078261161,0.040056607,0.05,0.081463769,0.041195944192503935,0.05,0.7482650546743053,14.260091238234763,92.80576002483545,3
72.4380222,271.3028303,0,0,0,0,1,Coffee shop,Suryabinayak,1,0,0,0,0,27.6620794,85.4220969,0,Coffee shop,Twayana Nasa: Chhe,0,ChIJ-97B2xgb6zkRWOWWMMbU85Q,16,5,4,583,0,8,129,317,129,1,0,Twayana Nasa: Chhe,0,0,77,0,0,25,62.4,1,68,110.9,0.8,54,146.5,0.9,40,107.5,0.6,28,71,0.5,1.345530033,4,0.75,1.9975980050074689,1,0.20769230769230768,0.4215686274509804,0.8,0.564963504,0.4,2,0,0,0,0.20261437908496732,0,0,0.16187885125766274,0.080466588,0.1,0.1711178799694686,0.088481338,0.1,0.16104269959531298,0.084009335,0.1,0.068179753,0.035044481,0.05,0.072061185,0.037879498,0.05,0.5385932703061863,14.243191701302239,92.65967541169537,4
37.71143673,67.74555133,1,1,0,0,1,Bar,Bhaktapur,0,0,1,0,0,27.6702897,85.4285822,0,Bar,Tas-ka Bar,0,ChIJGYARj7Ub6zkRNTdYENeSh58,12,4.1,4,438,0,6,97,238,97,1,0,Tas-ka Bar,0,0,77,0,0,51,150.6,1,134,183,0.8,129,335.9,0.9,224,791.9,0.6,96,253.5,0.5,3.421165594,3.28,0.75,1.8971677897430865,1,0.23076923076923073,0.31699346405228757,0.6006309148264984,0.4248175182481752,0.4,2,0,0,0,0.20261437908496732,0,0,0.19631793801648234,0.097372216,0.1,0.1982425855000851,0.097809043,0.1,0.19561160802981276,0.097904122,0.1,0.099437517,0.049916537,0.05,0.097900247,0.049062968197750176,0.05,1.3694356278493167,14.052003707563426,91.00698964794445,5
8.152659258,44.43711709,0,0,0,1,0,Restaurant,Bhaktapur,0,0,0,0,0,27.6714191,85.4293764,0,Restaurant,Temple Terrace Restaurant,0,ChIJA0i3UdEb6zkRfj28qirdY8I,8,5,4.7,27,0,0,1,11,15,1,0,Temple Terrace Restaurant,0,0,63,1,1,50,149.5,1,138,192.5,0.8,140,368.8,0.9,227,794.9,0.6,104,273.7,0.5,3.567595807,4,0.925,0.9286602590785803,1,0.3,0.003267974,0.027760252,0.065693431,0.4,2,0,0,0,0.1568627450980392,0.6,0.6,0.1953531484850834,0.097230996,0.1,0.19942264496302387,0.098753231,0.1,0.19887581480182626,0.099471591,0.1,0.099680694,0.049944775,0.05,0.099596209,0.049739474,0.05,1.4280492041776434,14.023362442845269,90.75940605480217,6
61.67772608,102.6608232,0,0,0,0,1,Cafe,Suryabinayak,1,0,0,0,0,27.6675974,85.4265822,0,Cafe,Bhajyapukhu Cafe Outlet,0,ChIJ4QeeamEb6zkR53LQ9ctDIAc,35,5,4.9,163,0,0,4,52,107,1,0,Bhajyapukhu Cafe Outlet,0,0,84,0,0,45,127.9,1,122,183.6,0.8,119,301.2,0.9,182,630.3,0.6,88,226.8,0.5,3.041489204,4,0.9750000000000001,1.5506844023155801,1,0.3,0.013071895424836602,0.13123028391167194,0.4686131386861314,0.4,2,0,0,0,0.22549019607843138,0,0,0.1902264294223629,0.094226661,0.1,0.19448041375895833,0.097870103,0.1,0.19239493171895167,0.096075551,0.1,0.095644159,0.04821233,0.05,0.096058224,0.048081295,0.05,1.217457490213687,13.834817503055152,89.12956763385985,7
24.6059321,47.42478138,1,1,1,1,1,Restaurant,Bhaktapur,1,0,1,1,1,27.6728194,85.4293616,1,Restaurant,Balakhu Food Point,0,ChIJQfID2GEb6zkR84BOg7l8t9o,8,4.8,3.4,21,0,2,10,8,1,1,0,Balakhu Food Point,1,1,82.25,1,1,50,152.5,1,133,198.1,0.8,127,326.7,0.9,227,789.9,0.6,103,270.5,0.5,3.497770381,3.84,0.6,0.8437975258403658,1,0.27692307692307694,0.032679738562091505,0.020189274,0.004379562,0.4,2,0,0.2,0.2,0.21977124183006536,0.6,0.6,0.1953531484850834,0.097613746,0.1,0.1979421070508488,0.099288322,0.1,0.1949885412820858,0.097438344,0.1,0.099680694,0.049897652528091155,0.05,0.099391419,0.049635689,0.05,1.4000992486824004,13.819069332483826,88.99343577327916,8
13.84275095,73.97007471,0,0,1,0,1,Restaurant,Bhaktapur,1,1,1,1,1,27.6713645,85.4213097,1,Restaurant,Taboche Restaurant and coffee shop,0,ChIJX2X55PAb6zkRxU85igeUexI,5,4.6,4.6,111,0,0,7,47,57,1,0,Taboche Restaurant and coffee shop,1,0,91,1,0,39,98.7,1,98,165.5,0.8,104,270.7,0.9,123,415.7,0.6,79,187.7,0.5,2.499689335,3.6799999999999997,0.8999999999999999,1.416484629587598,1,0.3,0.022875817,0.11861198738170348,0.24963503649635035,0.4,2,0,0.2,0,0.24836601307189543,0.6,0,0.1832823433840255,0.089245402,0.1,0.1857079329740302,0.095934604,0.1,0.1870287056142143,0.094285782,0.1,0.088498513,0.045106128,0.05,0.093776742,0.046413389543600414,0.05,1.0005840231491483,13.645837049281091,87.49596450077685,9
61.39429898,51.18626762,1,1,1,0,1,Family restaurant,Changunarayan,1,1,1,1,1,27.6776181,85.4075666,1,Family restaurant,Old Town Food: Best Late-Night Food in Bhaktapur,0,ChIJ4Rmjn8Eb6zkRB_ltBQDlPXU,14,4.1,4.1,344,0,4,63,186,91,1,0,Old Town Food: Best Late-Night Food in Bhaktapur,1,1,121,0,1,13,38.8,1,43,91.6,0.8,43,110.1,0.9,16,52.1,0.6,20,48.8,0.5,0.966814633,3.28,0.7749999999999999,1.812377919306681,1,0.25384615384615383,0.20588235294117646,0.46940063091482653,0.39854014598540144,0.4,2,0,0.2,0.2,0.3464052287581699,0,0.6,0.13112182648236073,0.071437712,0.1,0.152934865,0.084930601,0.1,0.15207522964962616,0.079241843,0.1,0.052016706,0.029701365090236194,0.05,0.065153733,0.034614262802272366,0.05,0.38699980096791003,13.581680377025048,86.94137518366706,10
