additionalInfo_Accessibility_Assistive hearing loop,additionalInfo_Accessibility_Wheelchair accessible entrance,additionalInfo_Accessibility_Wheelchair accessible parking lot,additionalInfo_Accessibility_Wheelchair accessible restroom,additionalInfo_Amenities_Gender-neutral restroom,additionalInfo_Children_Good for kids,additionalInfo_Crowd_LGBTQ+ friendly,additionalInfo_Crowd_Transgender safespace,additionalInfo_From the business_Identifies as women-owned,additionalInfo_Parking_Free parking garage,additionalInfo_Parking_Free parking lot,additionalInfo_Parking_Free street parking,additionalInfo_Parking_Paid street parking,additionalInfo_Planning_Appointment required,additionalInfo_Service options_Online classes,additionalInfo_Service options_Onsite services,additionalOpeningHours_Breakfast_day,additionalOpeningHours_Breakfast_hours,additionalOpeningHours_Kitchen_day,additionalOpeningHours_Kitchen_hours,additionalOpeningHours_Lunch_day,additionalOpeningHours_Lunch_hours,address,alcohol,beer,breakfast,cash_only,casual,category,categoryName,cid,city,claimThisBusiness,coffee,country,countryCode,delivery,dine_in,dinner,family_friendly,fid,googleFoodUrl,hours,imageUrl,imagesCount,info_Accessibility_Assistive hearing loop,info_Accessibility_Wheelchair accessible entrance,info_Accessibility_Wheelchair accessible parking lot,info_Accessibility_Wheelchair accessible restroom,info_Amenities_Gender-neutral restroom,info_Children_Good for kids,info_Crowd_LGBTQ+ friendly,info_Crowd_Transgender safespace,info_From the business_Identifies as women-owned,info_Parking_Free parking garage,info_Parking_Free parking lot,info_Parking_Free street parking,info_Parking_Paid street parking,info_Planning_Appointment required,info_Service options_Online classes,info_Service options_Onsite services,isAdvertisement,kgmid,language,lat,lng,loc_lat,loc_lng,location_lat,location_lng,lunch,main_category,name,neighborhood,openingHours_day,openingHours_hours,permanentlyClosed,phone,phoneUnformatted,placeId,place_id,postal,postalCode,price,rank,rating,reservations,reviewsCount,reviewsDistribution_fiveStar,reviewsDistribution_fourStar,reviewsDistribution_oneStar,reviewsDistribution_threeStar,reviewsDistribution_twoStar,reviews_count,scrapedAt,searchPageUrl,searchString,search_term,state,street,subTitle,takeout,temporarilyClosed,title,totalScore,tourists,url,vegetarian,website,weekly_hours,wheelchair_accessible_entrance,wifi,subcategory,subcategory_weight,filled_rank,base_score,rating_raw,rating_norm,reviews_raw,reviews_norm,weekly_hours_raw,weekly_hours_norm,combined_score,_computed_weight
,True,,,,,True,,,,,,,,True,,,0,,0,,0,"Nagpokhari -04, Bhaktapur 44800, Nepal",0,0,0,0,0,Chinese language school,Chinese language school,17271656584251452571,Bhaktapur,False,0,NP,NP,0,0,0,0,0x39eb1ab208a0f0f7:0xefb140277ad82c9b,,"6 to 9 AM, 5 to 8 PM",https://lh3.googleusercontent.com/p/AF1QipNjHN_DtyBmahJDJpjop7TiWkG--qYpmcTaHioI=w408-h306-k-no,80.0,,True,,,,,True,,,,,,,,True,,False,/g/11b6v7j76j,en,27.6743095,85.4330235,27.6743095,85.4330235,27.6743095,85.4330235,0,Chinese language school,Genius Chinese Language Institute,,Monday,"6 to 9 AM, 5 to 8 PM",False,+977 984-9126317,9779849126317.0,ChIJ9_CgCLIa6zkRmyzYeidAse8,ChIJ9_CgCLIa6zkRmyzYeidAse8,44800.0,44800.0,,61,5.0,0,107,104,2,0,1,0,107,2025-11-14T08:13:35.777Z,"https://www.google.com/maps/search/school/@27.67530454090198,85.43009086349416,17z?hl=en",school,school,,Nagpokhari -04,प्रतिभा चिनियाँ भाषा संस्थान,0,False,Genius Chinese Language Institute,5.0,0,https://www.google.com/maps/search/?api=1&query=Genius%20Chinese%20Language%20Institute&query_place_id=ChIJ9_CgCLIa6zkRmyzYeidAse8,0,https://sites.google.com/view/geniusmandarin/home,0.0,1,0,Chinese language school,0.7,61.0,0.016393442639075523,5.0,1.0,107.0,0.8748608633396538,72.0,1.0,0.5304181019929097,0.5304181019929097
,False,,,,,,,,,,,,,,,,0,,0,,0,"Dekocha ( In front of Khwopa College, Bhaktapur, Nepal",0,0,0,0,0,Chinese language school,Chinese language school,7532929062565872638,Bhaktapur,False,0,NP,NP,0,0,0,0,0x39eb0552e9f4917b:0x688a57123c7483fe,,"8 to 11 AM, 12 to 3 PM",https://lh3.googleusercontent.com/p/AF1QipPaJhcKRKQ3J28RYGKOnZtJKygdz2pjTt_Z7uTU=w423-h240-k-no,4.0,,False,,,,,,,,,,,,,,,False,/g/11dxnq42lt,en,27.6779731,85.4331964,27.6779731,85.4331964,27.6779731,85.4331964,0,Chinese language school,Bhaktapur Chinese Language and Culture Center,,Monday,"8 to 11 AM, 12 to 3 PM",False,+977 984-0796732,9779840796732.0,ChIJe5H06VIF6zkR_oN0PBJXimg,ChIJe5H06VIF6zkR_oN0PBJXimg,,,,68,4.0,0,2,1,0,0,1,0,2,2025-11-14T08:13:35.777Z,"https://www.google.com/maps/search/school/@27.67530454090198,85.43009086349416,17z?hl=en",school,school,,Dekocha ( In front of Khwopa College,भक्तपुर चिनियाँ भाषा र संस्कृति केन्द्र,0,False,Bhaktapur Chinese Language and Culture Center,4.0,0,https://www.google.com/maps/search/?api=1&query=Bhaktapur%20Chinese%20Language%20and%20Culture%20Center&query_place_id=ChIJe5H06VIF6zkR_oN0PBJXimg,0,,0.0,1,0,Chinese language school,0.7,68.0,0.014705882367430798,4.0,0.8,2.0,0.20527679569760082,72.0,1.0,0.30666089268834384,0.30666089268834384
,,,,,,,,,,,,,,,,,0,,0,,0,"PC28+CW4, Unnamed Road, Changunarayan 44600, Nepal",0,0,0,0,0,After school program,After school program,1562316535984228429,Changunarayan,True,0,NP,NP,0,0,0,0,0x39eb1be50192d84f:0x15ae769caa0f084d,,0,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ge65ARWJ8iTiy43S--zDkA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=270.64294&pitch=0&thumbfov=100,1.0,,,,,,,,,,,,,,,,,False,/g/11jwl85ymj,en,27.7010207,85.4173131,27.7010207,85.4173131,27.7010207,85.4173131,0,After school program,Durga Dhakal,Duwakot,,0,False,,,ChIJT9iSAeUb6zkRTQgPqpx2rhU,ChIJT9iSAeUb6zkRTQgPqpx2rhU,44600.0,44600.0,,26,0.0,0,0,0,0,0,0,0,0,2025-11-14T08:42:29.569Z,"https://www.google.com/maps/search/school/@27.6974209298533,85.42012009644444,17z?hl=en",school,school,,"PC28+CW4, Unnamed Road",,0,False,Durga Dhakal,,0,https://www.google.com/maps/search/?api=1&query=Durga%20Dhakal&query_place_id=ChIJT9iSAeUb6zkRTQgPqpx2rhU,0,,0.0,0,0,After school program,0.5,26.0,0.038461538498520714,0.0,0.0,0.0,0.0,72.0,1.0,0.1794871794995069,0.1794871794995069
,True,,,,,,,,,,,,,,,,0,,0,,0,"MCFG+3WW, Bhaktapur 44800, Nepal",0,0,0,0,0,Higher secondary school,Higher secondary school,13920719932268559100,Bhaktapur,True,0,NP,NP,0,0,0,0,0x39eb1aafef214c8d:0xc1305505f4913afc,,10 AM to 4 PM,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzk0nyUHn2e4zYdl4rTYDhk6D1adImly3FUdNmsecIS7wqmeYeypjrw3CHbu_AqMwTCOlvmtNBj3cHfkOs8_2C1z_IFouoEy3iF6sATWz9CLjtKFw5A8g_eSBgMbniQRy1-oe87Ww=w408-h544-k-no,84.0,,True,,,,,,,,,,,,,,,False,/g/1tj48x1d,en,27.6727274,85.4273205,27.6727274,85.4273205,27.6727274,85.4273205,0,Higher secondary school,Shree Padma Secondary School,,Monday,10 AM to 4 PM,False,+977 1-6610326,97716610326.0,ChIJjUwh768a6zkR_DqR9AVVMME,ChIJjUwh768a6zkR_DqR9AVVMME,44800.0,44800.0,,14,0.0,0,0,0,0,0,0,0,0,2025-11-14T08:13:31.793Z,"https://www.google.com/maps/search/school/@27.67530454090198,85.43009086349416,17z?hl=en",school,school,,MCFG+3WW,श्री पद्म मा.वि.,0,False,Shree Padma Secondary School,,0,https://www.google.com/maps/search/?api=1&query=Shree%20Padma%20Secondary%20School&query_place_id=ChIJjUwh768a6zkR_DqR9AVVMME,0,,36.0,1,0,Higher secondary school,1.0,14.0,0.07142857149489795,0.0,0.0,0.0,0.0,36.0,0.5,0.35714285716496597,0.35714285716496597
,True,,,,,,,,,,,,,,,,0,,0,,0,"MCHH+7QR, Bhaktapur 44800, Nepal",0,0,0,0,0,Higher secondary school,Higher secondary school,4772676738303108621,Bhaktapur,True,0,NP,NP,0,0,0,0,0x39eb1ab0e7151ab1:0x423bf434ee53a60d,,0,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxAuDKuRgJ_E-orUtDNRCen1NpG2-ZYQCgy1wtT9WUniM02AmANL9t-_NnsNlii2OG2wl3U6HgfE8yjkFryWLdyCFzanZchR8ZyTAG9XiYDO-6F5wmrPe88dOU5NHXes3AEXVfUKA=w408-h306-k-no,15.0,,True,,,,,,,,,,,,,,,False,/g/11c2pc_7pk,en,27.6782499,85.429387,27.6782499,85.429387,27.6782499,85.429387,0,Higher secondary school,Basu seondary school,,,0,False,+977 1-6615257,97716615257.0,ChIJsRoV57Aa6zkRDaZT7jT0O0I,ChIJsRoV57Aa6zkRDaZT7jT0O0I,44800.0,44800.0,,39,0.0,0,0,0,0,0,0,0,0,2025-11-14T08:13:33.127Z,"https://www.google.com/maps/search/school/@27.67530454090198,85.43009086349416,17z?hl=en",school,school,,MCHH+7QR,,0,False,Basu seondary school,,0,https://www.google.com/maps/search/?api=1&query=Basu%20seondary%20school&query_place_id=ChIJsRoV57Aa6zkRDaZT7jT0O0I,0,http://www.basu.edu.np/,0.0,1,0,Higher secondary school,1.0,39.0,0.025641025666009207,0.0,0.0,0.0,0.0,72.0,1.0,0.3418803418886697,0.3418803418886697
,True,,,,,,,,,,,,,,,,0,,0,,0,"MCGJ+F4Q, Bhaktapur 44800, Nepal",0,0,0,0,0,Higher secondary school,Higher secondary school,16754275022541437610,Bhaktapur,True,0,NP,NP,0,0,0,0,0x39eb1ab1af926e6f:0xe883245d73c83aaa,,0,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=nhxt5LuBQLu9nCOUSdCoeQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=81.41782&pitch=0&thumbfov=100,1.0,,True,,,,,,,,,,,,,,,False,/g/1hd_l0gb7,en,27.676218,85.4303581,27.676218,85.4303581,27.676218,85.4303581,0,Higher secondary school,Prabhat English Higher Secondary School (Block B),,,0,False,,,ChIJb26Sr7Ea6zkRqjrIc10kg-g,ChIJb26Sr7Ea6zkRqjrIc10kg-g,44800.0,44800.0,,48,0.0,0,0,0,0,0,0,0,0,2025-11-14T08:13:34.373Z,"https://www.google.com/maps/search/school/@27.67530454090198,85.43009086349416,17z?hl=en",school,school,,MCGJ+F4Q,,0,False,Prabhat English Higher Secondary School (Block B),,0,https://www.google.com/maps/search/?api=1&query=Prabhat%20English%20Higher%20Secondary%20School%20(Block%20B)&query_place_id=ChIJb26Sr7Ea6zkRqjrIc10kg-g,0,,0.0,1,0,Higher secondary school,1.0,48.0,0.020833333353732643,0.0,0.0,0.0,0.0,72.0,1.0,0.3402777777845776,0.3402777777845776
,True,,,,,,,,,,,,,,,,0,,0,,0,"Nagarkot Road, Bhaktapur 44800, Nepal",0,0,0,0,0,Higher secondary school,Higher secondary school,5028179226132256554,Bhaktapur,False,0,NP,NP,0,0,0,0,0x39eb1aa2babeb1db:0x45c7ae5da09c972a,,6 AM to 6 PM,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyaGx8PeOoY_TFLUrEeOACoGxYJnvFmRykkTO9j1zmnlrsrAUkDVGRVpDXhU6UyKXzx2C7efjzRYgk5gp7642WzpuWKHrvlkFHMh9nf1wRIp9rgrwmQ8Mt106NLC7G2EF_au9Ev=w408-h306-k-no,443.0,,True,,,,,,,,,,,,,,,False,/m/027p1hn,en,27.6709416,85.4177728,27.6709416,85.4177728,27.6709416,85.4177728,0,Higher secondary school,Sainik Awasiya Mahavidyalaya - Bhaktapur,,Monday,6 AM to 6 PM,False,+977 1-6610051,97716610051.0,ChIJ27G-uqIa6zkRKpecoF2ux0U,ChIJ27G-uqIa6zkRKpecoF2ux0U,44800.0,44800.0,,52,0.0,0,0,0,0,0,0,0,0,2025-11-14T08:13:59.547Z,"https://www.google.com/maps/search/school/@27.667695459098024,85.42150000000001,17z?hl=en",school,school,,Nagarkot Road,सैनिक आवासीय महाविद्यालय - भक्तपुर,0,False,Sainik Awasiya Mahavidyalaya - Bhaktapur,,0,https://www.google.com/maps/search/?api=1&query=Sainik%20Awasiya%20Mahavidyalaya%20-%20Bhaktapur&query_place_id=ChIJ27G-uqIa6zkRKpecoF2ux0U,0,http://www.bsamv.edu.np/,72.0,1,0,Higher secondary school,1.0,52.0,0.01923076924963018,0.0,0.0,0.0,0.0,72.0,1.0,0.3397435897498767,0.3397435897498767
,True,,,,,,,,,,,,,,,,0,,0,,0,"MCHR+QPR, Bhaktapur 44800, Nepal",0,0,0,0,0,Higher secondary school,Higher secondary school,15055108942013641396,Bhaktapur,True,0,NP,NP,0,0,0,0,0x39eb054c12020955:0xd0ee7dd13f87b2b4,,0,,,,True,,,,,,,,,,,,,,,False,/g/11hbqv43jg,en,27.6794887,85.4417511,27.6794887,85.4417511,27.6794887,85.4417511,0,Higher secondary school,Nyatapola Sec. School,,,0,False,+977 1-6615569,97716615569.0,ChIJVQkCEkwF6zkRtLKHP9F97tA,ChIJVQkCEkwF6zkRtLKHP9F97tA,,,,10,0.0,0,0,0,0,0,0,0,0,2025-11-14T08:40:37.893Z,"https://www.google.com/maps/search/school/@27.689813953235532,85.45446650592592,17z?hl=en",school,school,,MCHR+QPR,,0,False,Nyatapola Sec. School,,0,https://www.google.com/maps/search/?api=1&query=Nyatapola%20Sec.%20School&query_place_id=ChIJVQkCEkwF6zkRtLKHP9F97tA,0,,0.0,1,0,Higher secondary school,1.0,10.0,0.10000000009000001,0.0,0.0,0.0,0.0,72.0,1.0,0.3666666666966667,0.3666666666966667
,True,,,,,,,,,,,,,,,,0,,0,,0,"MC9J+5QX, Bhaktapur 44800, Nepal",0,0,0,0,0,Higher secondary school,Higher secondary school,13879220152106189013,Bhaktapur,True,0,NP,NP,0,0,0,0,0x39eb1aa953889dc3:0xc09ce5316dbb80d5,,6 AM to 5 PM,https://lh3.googleusercontent.com/gps-proxy/ALd4DhFbHTqQ3u7DW5QP54VuyASfpzhoIQDbW9fPx463glp_8xm_rFyi2O_L-xM0qXYUD7r7A1ODcFIz1j56pde7KHegNfxqOemcZcdKJPPg19Md5wNVFdZwGS1c0v9Ep4aTKFWhhCS67zFYcsref_ZYoyeTv2WZAfpXjBgwqOd0b4E6kt1aoqC0XJEIVqugUStYDOcrRqY=w408-h306-k-no,6.0,,True,,,,,,,,,,,,,,,False,/g/11b6sk8ttl,en,27.6679894,85.4319764,27.6679894,85.4319764,27.6679894,85.4319764,0,Higher secondary school,Adarsha Azad Higher Sec.School,,Monday,6 AM to 5 PM,False,+977 1-6610580,97716610580.0,ChIJw52IU6ka6zkR1YC7bTHlnMA,ChIJw52IU6ka6zkR1YC7bTHlnMA,44800.0,44800.0,,49,0.0,0,0,0,0,0,0,0,0,2025-11-14T08:40:58.364Z,"https://www.google.com/maps/search/school/@27.666993023382226,85.4287066988148,17z?hl=en",school,school,,MC9J+5QX,आदर्श आजाद मा.वि.,0,False,Adarsha Azad Higher Sec.School,,0,https://www.google.com/maps/search/?api=1&query=Adarsha%20Azad%20Higher%20Sec.School&query_place_id=ChIJw52IU6ka6zkR1YC7bTHlnMA,0,,66.0,1,0,Higher secondary school,1.0,49.0,0.020408163285297796,0.0,0.0,0.0,0.0,66.0,0.9166666666666666,0.3401360544284326,0.3401360544284326
,True,,,,,,,,,,,,,,,,0,,0,,0,"44600, Bhaktapur 44802, Nepal",0,0,0,0,0,Higher secondary school,Higher secondary school,12802015097757185940,Bhaktapur,False,0,NP,NP,0,0,0,0,0x39eb1ade366ce135:0xb1a9e4e747013794,,6 AM to 11:30 PM,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxgrlRWfziXaexVJv0r6vF3qShVoz7zj1q9fBMk68X5P5W_spOAPFMImpfVQAadOqD6BsX-G6hOAZTVvvPKo1cafVM5RDouQmwWMkqJHG2iplM9u0HGoOaD5P-IPyHvLS-4KzN7Gw=w408-h544-k-no,5.0,,True,,,,,,,,,,,,,,,False,/g/12hqhwqnr,en,27.7049951,85.4180073,27.7049951,85.4180073,27.7049951,85.4180073,0,Higher secondary school,Shree Changu Narayan Higher Sec. School.,Duwakot,Monday,6 AM to 11:30 PM,False,,,ChIJNeFsNt4a6zkRlDcBR-fkqbE,ChIJNeFsNt4a6zkRlDcBR-fkqbE,44802.0,44802.0,,4,0.0,0,0,0,0,0,0,0,0,2025-11-14T08:41:15.283Z,"https://www.google.com/maps/search/school/@27.71263488308884,85.43729330118518,17z?hl=en",school,school,,44600,श्री चागुनारायण उच्च माध्यमिक विद्यालय,0,False,Shree Changu Narayan Higher Sec. School.,,0,https://www.google.com/maps/search/?api=1&query=Shree%20Changu%20Narayan%20Higher%20Sec.%20School.&query_place_id=ChIJNeFsNt4a6zkRlDcBR-fkqbE,0,,107.5,1,0,Higher secondary school,1.0,4.0,0.2500000001875,0.0,0.0,0.0,0.0,107.5,1.0,0.4166666667291667,0.4166666667291667
