name,lat,lng,category
Genius Chinese Language Institute,27.6743095,85.4330235,Chinese language school
Bhaktapur Chinese Language and Culture Center,27.6779731,85.4331964,Chinese language school
Durga Dhakal,27.7010207,85.4173131,After school program
Shree Padma Secondary School,27.6727274,85.4273205,Higher secondary school
Basu seondary school,27.6782499,85.429387,Higher secondary school
Prabhat English Higher Secondary School (Block B),27.676218,85.4303581,Higher secondary school
Sainik Awasiya Mahavidyalaya - Bhaktapur,27.6709416,85.4177728,Higher secondary school
Nyatapola Sec. School,27.6794887,85.4417511,Higher secondary school
Adarsha Azad Higher Sec.School,27.6679894,85.4319764,Higher secondary school
Shree Changu Narayan Higher Sec. School.,27.7049951,85.4180073,Higher secondary school
सुर्यदीप माध्यमिक बिद्यालय,27.6687352,85.4127801,Higher secondary school
Modern English Secondary School,27.675192,85.4052924,Higher secondary school
Serene Ken English School,27.6780972,85.4296057,English language school
Shree Deep Saraswoti English Sec. School,27.7012036,85.4411606,English language school
Future Star English Secondary School,27.6597613,85.4314027,English language school
Kathmandu World School,27.6529379,85.4133508,International school
Glory English Secondary School,27.6788125,85.4010625,International school
Mainpoint Computer Institute,27.6708666,85.4291646,Computer training school
Helens Computer Institute,27.6774297,85.4374605,Computer training school
World Vision Computer Institute,27.6654637,85.4232435,Computer training school
C.Net Computer Education,27.6659903,85.4258603,Computer training school
Graphika Academy,27.6674447,85.4267293,Computer training school
Animax Animation Academy Bhaktapur,27.6668076,85.4254265,Computer training school
SHOVASA COMPUTER TECHNOLOGY,27.6732817,85.4382234,Computer training school
Indreni Computer Institute,27.671402,85.40835,Computer training school
Bhaktapur International Polyclinic,27.667315,85.4260301,Education center
Fashion store,27.6653488,85.4323851,Business school
Army multiple campus,27.6722437,85.4141379,Business school
Suryabinayak driving centre,27.6642026,85.4258261,Driving school
Antique Driving School,27.6680464,85.4310557,Driving school
Driving Skill Development Centre Nepal pvt.ltd.,27.6871905,85.4303574,Driving school
Duwakot driving institute,27.6869334,85.4115947,Driving school
Khwopa Moter Driving Training Center,27.6736055,85.4409466,Driving school
Bhaktapur Motor Driving Centre,27.6723636,85.4384343,Driving school
Bhaktapur Driving School,27.6763302,85.4064309,Driving school
Jaya Ganesh Motor Driving Centre,27.6710435,85.4071454,Driving school
Rambhole Motor Driving,27.6725645,85.4092339,Driving school
suman motor driving center,27.6740871,85.4063465,Driving school
H A Driving School,27.6755894,85.4141143,Driving school
Demos School,27.6667586,85.4267163,Private educational institution
SUVI School - सूर्यविनायक अङ्ग्रेजी माध्यमिक विद्यालय,27.6732703,85.4126085,Private educational institution
The Rising English Secondary School,27.6733111,85.4328498,Secondary school
जेन्युइन माध्यमिक विद्यालय,27.6770749,85.4342358,Secondary school
Everest English School,27.676376,85.424749,Secondary school
Himalaya English Sec.School,27.6787909,85.4342171,Secondary school
Gundu English Secondary school,27.6622612,85.4229402,Secondary school
Tara Secondary School,27.6687839,85.4269626,Secondary school
"Samata Shikshya Niketan, secondary school",27.6787289,85.4406393,Secondary school
Shree Nabin Lower Secondary School,27.6707692,85.4329436,Secondary school
Samaj Sudhar Secondary School,27.6711793,85.4373386,Secondary school
Golden Sungava Secondary School,27.6816128,85.410592,Secondary school
Shree Bal Chetan Lower Secondary School,27.6463911,85.4066234,Secondary school
Jyoti Gyan Academy secondary school,27.660325,85.4260357,Secondary school
Mount Everest School,27.6588812,85.4248061,Secondary school
Unique International Academy Secondary School,27.6682648,85.402823,Secondary school
EuroKids Srijananagar & Euro School Katunje Bhaktapur,27.6732128,85.400941,Secondary school
KHWOPRING TAEKWONDO DOJANG,27.6740338,85.4402071,Taekwondo school
ABF Driving Institute,27.6642585,85.4260681,Drivers license training school
Jaya Ganesh Driving Trail Spot,27.6741808,85.4061183,Drivers license training school
VHS BHAKTAPUR,27.6677716,85.4328687,German language school
St. John's School(Best school in Bhaktapur),27.6694196,85.4071112,School house
Santa Krishna Basic School,27.6526341,85.4263119,School house
Jagriti School,27.6725807,85.4269453,Government school
Nagadesh Government School,27.6845709,85.383309,Government school
Mahendra Shanti School,27.6621793,85.3695434,Government school
Mahendragram Higher Secondary School,27.6824797,85.4787346,Government school
khyaju,27.6551008,85.4404492,Government school
Shree Aazad Secondary School,27.6869266,85.4272503,Government school
Subarneshwor Basic School,27.6620295,85.4119242,Government school
Local library,27.6840589,85.4845907,Children's library
Prabhat School,27.6757616,85.4306625,Combined primary and secondary school
शान्ति - निकेतन अावसीय माघ्यमिक विद्यालय,27.6670023,85.4164833,Combined primary and secondary school
Bhaktapur Bartending & Barista,27.6653251,85.4254639,Bartending school
Doraemon Pre School,27.6451028,85.4427153,Elementary school
Shanti Bhairab Basic School,27.6540003,85.4538616,Elementary school
National Basic school worlang,27.6625397,85.4376381,Elementary school
Bhim Aadarsha Basic School,27.6692042,85.4397979,Elementary school
Shree Bharati Primary School,27.6687,85.429643,Elementary school
Ganesh school,27.6956945,85.4347373,Elementary school
RHOMBUS NATIONAL SCHOOL,27.6684703,85.4495995,Elementary school
