name,lat,lng,category,final_weight,rank,filled_rank
थालाछें बचत तथा ऋण सहकारी संस्था लिमिटेड,27.6742856,85.4327744,Cooperative bank,0.29608995615329614,45,45.0
Paripurna Multipurpose Co. Ltd,27.6738729,85.4272013,Cooperative bank,0.2404255319218349,47,47.0
Subhakamana Saving and Credit Cooperatives Ltd. Byasi Service Counter,27.6754579,85.4297438,Cooperative bank,0.2402777777845775,48,48.0
Kantipur Saving and Credit Co-operative Limited - Radhe Radhe,27.6758124,85.3974005,Cooperative bank,0.4451835650087344,4,4.0
Surya Sandesh Co-operative,27.701128,85.3812477,Cooperative bank,0.30455556462677896,21,21.0
Agricultural Development SACCOS,27.67436,85.370524,Cooperative bank,0.36255028267996675,18,18.0
Sakchhyam Saving & Credit Co-operative Ltd. सक्षम सहकारी,27.6737761,85.3648729,Cooperative bank,0.2974544785717484,38,38.0
हिमशिखर बहुउद्देश्यीय सहकारी,27.6742155,85.374263,Cooperative bank,0.29608995615329614,45,45.0
Suryadev Multipurpose,27.6743655,85.370781,Cooperative bank,0.2396226415156046,53,53.0
Pabitra Halesi Dham Saving and Credit,27.6735006,85.3726426,Cooperative bank,0.23939393939988982,55,55.0
Annapurna Multiple Co-Op,27.6744163,85.3736109,Cooperative bank,0.3268068906375212,58,58.0
Siddhikali Saving & Credit Co operative Ltd. सिद्धिकाली बचत तथा ऋण सहकारी संस्था लिमिटेड,27.6806014,85.3849576,Cooperative bank,0.3448692880267242,14,14.0
Upakar SACCOS,27.6826758,85.3852013,Cooperative bank,0.30102822776288,27,27.0
Jyotipunja Multipurpose Co-op,27.6982433,85.3728828,Cooperative bank,0.33494865309729066,24,24.0
Bhaktapur District SACCOS,27.6641754,85.4295811,Cooperative bank,0.3488375419983323,12,12.0
Kuber Saccos,27.6675869,85.423819,Cooperative bank,0.3386036238608348,19,19.0
"Shankhadhar Saccos (SHANKHADHAR SAVINGS AND CREDIT CO-OPERATIVE LTD,)",27.6730676,85.3859352,Cooperative bank,0.25714285716496593,14,14.0
"Takuba Chowk, Madhyapur Thimi-5 Bhaktapur",27.673714,85.3915723,Cooperative bank,0.24285714286639457,35,35.0
chitizmultipurposesaving,27.6634863,85.4209781,Cooperative bank,0.25000000001583333,20,20.0
Jimmewari Multipurpose Co-operative Ltd.,27.6657895,85.4212289,Cooperative bank,0.29820635827170716,35,35.0
Sarbashree SAAKOSH,27.6642456,85.4211767,Cooperative bank,0.24234234235110785,37,37.0
Samyukta Multipurpose Cooperative Ltd.,27.6652346,85.4271415,Cooperative bank,0.24090909091649448,44,44.0
Sukunda Saving & Credit Co-operative,27.6666377,85.435941,Cooperative bank,0.3257195858086048,9,9.0
Ambe Savings & Credit Co-operative Ltd,27.6698038,85.4378043,Cooperative bank,0.31646032654188666,12,12.0
Susandesh Multipurpose Co-operative Limited,27.6661946,85.4375785,Cooperative bank,0.34189309754795616,16,16.0
Samuhik SACCOS,27.6703149,85.4279855,Cooperative bank,0.29592892555732897,46,46.0
