name,lat,lng,category,final_weight,rank,filled_rank
Bhaktapur Durbar Square,27.67207,85.4282951,Plaza,0.8666666666666667,1,1.0
Inacho ईनाचो,27.6714803,85.4351233,Park,0.8209937990414563,1,1.0
Kamal pokhari,27.6768477,85.4384818,Park,0.770855104166952,1,1.0
Club Desparado Gym & Zumba,27.6750858,85.4268628,Gym,0.7645065845321758,1,1.0
Sahid Smriti Udyan,27.6735852,85.4249554,Park,0.7608106998218042,1,1.0
Gym Hall (Radhe Radhe),27.676697,85.3988702,Gym,0.7463456405563216,1,1.0
Skova Fitness,27.690537,85.3849422,Gym,0.7431786059430107,1,1.0
PRATIVA TOLE,27.6665529,85.3711802,Park,0.7396776116037943,1,1.0
गणेश चौतारी Ganesh Choutari,27.6736737,85.4054584,Park,0.726204527883831,1,1.0
Poudeldada,27.7086301,85.4413903,Park,0.7201462171944101,1,1.0
Tappa danfo,27.6820777,85.4535139,Park,0.7031721391352305,1,1.0
Indra dhara,27.6889125,85.4568526,Park,0.7031721391352305,1,1.0
Bhaktapur Municipality East Gate,27.6743549,85.4274865,Government office,0.7031721391352305,1,1.0
Hadibel ko bot,27.6382955,85.4162087,Park,0.6896990554152672,1,1.0
Pipal bot,27.6912207,85.4704671,Park,0.6896990554152672,1,1.0
Water Supply Office Bhaktapur Katunje,27.6624382,85.4118313,Government office,0.6896990554152672,1,1.0
Chundevi chagunarayan 9 pani tanki,27.666571,85.4521208,Park,0.6666666666666666,1,1.0
पधेंरो,27.654282,85.4535002,Park,0.6666666666666666,1,1.0
Pokhari,27.6352828,85.4171069,Park,0.6666666666666666,1,1.0
Simko Chowr,27.703578,85.4512803,Park,0.6666666666666666,1,1.0
Gymtaar,27.6962486,85.3791994,Gym,0.6561909132493322,2,2.0
Madhyapur VR Fitness,27.6686633,85.3849639,Gym,0.5825702500490985,2,2.0
Suryabinayak Municipality 3 No. Ward Office,27.660967,85.3772215,Government office,0.5730109450204611,2,2.0
Yota Fitness club,27.6832312,85.3857237,Gym,0.5646600900034615,2,2.0
बर पिपल,27.7062849,85.4398149,Park,0.5595378613004979,2,2.0
Cin Cin Garden,27.6706505,85.4218284,Garden,0.5583936517363647,13,13.0
Baniya Danda Naya Basti,27.6843543,85.4622264,Park,0.5460647775805346,2,2.0
Transport Management Office - Radhe Radhe,27.6774487,85.3974762,Government office,0.5445020247774754,10,10.0
Gymcha Radhe Radhe,27.6787885,85.3972428,Gym,0.536573999512921,3,3.0
Bachamari loha hiti ( bachamari dhungedhara),27.6630143,85.4431778,Park,0.5365054725518972,2,2.0
Grind'On Strength & Fitness,27.6735146,85.409604,Gym,0.5278135985284496,17,17.0
Changu Narayan,27.674766,85.4273979,Park,0.5230323888319339,2,2.0
Sipdol सिपडोल,27.6519139,85.4161239,Park,0.5230323888319339,2,2.0
Bhanjyang,27.6890461,85.4710535,Park,0.5230323888319339,2,2.0
"NEA, Transformer Workshop Branch, kharipati,ने .वि.प्रा., ट्रान्सर्फमर वर्कशप शाखा, खरिपाटी",27.6875821,85.4546227,Government office,0.5230323888319339,2,2.0
Ministry of Urban Development Central Level Project Implementation Unit DLPIU-Bhaktapur,27.6756374,85.4136694,Government office,0.5230323888319339,2,2.0
Thulo Dhara Taudole,27.6469719,85.4451984,Garden,0.5230323888319339,2,2.0
