name,lat,lng,category
Dr. Iwamura Memorial Hospital (DRIM HOSPITAL),27.6724669,85.4118049,Private hospital
Puspa Curd Factory,27.6729058,85.4296225,Health food store
Pasa Veterinary Clinic (Dr. Ram Gopal Kayastha),27.6720639,85.4295029,Veterinary pharmacy
Laxmi Vet Pharma,27.6725839,85.4322696,Veterinary pharmacy
Ujjwal Veterinary Clinic,27.6713042,85.4381391,Veterinary pharmacy
Bhaktapur Pharmacy,27.6728707,85.4299399,Pharmacy
Rasu Pharmacy,27.6717227,85.4239698,Pharmacy
Washa medicare pvt.ltd,27.6736341,85.4229661,Pharmacy
Shakya Clinic शाक्य क्लिनिक,27.671883,85.4344014,Pharmacy
Jiwanta Pharmacy,27.6714716,85.4239454,Pharmacy
Khowpa Pharmacy,27.6736013,85.4314594,Pharmacy
HARSHA Pharmacy,27.6765265,85.4259907,Pharmacy
Yatu Pharmacy,27.677392,85.4369141,Pharmacy
Garudkunda Pharmacy,27.6746155,85.4372728,Pharmacy
R. K. Optics,27.6751989,85.4258357,Pharmacy
Jhingu Wasa Pasa Pharmacy,27.6761835,85.4321444,Pharmacy
Kamal Medical Store,27.6759139,85.4336404,Pharmacy
Bhaisharjya Medical Shop,27.6716884,85.434046,Pharmacy
Sayara pharmacy,27.674766,85.4273979,Pharmacy
SARON PHARMACY,27.6708602,85.425519,Pharmacy
Hello Janaswasthya Pharmacy,27.677386,85.4367695,Pharmacy
barahi pharmacy,27.6716672,85.4219854,Pharmacy
Na Pukhu Pharmacy,27.6717223,85.4220844,Pharmacy
Oriental Pharmacy & Optical Center,27.670447,85.428811,Pharmacy
Doleshwor Pharmacy,27.671696,85.422078,Pharmacy
Kamal Vinayak Pharmacy,27.67742,85.436839,Pharmacy
Suryabinayak medical store,27.6648871,85.4254801,Pharmacy
DR Medics,27.6643128,85.4231805,Pharmacy
PHARMACY,27.6652725,85.423511,Pharmacy
Samadarshi Pharmacy,27.6643552,85.422288,Pharmacy
Aksharaa Pharmacy and Skincare,27.6674779,85.426954,Pharmacy
Matribhumi Pharmacy,27.6653214,85.4224288,Pharmacy
Sapana Pharma,27.6655006,85.424803,Pharmacy
Sanskrita Pharmacy,27.6715784,85.4223191,Pharmacy
Saswatam Pharmacy,27.6716604,85.4219091,Pharmacy
Indra kamal pharmacy,27.6644461,85.4223688,Pharmacy
Sammriddhi Pharmacy,27.6716727,85.4220177,Pharmacy
Tanuja Pharmacy,27.6694339,85.4113251,Pharmacy
Suryabinayak,27.6654061,85.427481,Pharmacy
Malla Medical,27.666033,85.4234852,Pharmacy
Riddi Siddi Pharma,27.6653331,85.4254426,Pharmacy
Nandikeshwor Pharmacy,27.6613113,85.4383717,Pharmacy
Shivam pharmacy,27.6739675,85.4419033,Pharmacy
Kalyan pharmacy,27.6733355,85.4386213,Pharmacy
Youngster Pharmacy,27.6539921,85.4600571,Pharmacy
Susa Pharmacy,27.6665923,85.4370096,Pharmacy
Pushpashree Pharmacy,27.67822,85.4400214,Pharmacy
Chandeswori Pharmacy,27.6789287,85.4421879,Pharmacy
Mediland pharmacy and clinic,27.6780336,85.4393713,Pharmacy
ANSU MILI PHARMACY,27.6739839,85.4395765,Pharmacy
