name,lat,lng,category
Chautari,27.6847158,85.4080922,Community garden
Banglamukhi Savings And Credit Cooperative Ltd.,27.6698454,85.3726057,Financial institution
Sindhu Container Saving & Credit Co-operative Ltd.,27.6737891,85.3704257,Financial institution
Sahid Smriti Udyan,27.6735852,85.4249554,Park
Changu Narayan,27.674766,85.4273979,Park
Bhoula pukhu,27.6748115,85.4317032,Park
Single Bar,27.6767052,85.4314316,Park
Temple park,27.6745439,85.4074859,Park
Nag Pokhari,27.6741945,85.4333464,Park
Radhe Marg (राधे मार्ग),27.6776639,85.4237779,Park
Guna Chwok (गुण चोक),27.6774125,85.4245156,Park
Gankhu kharibot chowk (गाँखु खरीबाेट चाेक),27.6880666,85.3941968,Park
Basipukhu Peace Park,27.6815876,85.3846733,Park
Shankhadhar Park,27.6738091,85.3850039,Park
Buddha Park Sanothimi,27.6820433,85.3803174,Park
Gaahiti Park,27.683824,85.3828911,Park
Sanothimi Park,27.6825845,85.3752232,Park
Bandevi park बन्देवी पार्क,27.6740442,85.3859618,Park
Dakshin Barahi Park,27.6675878,85.3859708,Park
Chundevi chagunarayan 9 pani tanki,27.666571,85.4521208,Park
Jorpati Park ️,27.6507737,85.4623883,Park
Ganesh Calisthenics Park,27.6565663,85.4221475,Park
Ithuli pipalbot tathali bhaktapur,27.6666865,85.4497031,Park
Ghumti,27.6451028,85.4427153,Park
Gundu Grassland,27.6476994,85.4229003,Park
Pilot baba ground,27.6406182,85.4220613,Park
Chautara Changu,27.712412,85.4250815,Park
Sahari Harit Park,27.6688477,85.385712,Park
Suchana tole,27.6634375,85.3781875,Park
Salla Ghari Park,27.6658061,85.3863702,Park
Doleshwor parking,27.6403948,85.4369023,Park
Pipalbot,27.6715355,85.4167828,Park
पधेंरो,27.654282,85.4535002,Park
अर्धनारेश्वोर चोक २,27.7016375,85.3855469,Park
Pipalboat,27.7006406,85.383814,Park
Rukmani coloni,27.6996751,85.386,Park
Fikal marga,27.7025379,85.3852678,Park
सरकारी जग्गामा बनाएको टहरा,27.6999565,85.3818986,Park
PRATIVA TOLE,27.6665529,85.3711802,Park
Chautara,27.6646997,85.364993,Park
Bal Udhyan,27.6776262,85.440731,Park
Sipdol सिपडोल,27.6519139,85.4161239,Park
सितलमाईको रूख,27.6526807,85.4169678,Park
Tappa danfo,27.6820777,85.4535139,Park
Baniya Danda Naya Basti,27.6843543,85.4622264,Park
Gurungtar (गुरुङटार),27.6916016,85.4739084,Park
गाँखु पार्क Gankhu park,27.6846886,85.3967812,Park
Kamerotar Big ground,27.6810332,85.3893729,Park
prem love dada,27.6797515,85.3838056,Park
B.p. children park madhyapur thimi - 1 lokanthali Bhaktapur,27.6781812,85.3807886,Park
Shanti yog kendra (Jalkhu Taa:),27.6796767,85.3881793,Park
Namuna Bishram chwok,27.6776043,85.3809266,Park
Kunauta,27.6948312,85.4515733,Park
Bachamari loha hiti ( bachamari dhungedhara),27.6630143,85.4431778,Park
Hadibel ko bot,27.6382955,85.4162087,Park
Pokhari,27.6352828,85.4171069,Park
NZG Ghyampedada,27.634471,85.4291682,Park
Baagh bagaicha,27.6981947,85.3756685,Park
अर्जुन चौतारी,27.6976861,85.3754348,Park
Pipal bot,27.6912207,85.4704671,Park
Bhanjyang,27.6890461,85.4710535,Park
Thulo Dhunga,27.6872781,85.4667238,Park
Poudeldada,27.7086301,85.4413903,Park
बर पिपल,27.7062849,85.4398149,Park
Sunset Point,27.7085479,85.4410882,Park
Huchidhunga Pakha,27.7081258,85.4410507,Park
Simko Chowr,27.703578,85.4512803,Park
Indra dhara,27.6889125,85.4568526,Park
Kage dada,27.6741123,85.384248,Park
Oli room,27.6730792,85.3854649,Park
हात्तिडाँडा प्रवेश द्वार,27.699931,85.3678539,Park
Airport View Point,27.7000253,85.366056,Park
Baje ko nilo pull,27.678707,85.4139235,Park
Suryabinayak Forest,27.6488583,85.4233708,Park
Libali Ground,27.672589,85.4423737,Park
जेष्ठनागरिक पार्क,27.7134647,85.4035343,Park
Forcepark,27.7015702,85.3788932,Park
Chiplegauda Chock,27.7015916,85.3807886,Park
Kamal pokhari,27.6768477,85.4384818,Park
Purushotam Yadav,27.6690657,85.4071678,Park
Inacho ईनाचो,27.6714803,85.4351233,Park
"Tinkune, Sallahghari",27.6718365,85.4087369,Park
Shahid udyan,27.6710221,85.4298197,Park
गणेश चौतारी Ganesh Choutari,27.6736737,85.4054584,Park
"District Administration Office, Bhaktapur",27.6732718,85.4280304,District office
Khyo Pond ख्याे: पुखुचा,27.6765903,85.4314363,Water park
माथिल्लो पँधेरो,27.650581,85.4156341,Water park
Bhajya Pokhari भाज्य पाेखरी,27.6708137,85.4208885,Water park
Kathmandu Fun Valley,27.6467707,85.4670261,Water park
Gohi Dhara,27.6645462,85.4418845,Water park
Tala dhara,27.6552385,85.466075,Water park
Gaahiti Stone Spout,27.6702519,85.4328321,Water park
Bhaktapur Municipality - Ward Office No. 4,27.669768,85.4282269,Federal government office
District Treasury Comptroller Office(को.ले. नि.का),27.6676745,85.4040577,Federal government office
"District Election Office, Bhaktapur",27.6744792,85.4040151,Federal government office
Water Resource and Irrigation Division Office - Bhaktapur,27.6652953,85.430576,Federal government office
Nepal Workers' and Peasants' Party,27.6726766,85.433228,Political party office
Chundevi Moktan Home,27.6664132,85.4151143,Office supply store
Shree Ganesh Traders & Suppliers,27.6673765,85.416931,Office supply store
Rusalan Vodka delaer office .,27.6689433,85.4156909,Office supply store
"Office of the District Co-ordination Committee (जिल्ला समन्वय समितिको कार्यालय, भक्तपुर)",27.6730938,85.4284983,Government office
Kamalvinayak traffic office,27.6768476,85.4365574,Government office
District Government Attorney Office,27.6725768,85.4230274,Government office
Bhaktapur Municipality Ward No. 5 Office,27.6705572,85.4302832,Government office
Bhaktapur Population Census office,27.6727904,85.4244015,Government office
Bhaktapur Municipality East Gate,27.6743549,85.4274865,Government office
"Armed police force base, bayasi",27.674707,85.4254555,Government office
Irrigation Department Bhagirath Nagar Bhaktapur Road Degloor,27.6709939,85.4298429,Government office
ट्राफिक प्रहरी प्रभाग कमलविनायक भक्तपुर।,27.6771049,85.4368073,Government office
