additionalInfo_Accessibility_Assistive hearing loop,additionalInfo_Accessibility_Wheelchair accessible entrance,additionalInfo_Accessibility_Wheelchair accessible parking lot,additionalInfo_Accessibility_Wheelchair accessible restroom,additionalInfo_Activities_Biking,additionalInfo_Amenities_Cycling lanes,additionalInfo_Amenities_Restroom,additionalInfo_Children_Good for kids,additionalInfo_Crowd_LGBTQ+ friendly,additionalInfo_Highlights_Picnics,additionalInfo_Parking_Free parking garage,additionalInfo_Payments_Debit cards,additionalInfo_Pets_Dogs allowed,additionalInfo_Recycling_Clothing,additionalInfo_Service options_Delivery,additionalInfo_Service options_Onsite services,additionalOpeningHours_Delivery_day,additionalOpeningHours_Delivery_hours,address,alcohol,beer,breakfast,cash_only,casual,category,categoryName,cid,city,claimThisBusiness,coffee,country,countryCode,delivery,description,dine_in,dinner,family_friendly,fid,googleFoodUrl,hours,imageUrl,imagesCount,info_Accessibility_Assistive hearing loop,info_Accessibility_Wheelchair accessible entrance,info_Accessibility_Wheelchair accessible parking lot,info_Accessibility_Wheelchair accessible restroom,info_Activities_Biking,info_Amenities_Cycling lanes,info_Amenities_Restroom,info_Children_Good for kids,info_Crowd_LGBTQ+ friendly,info_Highlights_Picnics,info_Parking_Free parking garage,info_Payments_Debit cards,info_Pets_Dogs allowed,info_Recycling_Clothing,info_Service options_Delivery,info_Service options_Onsite services,isAdvertisement,kgmid,language,lat,lng,loc_lat,loc_lng,location_lat,location_lng,lunch,main_category,name,neighborhood,openingHours_day,openingHours_hours,permanentlyClosed,phone,phoneUnformatted,placeId,place_id,postal,postalCode,price,rank,rating,reservations,reviewsCount,reviewsDistribution_fiveStar,reviewsDistribution_fourStar,reviewsDistribution_oneStar,reviewsDistribution_threeStar,reviewsDistribution_twoStar,reviews_count,scrapedAt,searchPageUrl,searchString,search_term,state,street,subTitle,takeout,temporarilyClosed,title,totalScore,tourists,updatesFromCustomers_language,updatesFromCustomers_media_link,updatesFromCustomers_media_postDate,updatesFromCustomers_postDate,updatesFromCustomers_postedBy_name,updatesFromCustomers_postedBy_title,updatesFromCustomers_postedBy_totalReviews,updatesFromCustomers_postedBy_url,updatesFromCustomers_text,url,vegetarian,website,weekly_hours,wheelchair_accessible_entrance,wifi,subcategory,subcategory_weight,filled_rank,base_score,rating_raw,rating_norm,reviews_raw,reviews_norm,weekly_hours_raw,weekly_hours_norm,combined_score,_computed_weight
,,,,,,,,,,,,,,,,,0,"MCCM+W7R, Bhaktapur 44800, Nepal",0,0,0,0,0,Buddhist temple,Buddhist temple,16285960963944103238,Bhaktapur,True,0,NP,NP,0,,0,0,0,0x39eb1aadc2e0d8f7:0xe2035b35c1c43d46,,0,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz8Nk6FS86T3BnYnDsDXxKKQpTz2enaNiBK2hNbjkJ8WU_OCNyE81Whn5LkoXYDcsW9UuC8-EH7trIXUyLnbHtV2CqhdV42NqNkg8V1MN6o94ZZYmCk9q_CCa_imqTe18E7dog=w408-h306-k-no,148.0,,,,,,,,,,,,,,,,,False,/g/1q2_d6yts,en,27.6723509,85.4331308,27.6723509,85.4331308,27.6723509,85.4331308,0,Buddhist temple,Jhaur Bahi (Mangal Dharmadeep Mahavihar),,,0,False,,,ChIJ99jgwq0a6zkRRj3EwTVbA-I,ChIJ99jgwq0a6zkRRj3EwTVbA-I,44800.0,44800.0,,1,4.8,0,19,0,0,0,0,0,19,2025-11-14T08:13:44.066Z,"https://www.google.com/maps/search/buddhist%20temple/@27.67530454090198,85.43009086349416,17z?hl=en",buddhist temple,buddhist temple,,MCCM+W7R,झौर बही (मङ्गल धर्मदीप महाविहार),0,False,Jhaur Bahi (Mangal Dharmadeep Mahavihar),4.8,0,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Jhaur%20Bahi%20(Mangal%20Dharmadeep%20Mahavihar)&query_place_id=ChIJ99jgwq0a6zkRRj3EwTVbA-I,0,,0.0,0,0,Buddhist temple,1.0,1.0,1.0,4.8,0.96,19.0,0.3757273138045342,72.0,1.0,0.7919091046015114,0.7919091046015114
,,,,,,True,,,,,,,,,,,0,"MCGP+922, Kwathandau Tole, Bhaktapur 44800, Nepal",0,0,0,0,0,Buddhist temple,Buddhist temple,4731473254078195216,Bhaktapur,True,0,NP,NP,0,,0,0,0,0x39eb1ab2f5e4cddd:0x41a991db2d97a610,,5 AM to 7 PM,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx2rZb9k41W8owC8W5D0L0XM-v8tl0sDi8WArA3y8rq39ohwRBzl1yGsNBa-lS2QYpFUfOBK7vGAiaYkip6c6HI1hO8TDzPsPXWqMr5jx-kBWX_gU6ooHl0LLnqj4DE30m5Fc0M=w408-h306-k-no,4.0,,,,,,,True,,,,,,,,,,False,/g/1hm239cp2,en,27.6758948,85.4350299,27.6758948,85.4350299,27.6758948,85.4350299,0,Buddhist temple,YAAN Vihar (याँ बिहार),,Monday,5 AM to 7 PM,False,,,ChIJ3c3k9bIa6zkREKaXLduRqUE,ChIJ3c3k9bIa6zkREKaXLduRqUE,44800.0,44800.0,,2,5.0,0,5,0,0,0,0,0,5,2025-11-14T08:13:44.066Z,"https://www.google.com/maps/search/buddhist%20temple/@27.67530454090198,85.43009086349416,17z?hl=en",buddhist temple,buddhist temple,,"MCGP+922, Kwathandau Tole",,0,False,YAAN Vihar (याँ बिहार),5.0,0,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=YAAN%20Vihar%20(%E0%A4%AF%E0%A4%BE%E0%A4%81%20%E0%A4%AC%E0%A4%BF%E0%A4%B9%E0%A4%BE%E0%A4%B0)&query_place_id=ChIJ3c3k9bIa6zkREKaXLduRqUE,0,,98.0,0,0,Buddhist temple,1.0,2.0,0.50000000025,5.0,1.0,5.0,0.2247240109872128,98.0,1.0,0.5749080037457376,0.5749080037457376
,False,,,,,,,,,,,,,,,,0,"MCFM+XP3, Kwathandau Tole, Bhaktapur 44800, Nepal",0,0,0,0,0,Buddhist temple,Buddhist temple,9491681259018555838,Bhaktapur,True,0,NP,NP,0,,0,0,0,0x39eb1ab287908381:0x83b939d0e50891be,,0,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzmKzoO1e0gJ4-cTq1DA5tw2b3Aqpcqxksvb5i097tjv1C1cXKJyyWkgBilMBezaLFBApxw1V3aBA8xKJfhyCFr-IDZ6-_VLRjOU_o5YTrmtjoMTETiFbLvRgBGqPSBRIxPxY5VMw=w426-h240-k-no,94.0,,False,,,,,,,,,,,,,,,False,/g/1hm382rgq,en,27.674884,85.4343098,27.674884,85.4343098,27.674884,85.4343098,0,Buddhist temple,Dipankar Vihar,,,0,False,,,ChIJgYOQh7Ia6zkRvpEI5dA5uYM,ChIJgYOQh7Ia6zkRvpEI5dA5uYM,44800.0,44800.0,,3,4.7,0,29,0,0,0,0,0,29,2025-11-14T08:13:44.067Z,"https://www.google.com/maps/search/buddhist%20temple/@27.67530454090198,85.43009086349416,17z?hl=en",buddhist temple,buddhist temple,,"MCFM+XP3, Kwathandau Tole",दिपङ्कर विहार,0,False,Dipankar Vihar,4.7,0,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Dipankar%20Vihar&query_place_id=ChIJgYOQh7Ia6zkRvpEI5dA5uYM,0,,0.0,1,0,Buddhist temple,1.0,3.0,0.33333333355555556,4.7,0.9400000000000001,29.0,0.4265810957849286,72.0,1.0,0.5866381431134947,0.5866381431134947
,,,,,,True,,,,,,,,,,,0,"इनाचो मार्ग, Bhaktapur 44800, Nepal",0,0,0,0,0,Buddhist temple,Buddhist temple,629754059886979567,Bhaktapur,False,0,NP,NP,0,,0,0,0,0x39eb1aadbb6579b7:0x8bd55fb1b6c69ef,,0,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxvQG5_4r4Gn1uL57Zmg5MhD-ERJ6oDNMq3C7BRzc10MMBOfDG7R3M-Kf7faOBWIgC22vDhu0kranMdWmjsEYt_PIwYJozEBaN2hRx4x2_GutZ5ErDp-hJNskBZ4aczt4n2qlTo=w408-h272-k-no,41.0,,,,,,,True,,,,,,,,,,False,/g/11b6qb_5x7,en,27.6721262,85.4342487,27.6721262,85.4342487,27.6721262,85.4342487,0,Buddhist temple,Indravarna Mahavihara (Inacho Baha),,,0,False,,,ChIJt3llu60a6zkR72lsG_tVvQg,ChIJt3llu60a6zkR72lsG_tVvQg,44800.0,44800.0,,4,4.4,0,14,0,0,0,0,0,14,2025-11-14T08:13:44.067Z,"https://www.google.com/maps/search/buddhist%20temple/@27.67530454090198,85.43009086349416,17z?hl=en",buddhist temple,buddhist temple,,इनाचो मार्ग,बौद्ध विहार,0,False,Indravarna Mahavihara (Inacho Baha),4.4,0,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Indravarna%20Mahavihara%20(Inacho%20Baha)&query_place_id=ChIJt3llu60a6zkR72lsG_tVvQg,0,,0.0,0,0,Buddhist temple,1.0,4.0,0.2500000001875,4.4,0.8800000000000001,14.0,0.3396459812815193,72.0,1.0,0.5298819938230065,0.5298819938230065
,,,,,,True,,,,,,,,,,,0,"MCFM+RMR, Bhaktapur 44800, Nepal",0,0,0,0,0,Buddhist temple,Buddhist temple,16483034636770557417,Bhaktapur,True,0,NP,NP,0,,0,0,0,0x39eb1ab270fc6e87:0xe4bf80abd92b3de9,,0,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxfWmkiBXnQEwzgqNUarQJuxbzIAvkzL9yOy6gzoZbANr9TOHrAqLnU9GWPB6AEBzspWisFgGb4MsgGCPI7L0tYP-ZzcEyWV89ToUBNvUOhaVFMzsnvd3FU36puMaY6BeolLo7r=w408-h544-k-no,12.0,,,,,,,True,,,,,,,,,,False,/g/11gbk2pmx9,en,27.674612,85.4341282,27.674612,85.4341282,27.674612,85.4341282,0,Buddhist temple,Prashanasil Mahabihar,,,0,False,,,ChIJh278cLIa6zkR6T0r2auAv-Q,ChIJh278cLIa6zkR6T0r2auAv-Q,44800.0,44800.0,,5,4.8,0,4,0,0,0,0,0,4,2025-11-14T08:13:44.067Z,"https://www.google.com/maps/search/buddhist%20temple/@27.67530454090198,85.43009086349416,17z?hl=en",buddhist temple,buddhist temple,,MCFM+RMR,,0,False,Prashanasil Mahabihar,4.8,0,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Prashanasil%20Mahabihar&query_place_id=ChIJh278cLIa6zkR6T0r2auAv-Q,0,,0.0,0,0,Buddhist temple,1.0,5.0,0.20000000016000002,4.8,0.96,4.0,0.20185708479771572,72.0,1.0,0.4672856949859052,0.4672856949859052
,,,,,,,,,,,,,,,,,0,"MCCH+9QX, Unnamed Road, 44800, Nepal",0,0,0,0,0,Buddhist temple,Buddhist temple,4548104908883323341,Bhaktapur,True,0,NP,NP,0,,0,0,0,0x39eb1bb563aa5699:0x3f1e1d51573369cd,,0,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy9uf0R1QExpQithkbdibIaYZ1Rc8aZVFga9oQdSO69TTw7Vt5JFanjEdpL7jj6xHxlG0hkX7oH-6331jDTQ1w8oVOcWsV5s7ycbgN5j35mjibLW9s5opjngz40pSbMWd-n0VsA=w408-h306-k-no,59.0,,,,,,,,,,,,,,,,,False,/g/11nnp8bgx8,en,27.670996,85.4294692,27.670996,85.4294692,27.670996,85.4294692,0,Buddhist temple,Taumadhi Dabu (Tamari Dabu),,,0,False,,,ChIJmVaqY7Ub6zkRzWkzV1EdHj8,ChIJmVaqY7Ub6zkRzWkzV1EdHj8,44800.0,44800.0,,6,5.0,0,10,0,0,0,0,0,10,2025-11-14T08:13:44.067Z,"https://www.google.com/maps/search/buddhist%20temple/@27.67530454090198,85.43009086349416,17z?hl=en",buddhist temple,buddhist temple,,"MCCH+9QX, Unnamed Road",टौमढी दबु (तमारी दबु),0,False,Taumadhi Dabu (Tamari Dabu),5.0,0,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Taumadhi%20Dabu%20(Tamari%20Dabu)&query_place_id=ChIJmVaqY7Ub6zkRzWkzV1EdHj8,0,,0.0,0,0,Buddhist temple,1.0,6.0,0.16666666680555556,5.0,1.0,10.0,0.3007460838829478,72.0,1.0,0.4891375835628345,0.4891375835628345
,,,,,,,,,,,,,,,,,0,"MCFJ+2JC, Bhaktapur 44800, Nepal",0,0,0,0,0,Buddhist temple,Buddhist temple,348591415105422639,Bhaktapur,True,0,NP,NP,0,,0,0,0,0x39eb1aae6cc9bc87:0x4d6720b8d1c052f,,0,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzc68S_6bT1vWsaMIR_QA0WIRp7nxoRr5lwT0tiW_b1p8iP5_-SAhwdCXVV5gSqwcolrArV2aeBz8AN9l7VUK2L8qSj5UmdY44lGp0oLVAx1nX0FvEcWzQ67Mum1tJ9dsqiACKO=w408-h544-k-no,21.0,,,,,,,,,,,,,,,,,False,/g/1hm5qpdb9,en,27.6725635,85.4315305,27.6725635,85.4315305,27.6725635,85.4315305,0,Buddhist temple,Subarna Mahavihar,,,0,False,,,ChIJh7zJbK4a6zkRLwUcjQty1gQ,ChIJh7zJbK4a6zkRLwUcjQty1gQ,44800.0,44800.0,,7,4.8,0,8,0,0,0,0,0,8,2025-11-14T08:13:44.067Z,"https://www.google.com/maps/search/buddhist%20temple/@27.67530454090198,85.43009086349416,17z?hl=en",buddhist temple,buddhist temple,,MCFJ+2JC,सुवर्ण महाविहार,0,False,Subarna Mahavihar,4.8,0,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Subarna%20Mahavihar&query_place_id=ChIJh7zJbK4a6zkRLwUcjQty1gQ,0,,0.0,0,0,Buddhist temple,1.0,7.0,0.14285714297959184,4.8,0.96,8.0,0.27557779296760715,72.0,1.0,0.472811645315733,0.472811645315733
,,,,,,,,,,,,,,,,,0,"MCFM+WH4 Bekhal Tole, Bhaktapur 44800, Nepal",0,0,0,0,0,Buddhist temple,Buddhist temple,6815471076328327619,Bhaktapur,True,0,NP,NP,0,,0,0,0,0x39eb1ab272032a57:0x5e956ad5817fc9c3,,0,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzklaA435oU4yp51xgUIUqU94U83Nu27Z2NE1zx1cUT7BO10W17iZTqaaeh5GjKpAUk8sA6oEFuwVXvxlbZaJDNlToVOzBV0X1njDMI2AJBlDpfEEqRc_OB-O0KHklreS3lNGfy=w408-h544-k-no,49.0,,,,,,,,,,,,,,,,,False,/g/1hm5wd4gb,en,27.6747634,85.4339378,27.6747634,85.4339378,27.6747634,85.4339378,0,Buddhist temple,Manjuvarna Mahavihar,,,0,False,,,ChIJVyoDcrIa6zkRw8l_gdVqlV4,ChIJVyoDcrIa6zkRw8l_gdVqlV4,44800.0,44800.0,,8,4.8,0,4,0,0,0,0,0,4,2025-11-14T08:13:44.067Z,"https://www.google.com/maps/search/buddhist%20temple/@27.67530454090198,85.43009086349416,17z?hl=en",buddhist temple,buddhist temple,,MCFM+WH4 Bekhal Tole,मञ्जुवर्ण महाविहार,0,False,Manjuvarna Mahavihar,4.8,0,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Manjuvarna%20Mahavihar&query_place_id=ChIJVyoDcrIa6zkRw8l_gdVqlV4,0,,0.0,0,0,Buddhist temple,1.0,8.0,0.125000000109375,4.8,0.96,4.0,0.20185708479771572,72.0,1.0,0.4422856949690302,0.4422856949690302
,,,,,,True,,,,,,,,,,,0,"Kathmandu 44800, Nepal",0,0,0,0,0,Buddhist temple,Buddhist temple,4993937678187109273,Kathmandu,True,0,NP,NP,0,,0,0,0,0x39eb1b0046b9378b:0x454e07dbfac81b99,,0,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwTagLcd_Ldtd7Xiw-A0eZzUvOqsgtYEKp644hpOW3kb_9FmQ-sgbOpbv7Y__8o7cnVIgZFTPxzwTcudf03z4oA9uZsC7iND-5wqt0UIkR6feqfaRHTCHtG3bajeUB0Rc_tIpC9=w408-h306-k-no,9.0,,,,,,,True,,,,,,,,,,False,/g/11vk8t8h9t,en,27.6746988,85.4342383,27.6746988,85.4342383,27.6746988,85.4342383,0,Buddhist temple,Pasu Mahabihar,,,0,False,,,ChIJize5RgAb6zkRmRvI-tsHTkU,ChIJize5RgAb6zkRmRvI-tsHTkU,,,,9,5.0,0,1,0,0,0,0,0,1,2025-11-14T08:13:44.067Z,"https://www.google.com/maps/search/buddhist%20temple/@27.67530454090198,85.43009086349416,17z?hl=en",buddhist temple,buddhist temple,,,,0,False,Pasu Mahabihar,5.0,0,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Pasu%20Mahabihar&query_place_id=ChIJize5RgAb6zkRmRvI-tsHTkU,0,,0.0,0,0,Buddhist temple,1.0,9.0,0.11111111120987655,5.0,1.0,1.0,0.08693511450340924,72.0,1.0,0.3993487419044286,0.3993487419044286
,,,,,,True,,,,,,,,,,,0,"MCCH+PPV, Bhaktapur 44800, Nepal",0,0,0,0,0,Buddhist temple,Buddhist temple,889516783929418942,Bhaktapur,True,0,NP,NP,0,,0,0,0,0x39eb1aafb052e28d:0xc5832cd57dc64be,,0,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwAYszYRisWonIrcVyflGKUf0NhN5tl90aCtbfrfOqNaWWktzD3tGJDiQ_CwSnMjRu1hYPuYTcNbbHB7jic3JZyR_2WKr35VsYl71XIogKTKGJ8056QMcT6uqSpKv5WVfQ3B2RS2g=w408-h528-k-no,38.0,,,,,,,True,,,,,,,,,,False,/g/11b6p3wl9s,en,27.6718526,85.4292919,27.6718526,85.4292919,27.6718526,85.4292919,0,Buddhist temple,चतुब्रह्म महाविहार (Chatubramha Mahavihar),,,0,False,,,ChIJjeJSsK8a6zkRvmTcV80yWAw,ChIJjeJSsK8a6zkRvmTcV80yWAw,44800.0,44800.0,,10,4.3,0,6,0,0,0,0,0,6,2025-11-14T08:13:44.067Z,"https://www.google.com/maps/search/buddhist%20temple/@27.67530454090198,85.43009086349416,17z?hl=en",buddhist temple,buddhist temple,,MCCH+PPV,,0,False,चतुब्रह्म महाविहार (Chatubramha Mahavihar),4.3,0,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=%E0%A4%9A%E0%A4%A4%E0%A5%81%E0%A4%AC%E0%A5%8D%E0%A4%B0%E0%A4%B9%E0%A5%8D%E0%A4%AE%20%E0%A4%AE%E0%A4%B9%E0%A4%BE%E0%A4%B5%E0%A4%BF%E0%A4%B9%E0%A4%BE%E0%A4%B0%20(Chatubramha%20Mahavihar)&query_place_id=ChIJjeJSsK8a6zkRvmTcV80yWAw,0,,0.0,0,0,Buddhist temple,1.0,10.0,0.10000000009000001,4.3,0.86,6.0,0.24405772160078734,72.0,1.0,0.4480192405635958,0.4480192405635958
