name,lat,lng,category
Jhaur Bahi (Mangal Dharmadeep Mahavihar),27.6723509,85.4331308,Buddhist temple
YAAN Vihar (याँ बिहार),27.6758948,85.4350299,Buddhist temple
Dipankar Vihar,27.674884,85.4343098,Buddhist temple
Indravarna Mahavihara (Inacho Baha),27.6721262,85.4342487,Buddhist temple
Prashanasil Mahabihar,27.674612,85.4341282,Buddhist temple
Taumadhi Dabu (Tamari Dabu),27.670996,85.4294692,Buddhist temple
Subarna Mahavihar,27.6725635,85.4315305,Buddhist temple
Manjuvarna Mahavihar,27.6747634,85.4339378,Buddhist temple
Pasu Mahabihar,27.6746988,85.4342383,Buddhist temple
चतुब्रह्म महाविहार (Chatubramha Mahavihar),27.6718526,85.4292919,Buddhist temple
Lokeshwor Vihar,27.6720648,85.4255366,Buddhist temple
Namobuddha - Namra bhagawan,27.672358,85.4328854,Buddhist temple
Jetavarna Mahabihar,27.6713007,85.4254977,Buddhist temple
Dolma sungjon.. pilgrimage site Ladakh,27.6749099,85.4342562,Buddhist temple
Shree Indravarta Mahabihar.,27.6721575,85.4342336,Buddhist temple
Mangal Dharma Dip Gumba,27.6759009,85.4350471,Buddhist temple
Hunman tol bhaktpur,27.674766,85.4273979,Buddhist temple
金刚萨垛,27.674726,85.433739,Buddhist temple
Lokeshvara Vihara श्री पद्मपाणी लोकेश्वोर,27.6721547,85.4255997,Buddhist temple
Kutu Bahi कुटु बही (शुक्रवर्ण महाबिहार),27.671741,85.4229682,Buddhist temple
Dawasumba buddhist temple,27.6748736,85.4343951,Buddhist temple
Tara Devi temple,27.6749118,85.4343539,Buddhist temple
Boudha,27.7015916,85.3807886,Buddhist temple
Nagadesh Buddha Vihar,27.6852648,85.3819106,Buddhist temple
Gungachiwa Buddha Temple,27.68265,85.387292,Buddhist temple
Pati Bihar,27.6820615,85.3885784,Buddhist temple
GANKHU BUDHHA STUPA गाँखु बुद्ध स्तुपा,27.6856231,85.3965742,Buddhist temple
"Buddha Chowk Marga, Nagadesh",27.6850047,85.3798993,Buddhist temple
"Buddha Stupa chawaso, Nagadesh",27.6843864,85.3847137,Buddhist temple
Buddha Chaitya,27.68225,85.3867509,Buddhist temple
Bhramha nani tol,27.6803344,85.3863016,Buddhist temple
Lord Buddha,27.6820847,85.3866318,Buddhist temple
𑐐𑐸𑐞 𑐎𑐶𑐬𑑂𑐟𑐶 𑐩𑐴𑐵𑐧𑐶𑐴𑐵𑐬 Guna Kirti Mahabihar,27.6795699,85.3859575,Buddhist temple
Thimi Gunla Baja khala,27.6794693,85.3860036,Buddhist temple
𑐳𑐴𑐱𑑂𑐬𑐨𑐸𑐖 𑐮𑑀𑐎𑐾𑐱𑑂𑐰𑐬 Manjushree,27.6804895,85.3837643,Buddhist temple
Kon Chuka,27.6767515,85.3857006,Buddhist temple
BUDDHA STUPA,27.6803229,85.3859458,Buddhist temple
Chiwaa Dyo,27.6762944,85.3857227,Buddhist temple
Soyaumbhu,27.6975381,85.3682899,Buddhist temple
neupane niwas,27.6865495,85.3866087,Buddhist temple
Urgen Sange Choling Gumba,27.6597999,85.419586,Buddhist temple
माली गाउँ बुद्ध पार्क,27.6375019,85.4467447,Buddhist temple
Hyangla Adibashi Tamang Samaj,27.6593843,85.4195931,Buddhist temple
ग्याल्बो छ्योइलिङ गुम्बा,27.6451028,85.4427153,Buddhist temple
Gombo gang\Gumba gang,27.6564647,85.4323945,Buddhist temple
Statue of Buddha,27.6621619,85.4454347,Buddhist temple
Lokeshwor Temple (𑐥𑐡𑑂𑐩𑐥𑐵𑐞𑐷 𑐮𑑀𑐎𑐾𑐱𑑂𑐰𑐬),27.6763256,85.3856115,Buddhist temple
Samir2532k,27.6817734,85.3865251,Buddhist temple
Chaitya,27.6779913,85.3858054,Buddhist temple
Jiswa bahal,27.6818067,85.3865569,Buddhist temple
Bachamari Buddha Sthali,27.6624065,85.4453921,Buddhist temple
चिवाःद्य (𑐔𑐶𑐰𑐵𑑅𑐡𑑂𑐫𑑅) तछु त्वा:,27.6750051,85.3846041,Buddhist temple
Akshyobhya Buddha Statue,27.638805,85.4388902,Buddhist temple
Dong Niwas,27.6819618,85.4158133,Buddhist temple
Namo buddha,27.659331,85.423161,Buddhist temple
Buddhist Philosophy & Meditation Centre,27.6615905,85.422583,Buddhist temple
Jetvarna Vihar / Dathu Baha Chapachwo,27.6812757,85.3865367,Buddhist temple
Nigu Pukhu Chaitya,27.6786487,85.3855929,Buddhist temple
Jet barna mahavihar (जेतबर्ण महाबिहार) Dathu bahi,27.6812802,85.3863301,Buddhist temple
Suryamadhi Buddha Stupa,27.673402,85.4374246,Buddhist temple
Tumbahal,27.6730954,85.4375166,Buddhist temple
Akhandashil Maha Vihar (Akha Baha),27.6702456,85.4281951,Buddhist temple
Dhading charange,27.6644841,85.4090714,Buddhist temple
Thrangu sekhar,27.6709939,85.4298429,Buddhist temple
Nyatapola Temple,27.6713593,85.4293285,Hindu temple
Dattatraya Temple दत्तात्रय मन्दिर,27.6734281,85.4353788,Hindu temple
Siddhi Vatsala Temple,27.6720314,85.4287688,Hindu temple
Bhagwati,27.6721405,85.4288012,Hindu temple
Indrayani Temple,27.6731876,85.4268204,Hindu temple
