name,main_category,category,categoryName,address,street,neighborhood,city,state,postal,country,lat,lng,phone,phoneUnformatted,website,placeId,place_id,rank,rating,reviewsCount,reviews_count,weekly_hours,hours,permanentlyClosed,temporarilyClosed,price,imageUrl
"Everest Bank Limited, Jamal Branch",Bank,Bank,Bank,"P857+HPF, Siddhidas Marg, Kathmandu 44600, Nepal","P857+HPF, Siddhidas Marg",Jamal,Kathmandu,,44600,NP,27.7089495,85.314145,,,,ChIJWamQRmMZ6zkRj051Qyaw1jY,ChIJWamQRmMZ6zkRj051Qyaw1jY,36,2.7,,0,6.0,10 AM to 4 PM,False,False,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweodakz9lyjZFbLqojR-TZTjvZDL_X8MFMBYTfgxN48q2_zaN7WIJEe4euf-cpkccJkfILTTWvGBXB_HGFPtWxFhc7glK8QGl_bXMSY2JVv58ph4m4sREmNElepTXMqRubowLqh1Mw=w408-h274-k-no
Machhapuchhre Bank Limited,Bank,Bank,Bank,"P8M9+W27, सामाखुसी चक्रपथ ट्राक दक्षिण, Kathmandu 44600, Nepal","P8M9+W27, सामाखुसी चक्रपथ ट्राक दक्षिण",Samakhusi,Kathmandu,,44600,NP,27.7347904,85.3175507,,,,ChIJuQo3EHAZ6zkRCEFksh_lrRk,ChIJuQo3EHAZ6zkRCEFksh_lrRk,20,3.5,,0,7.0,10 AM to 5 PM,False,False,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoVcvopV9G1qs0vRR-peP-TG_53BoT1tC8sDpplLAPNFY7Oy07oDEZpha5HywNJmTDHJHfaBdx1LxhdoSpYOOZu58glKAGppFwaJDUF-ppMcPcAcdRC-YHldOdzk4ncpkDnvK6V=w426-h240-k-no
Green Valley SACCOS,Cooperative bank,Cooperative bank,Cooperative bank,"P825+PGV, रणमुक्तेश्वर मार्ग, Kathmandu 44600, Nepal","P825+PGV, रणमुक्तेश्वर मार्ग",,Kathmandu,,44600,NP,27.7018728,85.3087881,,,,ChIJkVCAQdUZ6zkRw1t3vlUdeBQ,ChIJkVCAQdUZ6zkRw1t3vlUdeBQ,19,3.2,,0,7.0,10 AM to 5 PM,False,False,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=l0g6MwxZVqdpUDNdQ24Ffg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=210.99463&pitch=0&thumbfov=100
Nepal Investment Mega Bank Limited Baneshwor Branch,Bank,Bank,Bank,"P88F+VHW, Kathmandu 44600, Nepal",P88F+VHW,Narayanhiti,Kathmandu,,44600,NP,27.7172479,85.3239474,,,,ChIJuZUgjj0Z6zkRMVIkiwiEPw4,ChIJuZUgjj0Z6zkRMVIkiwiEPw4,112,0.0,,0,0.0,0,False,False,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=CU5WjeXUwqXTKYTLWsXiEQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=201.89503&pitch=0&thumbfov=100
Kumari Bank ATM,Bank,Bank,Bank,"P825+RWX, Pako Sadak, Kathmandu 44600, Nepal","P825+RWX, Pako Sadak",,Kathmandu,,44600,NP,27.7021677,85.3098769,,,,ChIJQ0xwOtcZ6zkR8t3oPsLMY28,ChIJQ0xwOtcZ6zkR8t3oPsLMY28,152,4.0,,0,0.0,0,False,False,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerQGq0LQIHF9JGBzVO1O46na0ehNHSG5pYh-zrLvQ9xWz4gfmT453nNfYERWVM6WWfKKjThSUG5aQTSEMOzl2cbmc7LvEgpLtuHLCYxL9rXEzyYylHHboFIx-PrX7HcQ_7kUdhBmGOVyhg=w408-h544-k-no
Alive SACCOS,Cooperative bank,Cooperative bank,Cooperative bank,"P857+666, Siddhidas Marg, Kathmandu 44600, Nepal","P857+666, Siddhidas Marg",Ason,Kathmandu,,44600,NP,27.7080307,85.3130108,+977 1-4220129,+97714220129,,ChIJM7Hy0v8Y6zkRHyKf2SZim9o,ChIJM7Hy0v8Y6zkRHyKf2SZim9o,99,4.0,,0,7.0,10 AM to 5 PM,False,False,,https://lh3.googleusercontent.com/gps-proxy/ALd4DhEDOHg2Lpxtw-oZf8fBXiBau-bZaptrn9LSUUx29y1dvu357N2aD8moYB12hHf7MI4fnrlhuFuvpChbuUlDaY7FSgb0MmXphNJKs0h_3SLnGgRBTiRpuWrkgPWZ1Oy58t4lU-qgRX-py4MH43hbf5tcqGi7U-3qep5Ht3hS_ECwyBISK-wQs-ito0G73fTed4HMkmY=w426-h240-k-no
Naulo Paribesh SACCOS,Cooperative bank,Cooperative bank,Cooperative bank,"P825+WVP, Pako Sadak, Kathmandu 44600, Nepal","P825+WVP, Pako Sadak",,Kathmandu,,44600,NP,27.7023444,85.3097072,+977 1-4260272,+97714260272,,ChIJbYVwylUY6zkRie3QcVxzgC0,ChIJbYVwylUY6zkRie3QcVxzgC0,100,4.7,,0,7.0,10 AM to 5 PM,False,False,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=AA8UV512XGgzL4aCuamjsA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=278.73758&pitch=0&thumbfov=100
Bhairab Mai SACCOS,Cooperative bank,Cooperative bank,Cooperative bank,"P8G3+GV2, Kathmandu 44600, Nepal",P8G3+GV2,Swayambhu,Kathmandu,,44600,NP,27.7262511,85.3046448,+977 1-4382815,+97714382815,,ChIJb01muOcY6zkRSZGfpkEBzE4,ChIJb01muOcY6zkRSZGfpkEBzE4,119,0.0,,0,7.0,10 AM to 5 PM,False,False,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=uEubVZBd-kSqlgUS0glMOw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=235.74326&pitch=0&thumbfov=100
Nagarik Bharosa Multipurpose Co-Operative Ltd.,Cooperative bank,Cooperative bank,Cooperative bank,"P826+WPQ, Kathmandu 44600, Nepal",P826+WPQ,Te Bahal,Kathmandu,,44600,NP,27.7023363,85.3118473,+977 1-5916022,+97715916022,,ChIJyQqOpmEZ6zkRzivC2mtZHXM,ChIJyQqOpmEZ6zkRzivC2mtZHXM,118,0.0,,0,0.0,0,False,False,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=A-OOZ-IKPiiqm7kW4uAt1w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=319.5049&pitch=0&thumbfov=100
British Gurkhali SACCOS,Cooperative bank,Cooperative bank,Cooperative bank,"22 Khechapukhu Sadak, Kathmandu 44600, Nepal",22 Khechapukhu Sadak,Te Bahal,Kathmandu,,44600,NP,27.702601,85.311121,+977 1-4223584,+97714223584,,ChIJ82w4B1UY6zkRW5ivJjZeLAg,ChIJ82w4B1UY6zkRW5ivJjZeLAg,137,2.0,,0,7.0,10 AM to 5 PM,False,False,,https://lh3.googleusercontent.com/gps-proxy/ALd4DhEjBu-Bo9PP8AXT1B077zL1_P6KjaY-njw4kW4i3W0ZAabBKikWaOji9XW6A-Lbz5mncVQzmerwUuunU59i8ddnfnZrDLIBTIeJ6Ro4zMgeHcLw8g1Ym7XWT-slPlrsHq_R8UNDZ1KLrTA-QT54nypWb8lUcBTiDDySe12G1OqsWLyKudEeIiFIXcUvvBOXEaEwxhE=w408-h306-k-no
Shraddha Saburu SACCOS,Cooperative bank,Cooperative bank,Cooperative bank,"M8XX+V8P, Ring Rd, Kathmandu 44600, Nepal","M8XX+V8P, Ring Rd",Sinamangal,Kathmandu,,44600,NP,27.6997232,85.3483562,,,,ChIJf2fTruoZ6zkRFPDBPQ2iYwE,ChIJf2fTruoZ6zkRFPDBPQ2iYwE,139,5.0,,0,0.0,0,False,False,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqa9cWuWoldJ5l0ALro9whVHFEejYZexNxeqWVHe_NcrUcv5G-ZdaoefES_2xw1RDBAi8S4aKdRt-JuW7twY4Kl1lv-IzCp3pavxdQhrbWxcTpldd2SG26VIqF1CBHLuJJF1T4GoaK5BTgq=w408-h306-k-no
