name,main_category,category,categoryName,address,street,neighborhood,city,state,postal,country,lat,lng,phone,phoneUnformatted,website,placeId,place_id,rank,rating,reviewsCount,reviews_count,weekly_hours,hours,permanentlyClosed,temporarilyClosed,price,imageUrl
Nepal Red Cross Society Lalitpur Blood Bank,Blood bank,Blood bank,Blood bank,"M8G7+55H, Pulchowk Rd, Lalitpur 44600, Nepal","M8G7+55H, Pulchowk Rd",Jawalakhel,Lalitpur,,44600,NP,27.6754478,85.3129852,+977 1-5427033,+97715427033,,ChIJddscUsoZ6zkR9yAS7u8nrug,ChIJddscUsoZ6zkR9yAS7u8nrug,183,3.7,,0,24.0,Open 24 hours,False,False,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepsoDczTZRSPkq6Vptb2o9p2NTzPpEk0jrKmtzibH1GxkNNtqsdgDR94WQCdr5NZdKzKQEeMZYUF_-UC8vHCKef9r6AtvD8JrrSPmyGaXyop49zI9tElsd8Nim86mPXnfDPrKTh0w=w408-h306-k-no
"DR RAKESH MISHRA, CONSULTANT ORTHOPAEDIC AND TRAUMA SURGEON",Health consultant,Health consultant,Health consultant,"Lalitpur 44700, Nepal",,Sanepa,Lalitpur,,44700,NP,27.6816774,85.3174132,,,,ChIJiUSJchUZ6zkRhEDbQtAtELo,ChIJiUSJchUZ6zkRhEDbQtAtELo,175,5.0,,0,12.0,7 AM to 7 PM,False,False,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=5JoL119nn9sKt17tPtTUuQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=315.41202&pitch=0&thumbfov=100
Lycan Soft - IT Consultant and services,Software company,Software company,Software company,"M8XG+WWP, टंक प्रसाद घुम्ती सडक, Kathmandu 44600, Nepal","M8XG+WWP, टंक प्रसाद घुम्ती सडक",,Kathmandu,,44600,NP,27.6998125,85.3273125,+977 980-1354050,+9779801354050,https://lycansoftnepal.com/,ChIJufYkD8YZ6zkRxgOKjEW1g-c,ChIJufYkD8YZ6zkRxgOKjEW1g-c,172,0.0,,0,8.0,10 AM to 6 PM,False,False,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=nN8PJWBY08bDH9eN2n57rg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=42.57944&pitch=0&thumbfov=100
Agricultural Development Bank Ltd. Budhanilkantha Branch,Savings bank,Savings bank,Savings bank,"Q83W+FVM, Budhanilkantha 44600, Nepal",Q83W+FVM,Khadka Bhadrakali,Budhanilkantha,,44600,NP,27.7537001,85.3471626,+977 1-4376634,+97714376634,http://www.adbl.gov.np/,ChIJbyaQ7FIZ6zkRcKH6u3bHNr4,ChIJbyaQ7FIZ6zkRcKH6u3bHNr4,102,4.7,,0,7.0,10 AM to 5 PM,False,False,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweo0j_77MCr3MIGofidql-z1HBG9gr0-XVIbESv8dG-XJukZP3lcuTnFeSMnz4f4Xp3MIfgAeHtDzr4g9toaRyD1bdKgHMPiUk5GCaxnQfPCXjDxqcVvAK7OEqYYQES-eYZ2RRWraA=w408-h306-k-no
Shuva Shanti SACCOS,Savings bank,Savings bank,Savings bank,"44600, Kathmandu, Nepal",44600,Koteshwor,Kathmandu,,,NP,27.677189,85.3464108,+977 1-4600545,+97714600545,,ChIJpahSJvIZ6zkROTP3ngpP-tw,ChIJpahSJvIZ6zkROTP3ngpP-tw,127,4.0,,0,0.0,0,False,False,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweof217IoDfB82eU6aV-DMothEcf7bD9jw44jRTZFm668ovQUP-uikBHwXFRrm4aVxICh-DzaTqG_rR14H1GTi-2g2at1eR1w-z5L_wlP-hau1m2SYW-ciYodndT6PrNunKS2o8=w426-h240-k-no
Community Library Banasthali,Public library,Public library,Public library,"Kathmandu 44600, Nepal",,Balaju,Kathmandu,,44600,NP,27.7258274,85.2967021,+977 984-1483808,+9779841483808,,ChIJj5WofYYZ6zkRrR6074GA_mw,ChIJj5WofYYZ6zkRrR6074GA_mw,12,5.0,,0,0.0,Closed,False,False,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=h4hq4-JFp9Ge12QZboEZuw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=342.43295&pitch=0&thumbfov=100
Hitech Solutions & Services Pvt. Ltd.,Software company,Software company,Software company,"4th Floor, Divine Complex, Kalimati Chowk, Kathmandu 44614, Nepal","4th Floor, Divine Complex, Kalimati Chowk",Kalimati,Kathmandu,,44614,NP,27.6982336,85.3006635,+977 980-2031373,+9779802031373,https://hitechnepal.com.np/,ChIJLUQL0lsY6zkR_vH-hpTZ2VU,ChIJLUQL0lsY6zkR_vH-hpTZ2VU,38,4.3,,0,9.0,9:30 AM to 6:30 PM,False,False,,https://lh3.googleusercontent.com/p/AF1QipMTHKEMmmLcWLxE5l7zsIrGKtVjkONIrGqHDtxv=w408-h408-k-no
Nepal Data Systems Pvt. Ltd.,Software company,Software company,Software company,"Bafal Marg, Kathmandu 44600, Nepal",Bafal Marg,Kalimati,Kathmandu,,44600,NP,27.698642,85.284928,+977 1-4671963,+97714671963,,ChIJRyBXfmMY6zkRuK-9-EzKY_4,ChIJRyBXfmMY6zkRuK-9-EzKY_4,31,5.0,,0,7.0,10 AM to 5 PM,False,False,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=q-06-ArVXjE9cC61nc9dbg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=163.9675&pitch=0&thumbfov=100
Nepal Academy of Tourism and Hotel Management,Hospitality and tourism school,Hospitality and tourism school,Hospitality and tourism school,"Kathmandu 44600, Nepal",,Kuleshwor,Kathmandu,,44600,NP,27.694361,85.2948743,+977 1-5970605,+97715970605,https://nathm.gov.np/,ChIJGe81O10Y6zkRitildbHCSlA,ChIJGe81O10Y6zkRitildbHCSlA,1,4.6,,0,24.0,Open 24 hours,False,False,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwereA0GVyys_C72UhlNi_QfHwvE_ZCtqWZXpSdJszucKnQv948fGDQkdGMXmPfYKhRijnuX7ITT-CfuExnWkLXNhaBlVEWLNGfhSzEl3dYgjLHVqHIhQhg7vX92K73KCy0nNVOlgYiKF0WgZ=w408-h306-k-no
BOOST UP FITNESS CENTRE,Weight loss service,Weight loss service,Weight loss service,"Kathmandu 44600, Nepal",,Chhauni,Kathmandu,,44600,NP,27.712837,85.2933803,+977 984-0341015,+9779840341015,,ChIJWVpnvfYY6zkR4ecFr2oQaH4,ChIJWVpnvfYY6zkR4ecFr2oQaH4,39,4.2,13,13,90.0,6 AM to 9 PM,False,False,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweo543lVdJ9SOPrXEtwnd4WP3vLTx2NsEDdtRramlxrW18f_lCedf7zom1f7lT7vWrE6egHiVa07vONm3eIDrwxZyW5Wdhew-RQv9xTh0-8Y452h2Y41NX5mNOjD-JxjI2DiMXXc=w408-h544-k-no
