name,main_category,category,categoryName,address,street,neighborhood,city,state,postal,country,lat,lng,phone,phoneUnformatted,website,placeId,place_id,rank,rating,reviewsCount,reviews_count,weekly_hours,hours,permanentlyClosed,temporarilyClosed,price,imageUrl
Mahakali,Buddhist temple,Buddhist temple,Buddhist temple,"Q8GQ+WR6, Tokha 44600, Nepal",Q8GQ+WR6,Tokha Chandeshwori,Tokha,,44600,NP,27.7772833,85.3395659,,,,ChIJBZHTF3Ef6zkRsctHranSFXk,ChIJBZHTF3Ef6zkRsctHranSFXk,19,0.0,,0,168.0,Open 24 hours,False,False,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerutNmMdy6DG3bJ0ksNZTdeSWa6GVrtkLxqLsAe_ulcFLhsF8DI6E3orfot_ggC8Hulh-5_3ng_qZuGCPtYMcDC5SS8eO224Ja2UpivOx9TmBfrHM2_aljfYJ2fFVOoJySN8G1u=w408-h306-k-no
Local Stupa,Buddhist temple,Buddhist temple,Buddhist temple,"Q8C3+FJ2, Tarakeshwar 2, Nepal",Q8C3+FJ2,Padamshal,Tarakeshwar,,2,NP,27.7711328,85.3040096,,,,ChIJmxOOOgAf6zkRerqACQzv2fs,ChIJmxOOOgAf6zkRerqACQzv2fs,18,0.0,,0,0.0,0,False,False,,
Chhorten Stupa,Buddhist temple,Buddhist temple,Buddhist temple,"Q834+V89, Kathmandu 44600, Nepal",Q834+V89,Manamaiju,Kathmandu,,44600,NP,27.754653,85.3058666,,,,ChIJbf5v2mAf6zkRZB-pG5ImFdo,ChIJbf5v2mAf6zkRZB-pG5ImFdo,15,5.0,1,1,0.0,0,False,False,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqH11MNGjbMxy6CVKDEyRlbeLSiNhCsIZbCosQOl-LFNfvn_NIfk5GWPErk7fKpKcuYqJxYYdFfPr5WxXeJk1P7_c2MgboY9wUqvR1fDSDQQkgi8rlc0XT4HJ1H6sg56Er5RG1L=w408-h544-k-no
Kunchipwakal Mane Stupa,Buddhist temple,Buddhist temple,Buddhist temple,"Q8W8+QM, Tarakeshwar 44600, Nepal",Q8W8+QM,Sangla,Tarakeshwar,,44600,NP,27.7969695,85.3166587,,,,ChIJF6kYgJkf6zkRa1AVOoU_g2c,ChIJF6kYgJkf6zkRa1AVOoU_g2c,20,3.6,5,5,0.0,0,False,False,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerknpCqCXW2UVpZKAU7WzC5wosxyceB6M8e0X8QHAFJeciP1Zi_zJrgY3RT9ngoptG70-HYZ2a6UEBdREEDy9_YVvRN43ApDE_W7EKSiuwI5gjqlXV5G9nVxV-eOmsN88P_n7oz=w408-h544-k-no
Padamshal stupa,Buddhist temple,Buddhist temple,Buddhist temple,"Q8C3+P74, Tarakeshwar 44600, Nepal",Q8C3+P74,Kavresthali,Tarakeshwar,,44600,NP,27.7713974,85.3038178,,,,ChIJ63ramcYf6zkRFha5CSUQneA,ChIJ63ramcYf6zkRFha5CSUQneA,13,3.8,6,6,0.0,0,False,False,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=cP0QC9u0o7_4ckrIRGnxMw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=48.831642&pitch=0&thumbfov=100
Nirnaya shill Vihar,Buddhist temple,Buddhist temple,Buddhist temple,"Q882+JJP, Dhakaltar, Tarakeshwar 44600, Nepal","Q882+JJP, Dhakaltar",Dharmasthali,Tarakeshwar,,44600,NP,27.7671908,85.3017605,,,,ChIJBRMngtsf6zkRJFFjNOd0z5A,ChIJBRMngtsf6zkRJFFjNOd0z5A,12,5.0,1,1,0.0,0,False,False,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqyLl-wN3PWFgLnaCx_AXy0G-Go04iyzl9RVtsEdkoMZ3NIWMnjFoGrvGx-HAR_1TkicS1YTzOHnQn0_qUFDnwTLJ2HVreq6IHgjz1J47B6kWhGHAQUjs43BoHQVoi4P4hJ66Sg=w408-h306-k-no
Buddha Park,Buddhist temple,Buddhist temple,Buddhist temple,"R83Q+H2R, Tokha 44600, Nepal",R83Q+H2R,Jhor Mahankal,Tokha,,,NP,27.8039871,85.3375224,,,,ChIJY0wveQAf6zkRtuO8yfRxahk,ChIJY0wveQAf6zkRtuO8yfRxahk,11,5.0,1,1,0.0,0,False,False,,
Padamshal gumba,Buddhist temple,Buddhist temple,Buddhist temple,"Q8C3+FGH, Tarakeshwar 44600, Nepal",Q8C3+FGH,Dharmasthali,Tarakeshwar,,44600,NP,27.7711911,85.3038686,,,,ChIJu8cBRAAf6zkRNShm0Qhq2y4,ChIJu8cBRAAf6zkRNShm0Qhq2y4,7,5.0,1,1,0.0,0,False,False,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=n8WcoT5K0uzYS6JP-APiaw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=49.57941&pitch=0&thumbfov=100
Boudha,Buddhist temple,Buddhist temple,Buddhist temple,"Q8M8+WXP, Kathmandu 44600, Nepal",Q8M8+WXP,Sangla,Kathmandu,,44600,NP,27.78462,85.317563,,,,ChIJr4jcFAAf6zkR5Ck2VJRFKbQ,ChIJr4jcFAAf6zkR5Ck2VJRFKbQ,6,0.0,,0,0.0,0,False,False,,
Bhedigoth Buddha Stupa,Buddhist temple,Buddhist temple,Buddhist temple,"Magh Bhedigoath Marg, Tarakeshwar 44600, Nepal",,,,,,0,27.7733239,85.3064082,,,,ChIJY_xeoBwf6zkRmj_NagwDnWA,ChIJY_xeoBwf6zkRmj_NagwDnWA,5,4.7,7,7,0.0,0,False,False,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweo3uUmq_lf8L__3XFcgjCqMeoMlDJ0OtOtGvMxniKcdGvbP7kWKre6iygH86gh1avThPONAdfRivdcSuoZHoVOBs0NRycrtHbPPPbVlwFvXvt9i5HM8dhuFou2f00QRDgNEaIKQ=w408-h545-k-no
