name,main_category,category,address,city,lat,lng,rating,reviews_count,reviewsDistribution_oneStar,reviewsDistribution_twoStar,reviewsDistribution_threeStar,reviewsDistribution_fourStar,reviewsDistribution_fiveStar,weekly_hours,imageUrl,url
Chautari,Community garden,Community garden,"MCM5+V6P, Atharvanagar Rd, Changunarayan, Nepal",Changunarayan,27.6847158,85.4080922,4.1,22,0,0,0,0,0,0.0,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyzvDS5tHuluI-DpZqb3qrNS8j3-7-YKh7MLh3x6PEP1mAwRc75IZwHs07YLDDcxmD3REGD4GuSEbVmCfOG5o4MGvRy6rBOloNOhOPYnhlPXwdestNsWqFpPP37crWQr6Eiotym=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=Chautari&query_place_id=ChIJta54Ppcb6zkRuJoFDUMsuao
Banglamukhi Savings And Credit Cooperative Ltd.,Financial institution,Financial institution,"M99F+W2Q, Anantalingeshwar 44600, Nepal",Anantalingeshwar,27.6698454,85.3726057,3.5,2,0,1,0,0,1,42.0,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=xNIzipYxePhSmUMJyOVZ6Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=115.57471&pitch=0&thumbfov=100,https://www.google.com/maps/search/?api=1&query=Banglamukhi%20Savings%20And%20Credit%20Cooperative%20Ltd.&query_place_id=ChIJC9J8rw0a6zkRciSHEgcRr3A
Sindhu Container Saving & Credit Co-operative Ltd.,Financial institution,Financial institution,"Araniko Highway, Madhyapur Thimi 44600, Nepal",Madhyapur Thimi,27.6737891,85.3704257,5.0,2,0,0,0,0,2,40.0,https://lh3.googleusercontent.com/p/AF1QipOTiMNWEQmXeCFdE79B1bEpMBvz_zbgehvrZiTJ=w426-h240-k-no,https://www.google.com/maps/search/?api=1&query=Sindhu%20Container%20Saving%20%26%20Credit%20Co-operative%20Ltd.&query_place_id=ChIJsaoulxEa6zkRwtZkkwSredA
Sahid Smriti Udyan,Park,Park,"MCFF+CXP, Unnamed Road, Bhaktapur 44800, Nepal",Bhaktapur,27.6735852,85.4249554,4.4,16,0,0,0,0,0,0.0,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwcHLEu3Z3HyjoVMrhlM8jGmPv8LzZl6IX8jLyDRnwqni4QpxD5EPA3t0fUXRYUFamYjzLI1mitv_prMXRRmH4GUR61Tfkr23bRKvS2kKyfEmPTidW4vNrzXrDRxuYSwWVC1WyE=w426-h240-k-no,https://www.google.com/maps/search/?api=1&query=Sahid%20Smriti%20Udyan&query_place_id=ChIJd03WBTIb6zkRKtRlpaCJCes
Changu Narayan,Park,Park,"MCFG+WX2, Bhaktapur 44800, Nepal",Bhaktapur,27.674766,85.4273979,5.0,1,0,0,0,0,0,0.0,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=y_M10KsmajGRI-lSxwUKMw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=136.01321&pitch=0&thumbfov=100,https://www.google.com/maps/search/?api=1&query=Changu%20Narayan&query_place_id=ChIJx_xpDQAb6zkR23CI_vkzETc
Bhoula pukhu,Park,Park,"MCFJ+WMG Bholachhen Pond, Bhaktapur 44800, Nepal",Bhaktapur,27.6748115,85.4317032,4.7,3,0,0,0,0,0,0.0,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxT_alY7pRDRaxEYlv0YrAodwEZ8o9TYACj0Jxwchfc_aXX5tw38lOSEwe5ZOspkgNGXvZWPcq_zUyjQ9R0lV7_F4dyisgJ03eSP9Qn959kKIq9doxkxuQEj9Kch4Ds0KY1HGHLYw=w408-h725-k-no,https://www.google.com/maps/search/?api=1&query=Bhoula%20pukhu&query_place_id=ChIJ07c4RQAb6zkRVtmtpyxSrSQ
Single Bar,Park,Park,"MCGJ+MHM, Bhaktapur 44800, Nepal",Bhaktapur,27.6767052,85.4314316,0.0,0,0,0,0,0,0,0.0,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=J_qeX9YN02vaVmUSy4hplg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=65.47875&pitch=0&thumbfov=100,https://www.google.com/maps/search/?api=1&query=Single%20Bar&query_place_id=ChIJH52aBwAb6zkRJQtG7o_P0nc
Temple park,Park,Park,"MCF4+RVW, Bhaktapur 44800, Nepal",Bhaktapur,27.6745439,85.4074859,0.0,0,0,0,0,0,0,0.0,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=lsM6R7MEOI33Fx_UXrurfw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=158.7467&pitch=0&thumbfov=100,https://www.google.com/maps/search/?api=1&query=Temple%20park&query_place_id=ChIJty3VMQAb6zkRsy0yFViPQ4g
Nag Pokhari,Park,Park,"MCFM+M8H, Bhaktapur 44800, Nepal",Bhaktapur,27.6741945,85.4333464,4.1,162,8,14,21,29,90,0.0,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw6TlGqX7DI7Fa-pLWyAbeTDqBEkHbCnr6MAb91lrMXmkwNUpjieqs6ODdzGS2gvwwDAzkKN3ixxQO3lIQSV5gfzRVjgutI62rlU84XN3cIFuQv8DgRiKyYeXM42mIkUSEDTUtT=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=Nag%20Pokhari&query_place_id=ChIJq_YYBLIa6zkRCblapYBL3gg
Radhe Marg (राधे मार्ग),Park,Park,"MCGF+XR6, Bhaktapur 44800, Nepal",Bhaktapur,27.6776639,85.4237779,0.0,0,0,0,0,0,0,0.0,,https://www.google.com/maps/search/?api=1&query=Radhe%20Marg%20(%E0%A4%B0%E0%A4%BE%E0%A4%A7%E0%A5%87%20%E0%A4%AE%E0%A4%BE%E0%A4%B0%E0%A5%8D%E0%A4%97)&query_place_id=ChIJe7jVPwAb6zkRFth4Fl9K0qs
