name,main_category,category,address,city,lat,lng,rating,reviews_count,reviewsDistribution_oneStar,reviewsDistribution_twoStar,reviewsDistribution_threeStar,reviewsDistribution_fourStar,reviewsDistribution_fiveStar,weekly_hours,wifi,dine_in,takeout,delivery,breakfast,lunch,dinner,vegetarian,coffee,alcohol,beer,casual,family_friendly,tourists,reservations,cash_only,wheelchair_accessible_entrance,source_file
.....,Fast food restaurant,Fast food restaurant,"M9FP+95P, Madhyapur Thimi, Nepal",Madhyapur Thimi,27.6735042,85.3854631,4.4,20,0,0,3,6,4.4,70,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,
1-shika café and Chat house,Coffee shop,Coffee shop,"1-shika cafe and Chat house, Bhaktapur 44600, Nepal",Bhaktapur,27.6813874,85.376168,4.4,7,0,0,1,3,3,98,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,
12 Shutter,Restaurant,Restaurant,"M9XG+CPX, Kathmandu 44600, Nepal",Kathmandu,27.6962121,85.3769261,4.2,20,0,5,1,0,4.2,77,0,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,
"12sutar chok,Deepa",Coffee shop,Coffee shop,"M9WH+W35, Kageshwori Manohara 44600, Nepal",Kageshwori Manohara,27.6976597,85.3777113,4.1,21,0,3,4,2,4.1,91,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,
"1990s laphing,dhara",Restaurant,Restaurant,"MCCQ+Q92, Garud Kundal Road, Bhaktapur 44800, Nepal",Bhaktapur,27.6718977,85.438394,5,1,0,0,0,0,1,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3 R khaja ghar,Fast food restaurant,Fast food restaurant,"M9FV+MWH, Bhaktapur, Nepal",Bhaktapur,27.6741774,85.3948623,3.7,18,2,1,5,3,3.7,101.5,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,
3rd eyes fast food,Restaurant,Restaurant,"MC8G+MR6 Bhulancha, Suryabinayak 44800, Nepal",Suryabinayak,27.6666523,85.4270263,5,1,0,0,0,0,1,84,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
5I Restaurant,Family restaurant,Family restaurant,"MCM6+Q9F, Rudraksha Rd, Changunarayan, Nepal",Changunarayan,27.6844567,85.4109168,5,3,0,0,0,1,2,72,0,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,
6/9 Khaja Ghar,Fast food restaurant,Fast food restaurant,"M9HP+9G9, Madhyapur Thimi 44600, Nepal",Madhyapur Thimi,27.6784061,85.3863721,4.1,17,0,0,5,6,4.1,105,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,
90's Cafe,Coffee shop,Coffee shop,"M9FQ+MXM, Bhaktapur, Nepal",Bhaktapur,27.6742191,85.3899348,3.7,70,0,3,24,35,8,84,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
