name,main_category,category,address,city,lat,lng,rating,reviews_count,reviewsDistribution_oneStar,reviewsDistribution_twoStar,reviewsDistribution_threeStar,reviewsDistribution_fourStar,reviewsDistribution_fiveStar,weekly_hours,wifi,dine_in,takeout,delivery,breakfast,lunch,dinner,vegetarian,coffee,alcohol,beer,casual,family_friendly,tourists,reservations,cash_only,wheelchair_accessible_entrance,source_file,distribution_generated
Wanted Restaurant,Restaurant,Restaurant,"Bhaktapur 44800, Nepal",Bhaktapur,27.6696016,85.4109786,4.7,15,0,0,1,6,8,98.0,0,1,1,1,0,1,1,0,1,1,1,1,0,0,1,0,0,,1
Khushi Khaja Ghar,Asian restaurant,Asian restaurant,"MC86+82F, Unnamed Road, Suryabinayak 44800, Nepal",Suryabinayak,27.6658123,85.4100564,5.0,2,0,0,0,1,1,84.0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,1
Crave Corner,Asian restaurant,Asian restaurant,"MCC5+4R7, Suryabinayak 44800, Nepal",Suryabinayak,27.6704538,85.409407,5.0,1,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
Bardali Kitchen & Sekuwa Ghar,Family restaurant,Family restaurant,"MCC3+XXW Srijananagar, 44800, Nepal",Suryabinayak,27.6724375,85.4049375,4.7,45,0,0,2,18,25,168.0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,,1
Taboche Restaurant and coffee shop,Restaurant,Restaurant,"Bhaktapur 44800, Nepal",Bhaktapur,27.6713645,85.4213097,4.6,111,0,0,7,47,57,91.0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,,1
The Burger House and Crunchy Fried Chicken,Restaurant,Restaurant,"Suryabinayak 44800, Nepal",Suryabinayak,27.6704472,85.4096093,3.4,255,1,23,118,99,14,87.5,0,1,1,1,0,1,1,0,1,1,1,1,0,0,1,0,0,,1
Paradise Foodland,Restaurant,Restaurant,"MCC6+822, Bhaktapur 44800, Nepal",Bhaktapur,27.6707736,85.4100168,3.3,138,1,16,68,48,5,105.0,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,,1
Sarlahi Khaja Ghar,Fast food restaurant,Fast food restaurant,"MC97+F5M, Araniko Highway, Suryabinayak 44800, Nepal",Suryabinayak,27.6687012,85.4129098,5.0,1,0,0,0,0,1,98.0,0,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,,1
Maila Daiko Khaja Ghar,Fast food restaurant,Fast food restaurant,"MC95+RFF, Araniko Highway, Suryabinayak 44800, Nepal",Suryabinayak,27.6695565,85.4086816,4.7,3,0,0,0,1,2,105.0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,,1
Sushmita Khaja Ghar,Fast food restaurant,Fast food restaurant,"MC97+R3X, Araniko Highway, Bhaktapur 44800, Nepal",Bhaktapur,27.6696088,85.4127312,5.0,1,0,0,0,0,1,0.0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,,1
Universal Tandoori Cafe,Family restaurant,Family restaurant,"Tinkune, Sallahghari, Araniko Highway, Bhaktapur 44800, Nepal",Bhaktapur,27.6713044,85.4082338,3.5,179,0,13,77,76,13,84.0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,,1
