name,main_category,category,categoryName,address,street,neighborhood,city,state,postal,country,lat,lng,phone,phoneUnformatted,website,placeId,place_id,rank,rating,reviews_count,weekly_hours,hours,permanentlyClosed,temporarilyClosed,price,imageUrl,dine_in,takeout,delivery,breakfast,lunch,dinner,vegetarian,coffee,alcohol,beer,wifi,casual,family_friendly,tourists,cash_only,wheelchair_accessible_entrance
Happy Hills Adventure,Adventure sports center,Adventure sports center,Adventure sports center,"Tarakeshwar 44600, Nepal",,Jitpur Phedi,Tarakeshwar,,44600,NP,27.7687111,85.2758631,+977 986-0168497,+9779860168497,https://happyhills.com.np/,ChIJhZenVvof6zkRyxHKg8rz20E,ChIJhZenVvof6zkRyxHKg8rz20E,3,4.3,0,13.5,7:30 AM to 9 PM,False,False,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqre7OV3tj59T9g0eEPdcTWizZUxXorYEauoLG_HcjzHlu9OgjqvDaBxl6NOtx18D7YLybiZj838ViKYaKtKEtrXC8IiKSO6oRUycZgWBhaJQJStoJ4VMBCgUNxHy2d4ph-DOaLJ8XngZ0l=w408-h706-k-no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Club Orchid Inn,Restaurant,Restaurant,Restaurant,"Annapurna Chowk, Kathmandu 44600, Nepal",Annapurna Chowk,,Kathmandu,,44600,NP,27.7225905,85.2924023,+977 986-4154055,+9779864154055,,ChIJr6mYlpQY6zkRJsCaKFPoF9Y,ChIJr6mYlpQY6zkRJsCaKFPoF9Y,55,3.6,0,0.0,0,False,False,,https://lh3.googleusercontent.com/p/AF1QipN2BVcIz0kPYiWhEBR_x1h1fp7vyNL0QkUzrqi2=w426-h240-k-no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Soaltee Banquet,Banquet hall,Banquet hall,Banquet hall,"M7WV+P78, Redcross Rd, Kathmandu 44600, Nepal","M7WV+P78, Redcross Rd",Kalimati,Kathmandu,,44600,NP,27.696889,85.2929285,+977 985-1024345,+9779851024345,https://www.fb.com/soalteebanquet/,ChIJOyx1OsIZ6zkRiE-_cE6yG-o,ChIJOyx1OsIZ6zkRiE-_cE6yG-o,17,4.3,0,0.0,0,False,False,,https://lh3.googleusercontent.com/p/AF1QipMfoOG7X_9IeQRaFouxQIpg_Cta9nsN0FEUEVc7=w426-h240-k-no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ban Jungle Adventure,Adventure sports center,Adventure sports center,Adventure sports center,"Panchmane-3, Tarakeshwar 44600, Nepal",Panchmane-3,Jitpur Phedi,Tarakeshwar,,44600,NP,27.7845868,85.2764804,+977 985-1166328,+9779851166328,https://www.banjungleadventure.com.np/,ChIJP0EZF2Mf6zkRhYzlKV38Y4k,ChIJP0EZF2Mf6zkRhYzlKV38Y4k,2,3.8,0,11.0,8 AM to 7 PM,False,False,,https://lh3.googleusercontent.com/p/AF1QipP4d_laQxp69sQDjcabtiYAOSSp1Y_62Z9j3UvA=w408-h271-k-no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Buddha Palace Banquet,Banquet hall,Banquet hall,Banquet hall,"Sanobharyang Rd, Kathmandu 44600, Nepal",Sanobharyang Rd,Swayambhu,Kathmandu,,44600,NP,27.7203704,85.289281,+977 985-1351897,+9779851351897,https://buddhapalacebanquet.com/,ChIJsTT0DHYZ6zkR-gDzqCgdRZU,ChIJsTT0DHYZ6zkR-gDzqCgdRZU,6,4.1,0,15.0,8 AM to 11 PM,False,False,,https://lh3.googleusercontent.com/p/AF1QipOkRmStaOn1BHBI36j9osYJSlXZkw71aejRFmYs=w408-h272-k-no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KwalityCafe & Banquet,Banquet hall,Banquet hall,Banquet hall,"P79Q+V36, Kathmandu 44600, Nepal",P79Q+V36,Swayambhu,Kathmandu,,44600,NP,27.7195644,85.2874935,+977 1-5372758,+97715372758,https://www.facebook.com/profile.php?id=100074281951545,ChIJWWCafJEY6zkR_mA_jLD6tOY,ChIJWWCafJEY6zkR_mA_jLD6tOY,25,3.6,0,12.0,9 AM to 9 PM,False,False,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepIQq93lPO03OCg2arrdCeMTrvBX6ehdd1n9dg4GDh0gG4BX3KtjkwUztYW4D9rDZIho_E6ZtCAzBNnQ4M-MVAj5aUJJaPgr2g-Mn8OKEMPiKTi0_h5c-piU2tVNidSUNx2DUQA3SwTQhR_=w408-h544-k-no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kwality Royal,Banquet hall,Banquet hall,Banquet hall,"Kathmandu 44600, Nepal",,Swayambhu,Kathmandu,,44600,NP,27.7196224,85.287471,+977 985-1200244,+9779851200244,,ChIJ7XAPxbsZ6zkRrKCTfSsdb84,ChIJ7XAPxbsZ6zkRrKCTfSsdb84,34,0.0,0,0.0,0,False,True,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=O2zhLLdG92uErMYnb9XgOA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=144.37575&pitch=0&thumbfov=100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sita petrol pump kalimati,Banquet hall,Banquet hall,Banquet hall,"M7WW+M65, Ganeshman Singh Rd, Kathmandu 44614, Nepal","M7WW+M65, Ganeshman Singh Rd",Kuleshwor,Kathmandu,,44614,NP,27.6966297,85.295605,+977 985-1070836,+9779851070836,,ChIJeY9ATVwY6zkRmZLkuf6bFkA,ChIJeY9ATVwY6zkRmZLkuf6bFkA,17,3.8,0,12.0,10 AM to 10 PM,False,False,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepEsofZ6YsPffTrLpfAzNnU2lsb8KbWPE7AQsZEcChO6VFIQkjeK8N4ffBOW3Pbwso57v5KRZ7wo6qd1Hgf4DmsWWaMN642OmEhcVxVRrgsfLsacb6pPkeUZMHgYMsl7BYPetxUArmSTnp7=w408-h306-k-no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mother's Banquet & Restaurant,Banquet hall,Banquet hall,Banquet hall,"वनस्थली खरिबोट, 16 kharibot, Kathmandu 44600, Nepal","वनस्थली खरिबोट, 16 kharibot",Balaju,Kathmandu,,44600,NP,27.7309958,85.2925017,+977 984-1125388,+9779841125388,,ChIJ0Wd35J0Z6zkRBa5IWUNQ9jA,ChIJ0Wd35J0Z6zkRBa5IWUNQ9jA,17,3.9,0,8.0,9 AM to 5 PM,False,False,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwer2GBK7TSd93fUvGLMrSq3RNorD1GbUo3W9IthWJX8FrZIRsTcm2pdVvOeQaFEsPfC4LjFZCvyFiqBmA3c0SvFgk-KkUszILGXAWLG6-BhqRvutxZCx_3UuUNeMXLMC15Vzk5X8=w408-h306-k-no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chho Rolpa Banquet,Banquet hall,Banquet hall,Banquet hall,"P7FR+QX7, Yerahity, Dhungedhara, Kathmandu, Nepal","P7FR+QX7, Yerahity, Dhungedhara",Ichangunarayan,Kathmandu,,,NP,27.7244182,85.2924342,,,,ChIJEy3lbMsZ6zkRZDDZohG856M,ChIJEy3lbMsZ6zkRZDDZohG856M,6,3.3,0,0.0,0,False,False,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqM3uEDURHK8sBpPWzOJzEmIiv27yrdJOj3SrBxZGezN4q-pNWpjF2e9p4d8lzjGCwjlr2-u-Ke3iC8Y3uBsJn1KW9Zv6VvJVOxtJ95LOGuN_Uurcf4wJ1c7piqgbTIsGy7ohaBww=w408-h306-k-no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
