name,main_category,category,categoryName,address,street,neighborhood,city,state,postal,country,lat,lng,phone,phoneUnformatted,website,placeId,place_id,rank,rating,reviewsCount,reviews_count,weekly_hours,hours,permanentlyClosed,temporarilyClosed,price,imageUrl
Bijeshwori Gyan Mandir Sainik Mahavidyalaya,Government school,Government school,Government school,"सैनिक अावास मार्ग, Kathmandu 44600, Nepal",सैनिक अावास मार्ग,Dallu,Kathmandu,,44600,NP,27.7122389,85.2975443,+977 1-4271498,+97714271498,http://www.bgmsm.edu.np/,ChIJ0Ztzw_MY6zkRP0ILiUTWoJ4,ChIJ0Ztzw_MY6zkRP0ILiUTWoJ4,6,0.0,,0,7.0,9 AM to 4 PM,False,False,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepjhp0dBEV0sX8r2GjGb9ustecSdxLVL4GyCc89WBojTEpfa3lX30ElMYNVHV6QwsRR_HvzfgdpGRq6yEl9_V5EEM6ElWIWXzCgQBK57y6YzzgTEKdrSLcXXeG-CNdrcMBLSqwqaw=w408-h271-k-no
Shree Prithvi Narayan Secondary School,Government school,Government school,Government school,"Q75Q+QVG, Tarakeshwar 44600, Nepal",Q75Q+QVG,Goldhunga,Tarakeshwar,,44600,NP,27.7594343,85.2896923,+977 984-9190671,+9779849190671,,ChIJh25mBEkf6zkRRjgwRKEXUbk,ChIJh25mBEkf6zkRRjgwRKEXUbk,22,0.0,,0,0.0,0,False,False,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepwZfXilhSVuymykM8oQGk2k0qAxWHFEbBnPr6EzkLhX4Qaeslfy26VDYcKFRRfJOUa36TAGv_RvgqNnOWqhnEV-DDUD6Lj60yhqZ3qF1gfGqMQmZiyBInAaSgKerZdgz3q0TmU=w408-h306-k-no
Kankali Madhyamik Bidhyalaya,Government school,Government school,Government school,"P744+832 Syuchatar, Road, Nagarjun 44600, Nepal","P744+832 Syuchatar, Road",Syuchatar,Nagarjun,,44600,NP,27.7057574,85.2551448,+977 1-6203350,+97716203350,,ChIJq978omEi6zkR18bc6C9f2pQ,ChIJq978omEi6zkR18bc6C9f2pQ,18,0.0,,0,7.5,8:30 AM to 4 PM,False,False,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepxtxqlp52JNuHwKetyM4WUWb0I66wgGcOp56iOyhf1878QT2qRS4ryLO_Hpi4yrOaybyafJzZmbBoXHQp1HMN_dtvpj_BIw8PzAnMqZVMuM-Rm3jjKFOApPtlmfmHHKsk6e-H1AycOnF4=w408-h306-k-no
Shree SitaRam Higher Secondary School,Government school,Government school,Government school,"P794+9V2, Nagarjun 44600, Nepal",P794+9V2,Ramkot,Nagarjun,,44600,NP,27.7183915,85.2571413,+977 1-4273808,+97714273808,,ChIJgbsT0W4i6zkReDXPbeGSzu0,ChIJgbsT0W4i6zkReDXPbeGSzu0,25,0.0,,0,6.0,10 AM to 4 PM,False,False,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqIndcUaMYX6y1aNZAvs6F5ziJZ129RcLzG2Co_gDEEIm2MXuD5Tbm-bt-ZId7AO08rfL6KMCQSXg4xX7t4w3PWsnxnvL-Wtb7WOnOd9EvsUHuiPFyKdZHMMAn7ez0zOuUysggR=w408-h306-k-no
Dharmasthali school,Government school,Government school,Government school,"44600, Tarakeshwar, Nepal",44600,Dharmasthali,Tarakeshwar,,,NP,27.7650219,85.3004348,+977 984-1232102,+9779841232102,,ChIJ2ZHLXjof6zkRyChltLeyYE8,ChIJ2ZHLXjof6zkRyChltLeyYE8,25,0.0,,0,11.0,6 AM to 5 PM,False,False,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweohSGtMbMbg_Cy1en-Ek9t5hIazpTBU0bjPI0crEJD7HeymRJi-R9Nn5IC81I_zDL0BtZbRD7gT4nwX54PAI9zTJJzPt4cEaL1ySVXn4xig4EtEC7Jn_De3f-ZRWJX0VBKALVzY=w408-h307-k-no
श्री बालकुमारी माध्यमिक विद्यालय (Shree Balkumari Secondary School),Government school,Government school,Government school,"J8JC+34W, Lalitpur 44700, Nepal",J8JC+34W,Sunakothi,Lalitpur,,44700,NP,27.6303396,85.3204177,+977 1-5570388,+97715570388,,ChIJ2R6SOwwX6zkRlTBtuYYRNwo,ChIJ2R6SOwwX6zkRlTBtuYYRNwo,6,0.0,,0,9.0,8 AM to 5 PM,False,False,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweomyv57UOtFzxdK85Gi2OL8Rru9_sQ7iixUqj1OppJn08CaxKK1WvCUgb6Rh_dOOgJ2ePE7b3UbTT2eQG1VK6O4Ec7ode3GfkMhqpjScbobwvVQDv6xtawyorndw3AqzrNhMqk=w408-h306-k-no
Shree Choina Bina Guru Ganesh Adharbhut Bidyalaya,Government school,Government school,Government school,"M879+QG7, Lalitpur 44700, Nepal",M879+QG7,Lagankhel,Lalitpur,,,NP,27.6644011,85.3187914,+977 984-1851807,+9779841851807,,ChIJFUfXm80Z6zkRS1PX0IN5wx0,ChIJFUfXm80Z6zkRS1PX0IN5wx0,124,0.0,,0,8.0,9 AM to 5 PM,False,False,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Vwqr9kxecsG-0zIDITUQtQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=170.79459&pitch=0&thumbfov=100
Danphe English School,School administration office,School administration office,School administration office,"Lalitpur 44600, Nepal",,Jawalakhel,Lalitpur,,44600,NP,27.6739155,85.3177501,+977 1-5427345,+97715427345,http://www.advancefoundation.edu.np/,ChIJDx9EDjMZ6zkRJLC2K27iUUY,ChIJDx9EDjMZ6zkRJLC2K27iUUY,96,2.3,,0,8.5,8:30 AM to 5 PM,False,False,,https://lh3.googleusercontent.com/p/AF1QipO7CZTg02j5q-aPXM8MwXpmd_0GEV1MgAY8Ybtp=w408-h306-k-no
Shree Budhanilakantha Secondary School/College,Government school,Government school,Government school,"गोल्फुटार मैन रोड, Budhanilkantha 44600, Nepal",गोल्फुटार मैन रोड,,Budhanilkantha,,44600,NP,27.7765921,85.3626373,+977 1-4370279,+97714370279,,ChIJZ9sUhxgc6zkR1PchXklG-iY,ChIJZ9sUhxgc6zkR1PchXklG-iY,28,0.0,,0,8.0,9 AM to 5 PM,False,False,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepORsM8hepMvfgo3XeUipP9HUXoe1aHdhHtsnhkGWYJZsKw8zu1mozQWk4R47VLA98HiJ3q_1P94iYWrwrqGHcbMYhrnLWBZb2ShSgH2I6jODdT3d-lYhC1gAjvHNCgtmdI6Cch=w408-h306-k-no
Tripura Sundari Driving Center,Drivers license training school,Drivers license training school,Drivers license training school,"Upabhokta street, Kathmandu 44600, Nepal",Upabhokta street,,Kathmandu,,44600,NP,27.7459424,85.3373197,+977 986-0502384,+9779860502384,,ChIJtaMSn7oZ6zkRpeoYKoFqfu4,ChIJtaMSn7oZ6zkRpeoYKoFqfu4,20,4.3,,0,15.0,5 AM to 8 PM,False,False,,https://lh3.googleusercontent.com/p/AF1QipMS6Ggq1FFMThxetJQtN6Rhi1A_H_TX-bdmMByi=w408-h353-k-no
