name,main_category,category,categoryName,address,street,neighborhood,city,state,postal,country,lat,lng,phone,phoneUnformatted,website,placeId,place_id,rank,rating,reviewsCount,reviews_count,weekly_hours,hours,permanentlyClosed,temporarilyClosed,price,imageUrl
Maharani beauty salon and academy,Beauty school,Beauty school,Beauty school,,,,,,,0,27.721898,85.2923583,+977 982-3331966,+9779823331966,,ChIJTzfmTNgIXaoRfhB2dRhdg6Q,ChIJTzfmTNgIXaoRfhB2dRhdg6Q,11,5.0,,0,0.0,0,False,False,,https://lh3.googleusercontent.com/p/AF1QipNhn3i_5FxgtOWsuj_ohgzxn4PqLMGTYsabi69T=w408-h607-k-no
Sringar Beauty Training Center,Beauty school,Beauty school,Beauty school,"Lolang height, Kathmandu 44600, Nepal",Lolang height,Goldhunga,Kathmandu,,44600,NP,27.7538889,85.2939514,+977 984-1525705,+9779841525705,,ChIJW-JyyuUY6zkRB9pg5hW-rBs,ChIJW-JyyuUY6zkRB9pg5hW-rBs,12,5.0,,0,9.0,10 AM to 7 PM,False,False,,https://lh3.googleusercontent.com/p/AF1QipO9wvr58VQpQ7vU9JfYMZoqvhUktHrEGoBLiY4d=w408-h306-k-no
Gym Ghar,Boxing gym,Boxing gym,Boxing gym,"Kathmandu 44600, Nepal",,Kalimati,Kathmandu,,44600,NP,27.7002471,85.2830716,,,https://www.facebook.com/Gymgharofficial-100756068879432/,ChIJI1FEzKkZ6zkRr3XX1wDmDe4,ChIJI1FEzKkZ6zkRr3XX1wDmDe4,15,4.9,,0,14.0,6 AM to 8 PM,False,False,,https://lh3.googleusercontent.com/p/AF1QipMkRJIy79p2JRndGankMNJ2cMluDTzRprqiZPjt=w408-h306-k-no
Rock Star Mma Muay Thai Club,Muay Thai boxing gym,Muay Thai boxing gym,Muay Thai boxing gym,"Kathmandu 44600, Nepal",,dhungedhara,Kathmandu,,44600,NP,27.7239392,85.2930742,+977 970-3051928,+9779703051928,https://www.facebook.com/profile.php?id=61555949574822&mibextid=ZbWKwL,ChIJS-D68VoZ6zkRByUXRw9zZW4,ChIJS-D68VoZ6zkRByUXRw9zZW4,6,5.0,,0,14.0,6 AM to 8 PM,False,False,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=wZnrZXDwqGG-YmapZpGZdQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=19.408844&pitch=0&thumbfov=100
NOVA Beauty Salon & Academy,Beauty school,Beauty school,Beauty school,"13 Bafal Marg, Kathmandu 44600, Nepal",13 Bafal Marg,Kalimati,Kathmandu,,44600,NP,27.7034729,85.2823602,+977 970-2131333,+9779702131333,,ChIJB0SQANUb6zkRYQtThoZGpdw,ChIJB0SQANUb6zkRYQtThoZGpdw,2,5.0,,0,6.0,11 AM to 5 PM,False,False,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepLjQd1FAdYYKRSDSWGnZFypgDXBJP8LDkPm3626E10yu8SnbfspaYqBCNT5d4pCR6uzea887XKIuk8Z2LMNAoZb2Yx3Gaw9dyYkvm6dDTAOMF27sYCiJQWgxo26Oazz54vlzlNtUMTAHk=w408-h540-k-no
Deprosc Laghubitta Bittiya Sanstha Ltd. Corporate office,Corporate office,Corporate office,Corporate office,"R.K. Complex, Kathmandu 44600, Nepal",R.K. Complex,Sitapaila,Kathmandu,,44600,NP,27.7076361,85.2816835,,,,ChIJOYiy2roZ6zkRyUT7bYmynvw,ChIJOYiy2roZ6zkRyUT7bYmynvw,11,5.0,,0,10.0,7:30 AM to 5:30 PM,False,False,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqDTkNeFHpzlAc_Jd7TnBceNmeYHDhhayF_WfiGC9oVUPbTXfhxEpHRmGbXYKP7ldE9O_lgds7zfxs_AXutIxE9hP8hp1MWmkquwgZATb9YArupXNO_z_X0KtuG6Us02NhKAdTm=w408-h306-k-no
"Substation 2, Balaju Industrial District Management Office",Government office,Government office,Government office,"P8G2+V6Q, Kathmandu 44600, Nepal",P8G2+V6Q,Balaju,Kathmandu,,,NP,27.7272239,85.3006149,+977 1-4350520,+97714350520,,ChIJbxHncxkZ6zkRB6820Fecocw,ChIJbxHncxkZ6zkRB6820Fecocw,5,0.0,,0,24.0,Open 24 hours,False,False,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqHl0pGynwKqweI6U-ZpVTd609mrrbohY_edfUPE6c2tprgWUuDkwAmlfCY3x1-99Ep5cLyDFcW_jjhq5HlQC4hqi7OTc46sIw5MrsXxQli1vtKGs0rEgbvDsqQr4gNXAPnIE6e=w426-h240-k-no
MANTANANCE LAND MASURMENT DEPARTMENT DILLIBAZER BRANCH,Federal government office,Federal government office,Federal government office,"P7CP+J38, Kathmandu 44600, Nepal",P7CP+J38,Ichangunarayan,Kathmandu,,,NP,27.7215444,85.2851946,,,,ChIJm1pne-8Z6zkRJBBz8OBOKXc,ChIJm1pne-8Z6zkRJBBz8OBOKXc,19,0.0,,0,0.0,0,False,False,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=2VgaxMHsQ03oEKaD-VaFBg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=113.281784&pitch=0&thumbfov=100
Federal Govt Infrastructure Dev Ministry (Transport Management Office),Government office,Government office,Government office,"Unnamed Road, Kathmandu 44600, Nepal","Unnamed Road, Kathmandu 44600",Sitapaila,Nagarjun,,,NP,27.7127535,85.2822758,,,,ChIJ2-6tGHAZ6zkRL6z2UDsjz2c,ChIJ2-6tGHAZ6zkRL6z2UDsjz2c,4,0.0,,0,0.0,0,False,False,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweothM-TYz1kF_juvNQlCIpNtKfKYOxpcXQd0GVcuWCA9be69Dqi8h5ykWBP5bHZjijzdI27CpssepmwF9ze8NDkZd0-C4oSaTmAOQp9nbqzW45IlZvBh9cfBDqyu8WM9WZGO8NHtQ=w408-h725-k-no
Tarkeshwar NP - 5 No. Ward Office,Federal government office,Federal government office,Federal government office,"Q73M+667, Trishuli Hwy, Tarakeshwar 44600, Nepal","Q73M+667, Trishuli Hwy",Goldhunga,Tarakeshwar,,44600,NP,27.7530287,85.2830499,+977 1-5113020,+97715113020,,ChIJFyRosKsf6zkR0qtIFREn5Vk,ChIJFyRosKsf6zkR0qtIFREn5Vk,14,3.7,,0,24.0,Open 24 hours,False,False,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwer02nxzlXlzJRrRUgNYNOZZRUn1japg022abMt8RwxdjnitF-UpP4zmhBS9-Tyi1IEYzB1_jwTuXEOVMC90IUqrm4oUi_LvJ3DmlSaCuod6AZnVhobIDTjx0zyHpaUii6dCqCYUGw=w408-h544-k-no
House of interior pvt ltd,Corporate office,Corporate office,Corporate office,"Q73M+C48, Tarakeshwar 44600, Nepal",Q73M+C48,Goldhunga,Tarakeshwar,,44600,NP,27.753541,85.2828312,+977 984-1367446,+9779841367446,,ChIJ6TjcKAAf6zkReidkm6DATqY,ChIJ6TjcKAAf6zkReidkm6DATqY,6,0.0,,0,0.0,0,False,False,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Y0l_EeOP-fimcC5oedpIbQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=15.22912&pitch=0&thumbfov=100
Goldhunga Public Gym,Gym,Gym,Gym,"Q75P+W3C, Tarakeshwar 44600, Nepal",Q75P+W3C,Goldhunga,Tarakeshwar,,44600,NP,27.7598037,85.2851393,,,,ChIJu6AKXAAf6zkRyfdg_qbEKKs,ChIJu6AKXAAf6zkRyfdg_qbEKKs,1,3.0,,0,24.0,Open 24 hours,False,False,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=-x8lL7DYlTWsacnQUk8WaA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=340.5607&pitch=0&thumbfov=100
Pumpkin Seeds,Food bank,Food bank,Food bank,"M7W9+C5Q, Chandragiri 44600, Nepal",M7W9+C5Q,Purano Naikap,Chandragiri,,44600,NP,27.6961471,85.2680924,,,,ChIJIRFzZwAj6zkRlLTr7RjwJtM,ChIJIRFzZwAj6zkRlLTr7RjwJtM,17,0.0,,0,0.0,0,False,False,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=zfpg0m8gHbchYoGHc12XYg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=352.12485&pitch=0&thumbfov=100
Kathmandu Metropolitan City Office Ward No. 15,Local government office,Local government office,Local government office,"P77V+3RJ, Bhuwankhel Marg, Kathmandu 44620, Nepal","P77V+3RJ, Bhuwankhel Marg",Chhauni,Kathmandu,,44620,NP,27.7127037,85.2945216,+977 1-4277133,+97714277133,http://www.kathmandu.gov.np/,ChIJLw2GGfMY6zkRXnhU3soTFGg,ChIJLw2GGfMY6zkRXnhU3soTFGg,11,3.3,,0,7.0,10 AM to 5 PM,False,False,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepv65nTeerHQwFmgugFO5kBVu1JINIU5Zhb6xNvWyMPa5BD6_dKW8Ofem3oM4xkiMp0mLnz9oeAEuLz4_4iwshrW6CeG0riEkePFzRin--AyEzf_pp8XGNl9_xzkMZQRrer7xNoow=w408-h906-k-no
Shree Sainik Shikchhyan Pachhya,Military school,Military school,Military school,"44600, Kathmandu, Nepal",44600,Tahachal,Kathmandu,,,NP,27.7057839,85.2866635,,,,ChIJ4STSlIkY6zkREpNJj51LDag,ChIJ4STSlIkY6zkREpNJj51LDag,1,5.0,,0,0.0,0,False,False,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweprssv3SeJvPDWD4f9g-CEa-7SmaVuTDnB8If7vhGVd0rXYvTx84RI0QiwoTDzqywiddzAT0mW9xezF1m1HiN7RqVSUQUvmtfq2YMC40jYiptbo2dZ2MkkMV_qACGI2mor7848=w408-h272-k-no
RiverField Fitness & Gym,Gym,Gym,Gym,"P8C2+392, Khusibu Sadak, Kathmandu 44600, Nepal","P8C2+392, Khusibu Sadak",,Kathmandu,,44600,NP,27.7201265,85.3008892,+977 984-9105418,+9779849105418,,ChIJndFLwXEZ6zkR61j4BzkKY1M,ChIJndFLwXEZ6zkR61j4BzkKY1M,19,4.5,,0,15.0,5:30 AM to 8:30 PM,False,False,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerNwf4eSHN-vgR0NDFCUxzid_tDPwovVpBNuxD2m1oJO64_5qWkOHk5e44tAcB8izNmgWVjjX5tYVlOP0Gsk7VfKOqzkOEW8ZNXahg--BNEVtU9nw0pVKsp7H0FFwroOOE5Zywq=w408-h306-k-no
Allfit fitness sano bypass,Gym,Gym,Gym,"sano bypass, Kathmandu 44600, Nepal",sano bypass,Dharmasthali,Kathmandu,,44600,NP,27.7678133,85.2973626,+977 985-1002265,+9779851002265,,ChIJX2JZZJ4f6zkRDjYtqBReST4,ChIJX2JZZJ4f6zkRDjYtqBReST4,15,5.0,,0,16.0,4 AM to 8 PM,False,False,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=txUscuC7VB1XshyHmgPlwA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=288.63126&pitch=0&thumbfov=100
Fitness Express,Gym,Gym,Gym,"Nagarjun 44600, Nepal",,Ramkot,Nagarjun,,44600,NP,27.7186329,85.2626968,+977 984-1281922,+9779841281922,,ChIJa8AvhUMj6zkRJLGKZHK1VdA,ChIJa8AvhUMj6zkRJLGKZHK1VdA,16,4.9,,0,16.0,5 AM to 9 PM,False,False,,https://lh3.googleusercontent.com/p/AF1QipOO-ehiv4MPHN-l6Mwmx81jJr2-ZfeMOa5B9abZ=w408-h725-k-no
Asali Fitness Club,Gym,Gym,Gym,"Sanopul, Lolang, Kathmandu 44600, Nepal","Sanopul, Lolang",Goldhunga,Kathmandu,,44600,NP,27.7467335,85.2988372,+977 976-3230750,+9779763230750,,ChIJs38HGaQZ6zkRBvn1zon_nrk,ChIJs38HGaQZ6zkRBvn1zon_nrk,6,5.0,,0,15.5,5 AM to 8:30 PM,False,False,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqBUbkDK8nRCQzTI4ztW8toKTDYtFSOb24TPN7DkeRTsQq8cLEs9V__K_XcI0Ke2Sx012dnLqkCLJPBVmlTpTC0HzjKdxqyDZhHmxNOHKzodS7lcAnptzGSiMeGf_gV4hNUe1w=w408-h306-k-no
