name,category,lat,lng,place_id
Maharani beauty salon and academy,Beauty school,27.721898,85.2923583,ChIJTzfmTNgIXaoRfhB2dRhdg6Q
Sringar Beauty Training Center,Beauty school,27.7538889,85.2939514,ChIJW-JyyuUY6zkRB9pg5hW-rBs
Gym Ghar,Boxing gym,27.7002471,85.2830716,ChIJI1FEzKkZ6zkRr3XX1wDmDe4
Rock Star Mma Muay Thai Club,Muay Thai boxing gym,27.7239392,85.2930742,ChIJS-D68VoZ6zkRByUXRw9zZW4
NOVA Beauty Salon & Academy,Beauty school,27.7034729,85.2823602,ChIJB0SQANUb6zkRYQtThoZGpdw
Deprosc Laghubitta Bittiya Sanstha Ltd. Corporate office,Corporate office,27.7076361,85.2816835,ChIJOYiy2roZ6zkRyUT7bYmynvw
"Substation 2, Balaju Industrial District Management Office",Government office,27.7272239,85.3006149,ChIJbxHncxkZ6zkRB6820Fecocw
MANTANANCE LAND MASURMENT DEPARTMENT DILLIBAZER BRANCH,Federal government office,27.7215444,85.2851946,ChIJm1pne-8Z6zkRJBBz8OBOKXc
Federal Govt Infrastructure Dev Ministry (Transport Management Office),Government office,27.7127535,85.2822758,ChIJ2-6tGHAZ6zkRL6z2UDsjz2c
Tarkeshwar NP - 5 No. Ward Office,Federal government office,27.7530287,85.2830499,ChIJFyRosKsf6zkR0qtIFREn5Vk
House of interior pvt ltd,Corporate office,27.753541,85.2828312,ChIJ6TjcKAAf6zkReidkm6DATqY
Goldhunga Public Gym,Gym,27.7598037,85.2851393,ChIJu6AKXAAf6zkRyfdg_qbEKKs
Pumpkin Seeds,Food bank,27.6961471,85.2680924,ChIJIRFzZwAj6zkRlLTr7RjwJtM
Kathmandu Metropolitan City Office Ward No. 15,Local government office,27.7127037,85.2945216,ChIJLw2GGfMY6zkRXnhU3soTFGg
Shree Sainik Shikchhyan Pachhya,Military school,27.7057839,85.2866635,ChIJ4STSlIkY6zkREpNJj51LDag
RiverField Fitness & Gym,Gym,27.7201265,85.3008892,ChIJndFLwXEZ6zkR61j4BzkKY1M
Allfit fitness sano bypass,Gym,27.7678133,85.2973626,ChIJX2JZZJ4f6zkRDjYtqBReST4
Fitness Express,Gym,27.7186329,85.2626968,ChIJa8AvhUMj6zkRJLGKZHK1VdA
Asali Fitness Club,Gym,27.7467335,85.2988372,ChIJs38HGaQZ6zkRBvn1zon_nrk
Active 3 Gym & Fitness Club,Gym,27.7473147,85.3010497,ChIJ34jK2R0Z6zkRTB7HvzyvlH8
Kalanki Gym Center,Gym,27.696269,85.2820301,ChIJ7bHrWnUZ6zkRwCbu9KbwOFg
S3 Fitness,Gym,27.7478082,85.2959033,ChIJW0bzOgAZ6zkRPIbaZ4CR9Iw
Pasang Lhamu Sh,Memorial park,27.718019,85.2876299,ChIJ1YysiZEY6zkRHfszP8V2Zxo
Earthquake Memorial park,Park,27.7065081,85.2884511,ChIJ850wjEUZ6zkRuvgxmsRjLVY
Buddha Smiriti Park,Park,27.7664873,85.299078,ChIJhRJLCH0f6zkROpV-Og0uhYk
Raniban Park,Park,27.7363667,85.2888608,ChIJaVMISN0Z6zkRVFRG0Zyuu_I
Rastriya Swatantra Party - RSP - राष्ट्रिय स्वतन्त्र पार्टी,Political party office,27.7244166,85.2997724,ChIJU5heFNQZ6zkR6WFxwdZskfM
"Urban Health Center-11, Tarakeshwor Municipality",Government office,27.7771357,85.3012475,ChIJNydwSQAf6zkRDnW8gPALOxw
AvhiRaj Bhai तराई जिउँदो माछा पसल.maxa,Garden,27.7844409,85.3011225,ChIJiwSEVAAf6zkRQmFoSNfw6PQ
Tarakeshwor Municipality Ward-3,Local government office,27.7768284,85.2783796,ChIJNzSbJmcf6zkRT-d86IGNRGk
Great Force Gym and Fitness,Fitness center,27.7552261,85.2950006,ChIJqZAEEQAf6zkRUo2CKiaF0HE
Royal photo & frame,Photography studio,27.7502018,85.2881204,ChIJX6gQZgAZ6zkRKlqq1HJ9Mcw
Panash Studio,Photography studio,27.7847061,85.2919329,ChIJB8QzJQAf6zkRUKi-z-xTryc
Devithan Pani tanki,Park,27.7895867,85.3006956,ChIJB6l5WY8f6zkRHiSOLgh6KmE
ख्यः पुखूः(पोखरी) Dhamathu Dharmasthali,Water park,27.7649597,85.3007184,ChIJAZ5qYM8f6zkRoT_77z7kVKQ
Kabita Beauty parlour and cosmetics,Beauty salon,27.7909757,85.2650679,ChIJwUEEiK8h6zkRfioKC3PUlag
Nirjara Beauty Salon : Best Beauty Parlour in Kathmandu,Beauty salon,27.6953475,85.2884313,ChIJt2zmPlUZ6zkR3GpwOIj8eUk
Goshwara Post Office,Post office,27.7148725,85.2738677,ChIJ6cgfdAAZ6zkReR2ii_ApGTA
Royal Global Courier,Post office,27.7232084,85.2968346,ChIJS_l3RgAZ6zkRfApGe4r2lQc
Police station,Post office,27.716308,85.2840398,ChIJCcugMAAZ6zkROG0ni2REV_c
Ichha chok gupteshwor dham,Post office,27.7550449,85.2975139,ChIJd23WIAAf6zkRf9-SvzhjJ_c
सिम्पानी धारा,Water park,27.7360034,85.2800772,ChIJv1PBqxgZ6zkR8bjSXVHusOE
Balaju Park,Park,27.7338465,85.3011804,ChIJcVnYYsMY6zkRIKpbPypjzLc
सुचना संकलन केन्द्र जाने बाटो ।,Post office,27.7229711,85.2478927,ChIJCSJpGDUj6zkRwufC-lsigWk
The Well Tap,Water park,27.7284072,85.2957189,ChIJt-LFLMAY6zkRuDz7p7ChN28
तीन धारा रानीबन,Water park,27.7409095,85.2865789,ChIJm5EQbLAY6zkR6Nf0ygsZJVw
Mountain Muaythai,Gym,27.7306641,85.2927242,ChIJq6nSRAAZ6zkR5Ye7qfq7eqE
R.G Fitness,Gym,27.7206977,85.2945406,ChIJFxLe468Z6zkRX_Ci41tv-Q0
"Raniban, Kathmandu",Gym,27.7288054,85.2889792,ChIJS4VLKAAZ6zkRaS3lnkCXbe0
Banasthali,Gym,27.7251462,85.2974975,ChIJ_dw2OQAZ6zkRHMrVr4bOzKQ
Gymnasium and Spa,Gym,27.7261773,85.2893422,ChIJ83iznXsZ6zkRpooeLrdUkvQ
APF Gym Block,Gym,27.7198227,85.2832606,ChIJ__-jkJAY6zkRdQBD-DWY7ys
Nagarjun Municipality Ward No - 3 Office,Local government office,27.7224122,85.274854,ChIJZcDw6P4Z6zkR9ZOyNiCzjws
Nagarjun - 1 No. Ward Office,Local government office,27.7342031,85.2851284,ChIJOQX4d7sY6zkR3sow-ZXZLM4
Chittadhar Hridaya Statue,Memorial park,27.6985023,85.3004313,ChIJu13x01sY6zkR3Pq5Li2UN7c
Tarakeshwor Municipality Ward no: 4,Local government office,27.7416858,85.2991719,ChIJm3fZTgAZ6zkR3NmmqgMh4Z8
Siddhartha Park,Memorial park,27.7108075,85.2967868,ChIJ__9Qi_MY6zkRXutYqRcrrU8
Prawaha Nepal,Environment office,27.721447,85.2882985,ChIJIbHDTwAZ6zkR_b7ckmdX6ec
Healthy heart fitness center ( thulo bharyang),Gym,27.7221898,85.2838916,ChIJHfrIluIZ6zkRAmKnZLuGD2E
Fitness Corner,Gym,27.7253687,85.297636,ChIJkzGYLeoY6zkRZ-e886DjV-U
Yerahity Fitness,Gym,27.7239852,85.2914307,ChIJjTns6ZQY6zkREU0eGkOJ3qc
Belegend Shapes Fitness And Gym,Gym,27.7180463,85.3004563,ChIJJ9v7iS4Z6zkRSaIIRWLX7gg
FitX gym,Gym,27.7343872,85.2897254,ChIJJWjNvcAZ6zkRdV8wj2JvixE
Tarakeshwor Municipality Office,Local government office,27.7647397,85.3007883,ChIJrVsxizof6zkRy-5fYSoUkVU
River Side Park For Children,Park,27.7215227,85.3004979,ChIJgcVUCgAZ6zkR5015Pn_fm40
MasinGhaa. Biswo karma park,Park,27.7181074,85.288722,ChIJLwN2GwAZ6zkRzx0p7-nzyjg
VISUALCRAFTS NEPAL,Photography studio,27.7204446,85.2989168,ChIJKY0-7_YZ6zkRmoo0B-m0elY
Seto Puul,Park,27.7233011,85.2940388,ChIJB4E6VAAZ6zkRrSJu3dWN-O8
Welcome digital Photostudio,Photography studio,27.723164,85.283821,ChIJr9w6CgAZ6zkRSc6cBDHhz_s
Inlight Digital Photo Studio,Photography studio,27.7210393,85.2837209,ChIJM_FUWwAZ6zkRtvjdCcvtZyA
Company Registration Nepal,Registration office,27.7244133,85.2981068,ChIJ4eQBtnQZ6zkRTx8JKzilpbE
Industrial Districts Management Ltd.,Office,27.7304591,85.3003502,ChIJgz49V8IY6zkRPcAH3L8WX7s
Reliable Earthmovers Jcb,Corporate office,27.7195136,85.2855237,ChIJWXWF2VwZ6zkRQ_EbA-tKvVg
PanchaMahalaxmi Saving & Credit Limited,Corporate office,27.727483,85.2940967,ChIJUcGuGAAZ6zkRg4NeOYNcHzQ
Precious Moments Np,Photography studio,27.7231604,85.286765,ChIJC4qsG6MZ6zkR3WMHTnNA-Xk
Bishal home,Photography studio,27.731841,85.2982774,ChIJNyKfGAAj6zkR3Qeoxf6Bi1U
"राष्ट्रिय स्वतन्त्र पार्टी, नागार्जुन नगरपालिका",Political party office,27.7098435,85.2824816,ChIJXQ9ekjQZ6zkRbbzqPniMn0g
National parjatantr Party of Nepal,Political party office,27.714861,85.283075,ChIJA7wK8Y8Y6zkR-Bx6RNccKsI
Communist Party of Nepal-UML,Political party office,27.698233,85.2982349,ChIJVxNQ-FsY6zkRzckcwelsRM4
Ziva productions,Photography studio,27.7230287,85.3006994,ChIJA0cQDgAZ6zkRnAyrq9xVJpQ
JunuS Beauty Salon,Beauty salon,27.7308645,85.2939624,ChIJIwrPi_0Z6zkRZ86jtbs0nm0
"Transport Management Service Office, [Vehicle Renewal]",State government office,27.720619,85.2896722,ChIJaejxmJMY6zkRL3Ow4ubmxfI
फेमस फोटो स्टूडियो,Photography studio,27.7206935,85.2863163,ChIJEz4pP5EY6zkRo9pzbWNznpY
Mr. Swayambhu magazine office,Government office,27.717832,85.291828,ChIJMRwEwZIY6zkR-IVBqaxINYU
Rkraj Photography,Photography studio,27.7330568,85.2827839,ChIJI2HqC6cZ6zkR11ABrwJZYwc
Ncell Sim Dealer/Distributor Satellite Nepal Pvt Ltd,Office,27.720976,85.2888579,ChIJG63n8ZMY6zkR8o91S8oM0Io
FotoFilms,Photography studio,27.7212992,85.2937414,ChIJmwGsbIAZ6zkR8itHYFVso70
Sagun Photo Studio,Photography studio,27.7202609,85.2863489,ChIJc-85FZEY6zkRGUei_Xq0qJs
Banasthali Digital Photo Express,Photography studio,27.7244646,85.2977183,ChIJxU2V0OsY6zkR1rY05LywfQ0
KL Photo Studio,Photography studio,27.7308357,85.2939577,ChIJX0t7LroZ6zkRny8jeN-Zo0c
MaharZan’s PhotoGraphy,Photography studio,27.7197316,85.2990525,ChIJQVZJWAAZ6zkR5fN0G1NiZN0
Basaha digital photo Studio,Photography studio,27.7314844,85.2930371,ChIJD_8qgq0Z6zkRq4ZfbGq-RXM
RK Digital Studio,Photography studio,27.7301057,85.2875796,ChIJJfAjfQAZ6zkRq3U3AnIqDxc
Gorkha Photo studio & stationery,Photography studio,27.7237551,85.2930318,ChIJ3YR4pP4Z6zkRZNyadslt66U
Aiwibi Nepal Head Office,Corporate office,27.723088,85.2949026,ChIJtSKkfwAZ6zkRozYYp3syH_8
Lotus Photo Studio,Photography studio,27.7268366,85.2917041,ChIJi8rNld8Z6zkRGLDY9e7ICmI
"Bandipur Digital Photo Studio & Cyber, Dhunedhara",Photography studio,27.7253125,85.2921875,ChIJXzmOOaAZ6zkRN9xaianPwOo
Chamati Park D-Block,Park,27.7215892,85.2994062,ChIJ76vVdwAZ6zkRjo_1UIVUlxs
Power Fitness Gym and Zumba,Gym,27.7293791,85.2885895,ChIJVbAgRAAZ6zkR9juHe91SgcU
Camati Park E-Block,Park,27.7213535,85.2965108,ChIJ-bVsOwAZ6zkRnAsi-h-akuE
AG Health Industries Corporate Office,Corporate office,27.7226483,85.296982,ChIJm7NT-OkY6zkRnfB4FOWBkhA
Yatri Supply,Corporate office,27.7203118,85.2937517,ChIJPWHcP10Z6zkR_GjtFZC3InU
Khusibu Children Park,Park,27.7177548,85.3006209,ChIJXYexMZEZ6zkR7WRhVB0R8EA
Tp Enterprises pvt ltd,Photography studio,27.7246348,85.2965738,ChIJQcPwCgAZ6zkR8RI8iH4LNo4
Butha Park,Park,27.723616,85.2980051,ChIJZQojNQAZ6zkRHJg1QMT2jzM
Nursery Park - II,Park,27.7269289,85.2915668,ChIJsxLzVgAZ6zkRfZ2YF4OoV4w
नेकपा(एस) १ नम्बर वडा कमिटी,Political party office,27.7292711,85.2884027,ChIJj9v2V1YZ6zkRsW1qWQaEqnA
च:मति वृद्ध पार्क Chamati Old-age Park,Park,27.7187138,85.2985543,ChIJy4cgowAZ6zkR3WcCYwefJZU
public park,Park,27.721888,85.3007239,ChIJvXUwXAAZ6zkR4LrJ3ZskPo4
च:मति जनमार्ग ध्यान पार्क Chamati Janamarga Dhyan Park,Park,27.7181261,85.2959227,ChIJpyY9hCQZ6zkRksmCSa1bDxY
आनन्दभूमि उद्यान Ananda Bhoomi Park,Park,27.7175759,85.2903716,ChIJS0s7LgAZ6zkRyfyxoEq8Kak
Hamro Online Post Office,Post office,27.6952216,85.2829591,ChIJH8XJcTsZ6zkR1CkEi_zH2xQ
Hulak ghar,Post office,27.7147031,85.2863648,ChIJfQO6ZAAZ6zkRjQNPoM9O3Dw
Chamati Park B-Block,Park,27.7235885,85.3011609,ChIJqxBjHwAZ6zkR1xE-E1tkvwo
Department of Foreign Employment,Government office,27.6995533,85.289908,ChIJ8eGPeLkZ6zkRQUxmHOPmxVI
Monika The Beauty Care,Beauty salon,27.7275337,85.2941481,ChIJ4QrW8IEZ6zkRvULKcGSyoew
Chamati charging station,Business park,27.7177569,85.2968258,ChIJZWwRbkIZ6zkReIRRcg_3aJE
Swayambhu Buddha Park - Ring Road,Park,27.716145,85.2838866,ChIJgUeYIZAY6zkRnUFbvtoxJMA
GATS Quarter Office,Corporate office,27.7529394,85.2983553,ChIJ4WT9KgAf6zkR3zklwxHhAb4
Golden memory,Photography studio,27.725045,85.2888913,ChIJ00QQRQAZ6zkRT92fwErChPc
Safety Innovation Pvt. Ltd,Office supply store,27.7197097,85.2897046,ChIJO_MbKTMZ6zkRZqpSj62i82I
Laxmi media pvt.ltd,Photography studio,27.727746,85.2923366,ChIJefShfgAZ6zkRM8modKpTxvo
Hamro Chhapakhana,Corporate office,27.7131736,85.2826589,ChIJb-2yAgAZ6zkRKSGW7RAVPQk
ग्रीन सोसाइटि बहुउदेस्य सहकारि सस्था लि।,Corporate office,27.7843479,85.3011209,ChIJd3JVKAAf6zkR77Vb0PP9sB8
Luster Nails Studio,Nail salon,27.7268311,85.2917088,ChIJt24tzdsZ6zkRtDcEWh7vKXw
Mimosha Beauty Parlour and Cosmetics,Beauty salon,27.7269526,85.2917371,ChIJS3YQAgAZ6zkRX2U11uTJTJM
Manjushree Beauty Studio,Beauty salon,27.722422,85.2864029,ChIJa5CfjqYZ6zkRH0vli3gpgwk
Rose Beauty Zone (Makeup Studio & Training Center),Beauty salon,27.7231209,85.2934748,ChIJm5sZolgZ6zkRrCYPimYGCuE
Terisa beauty Parlour,Beauty salon,27.7282373,85.2984004,ChIJn53pWwAZ6zkRnWnRS9KbqRE
Crystal Product Pvt Ltd,Corporate office,27.7263705,85.2974893,ChIJJyuVlTkZ6zkR-2Fjp3LgUFE
Living Arts Pvt. Ltd.,Corporate office,27.7242814,85.2932245,ChIJ2an_ckIZ6zkR7bQpWv1hem8
