additionalInfo_Accessibility_Wheelchair accessible entrance,additionalInfo_Accessibility_Wheelchair accessible parking lot,additionalInfo_Amenities_Gender-neutral restroom,additionalInfo_Parking_Free parking lot,additionalInfo_Service options_Drive-through,address,alcohol,beer,breakfast,cash_only,casual,category,categoryName,cid,city,claimThisBusiness,coffee,country,countryCode,delivery,dine_in,dinner,family_friendly,fid,googleFoodUrl,hours,imageUrl,imagesCount,info_Accessibility_Wheelchair accessible entrance,info_Accessibility_Wheelchair accessible parking lot,info_Amenities_Gender-neutral restroom,info_Parking_Free parking lot,info_Service options_Drive-through,isAdvertisement,kgmid,language,lat,lng,loc_lat,loc_lng,location_lat,location_lng,lunch,main_category,name,neighborhood,openingHours_day,openingHours_hours,permanentlyClosed,phone,phoneUnformatted,placeId,place_id,postal,postalCode,price,rank,rating,reservations,reviewsCount,reviewsDistribution_fiveStar,reviewsDistribution_fourStar,reviewsDistribution_oneStar,reviewsDistribution_threeStar,reviewsDistribution_twoStar,reviews_count,scrapedAt,searchPageUrl,searchString,search_term,state,street,subTitle,takeout,temporarilyClosed,title,totalScore,tourists,url,vegetarian,website,weekly_hours,wheelchair_accessible_entrance,wifi
,,,,,"MCFM+P46, थालाछें टोल सडक, Bhaktapur 44800, Nepal",0,0,0,0,0,Cooperative bank,Cooperative bank,4042775350261741557,Bhaktapur,True,0,NP,NP,0,0,0,0,0x39eb1ab222a48e6d:0x381ad2c2f30e77f5,,7 AM to 3 PM,https://lh3.googleusercontent.com/gps-proxy/ALd4DhH2KgUhJySSmx0xhqWoicza1LuQtSLei2YEwxJPF__5AOhLM5aR8IR9bWUKlINfiwGx6jDaxEDFMjpoXZMwGwCpG-eIoTcGzD8Gj9TQ0f2EoAzBuEThhIAZ_gzbfQtsFBBnn6ajeZtf4mQmP9xqJyeEiPdjuhD6VoB3gHRQkfqd_JakIOlOdh6kKw4s1eyvKjNBD04=w408-h306-k-no,7,,,,,,False,/g/11b6q90kl5,en,27.6742856,85.4327744,27.6742856,85.4327744,27.6742856,85.4327744,0,Cooperative bank,थालाछें बचत तथा ऋण सहकारी संस्था लिमिटेड,,Monday,7 AM to 3 PM,False,+977 1-6616580,+97716616580,ChIJbY6kIrIa6zkR9XcO88LSGjg,ChIJbY6kIrIa6zkR9XcO88LSGjg,44800,44800,,45,4.0,0,1,0,1,0,0,0,1,2025-11-14T08:13:50.661Z,"https://www.google.com/maps/search/bank/@27.67530454090198,85.43009086349416,17z?hl=en",bank,bank,,"MCFM+P46, थालाछें टोल सडक",,0,False,थालाछें बचत तथा ऋण सहकारी संस्था लिमिटेड,4,0,https://www.google.com/maps/search/?api=1&query=%E0%A4%A5%E0%A4%BE%E0%A4%B2%E0%A4%BE%E0%A4%9B%E0%A5%87%E0%A4%82%20%E0%A4%AC%E0%A4%9A%E0%A4%A4%20%E0%A4%A4%E0%A4%A5%E0%A4%BE%20%E0%A4%8B%E0%A4%A3%20%E0%A4%B8%E0%A4%B9%E0%A4%95%E0%A4%BE%E0%A4%B0%E0%A5%80%20%E0%A4%B8%E0%A4%82%E0%A4%B8%E0%A5%8D%E0%A4%A5%E0%A4%BE%20%E0%A4%B2%E0%A4%BF%E0%A4%AE%E0%A4%BF%E0%A4%9F%E0%A5%87%E0%A4%A1&query_place_id=ChIJbY6kIrIa6zkR9XcO88LSGjg,0,,46.0,0,0
,,,,,"MCFG+GVW Radhe radhe, Bhaktapur 44800, Nepal",0,0,0,0,0,Cooperative bank,Cooperative bank,5664327839523552245,Bhaktapur,True,0,NP,NP,0,0,0,0,0x39eb1bab610228b1:0x4e9bbc28be283bf5,,9 AM to 6 PM,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyYCqvBFJghsmTrNWuYy03G5l-4xjdZG87zi6RJzBM6vjnnOrdZmrbSPhu-F3C6GRH48m9sn-6GoxnY_KjQ_5SDxdtjnHQfK8rwUs6CorJENnlwYPnqqYJ68CAexrWj9622OHSw=w408-h544-k-no,2,,,,,,False,/g/11p11c84bf,en,27.6738729,85.4272013,27.6738729,85.4272013,27.6738729,85.4272013,0,Cooperative bank,Paripurna Multipurpose Co. Ltd,,Monday,9 AM to 6 PM,False,,,ChIJsSgCYasb6zkR9Tsovii8m04,ChIJsSgCYasb6zkR9Tsovii8m04,44800,44800,,47,0.0,0,0,0,0,0,0,0,0,2025-11-14T08:13:50.661Z,"https://www.google.com/maps/search/bank/@27.67530454090198,85.43009086349416,17z?hl=en",bank,bank,,MCFG+GVW Radhe radhe,,0,False,Paripurna Multipurpose Co. Ltd,,0,https://www.google.com/maps/search/?api=1&query=Paripurna%20Multipurpose%20Co.%20Ltd&query_place_id=ChIJsSgCYasb6zkR9Tsovii8m04,0,https://www.facebook.com/Paripurna-Multipurpose-Co-Ltd-106065431820786,57.0,0,0
,,,,,"MCGH+5V8, Nagarkot Rd, Bhaktapur 44800, Nepal",0,0,0,0,0,Cooperative bank,Cooperative bank,1936079332006700381,Bhaktapur,True,0,NP,NP,0,0,0,0,0x39eb1b0438429003:0x1ade55e5093c255d,,0,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ThphHe1iX43hK4lFJCFF7Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=328.89456&pitch=0&thumbfov=100,1,,,,,,False,/g/11t7rz1hv7,en,27.6754579,85.4297438,27.6754579,85.4297438,27.6754579,85.4297438,0,Cooperative bank,Subhakamana Saving and Credit Cooperatives Ltd. Byasi Service Counter,,,0,False,,,ChIJA5BCOAQb6zkRXSU8CeVV3ho,ChIJA5BCOAQb6zkRXSU8CeVV3ho,44800,44800,,48,0.0,0,0,0,0,0,0,0,0,2025-11-14T08:13:50.661Z,"https://www.google.com/maps/search/bank/@27.67530454090198,85.43009086349416,17z?hl=en",bank,bank,,"MCGH+5V8, Nagarkot Rd",,0,False,Subhakamana Saving and Credit Cooperatives Ltd. Byasi Service Counter,,0,https://www.google.com/maps/search/?api=1&query=Subhakamana%20Saving%20and%20Credit%20Cooperatives%20Ltd.%20Byasi%20Service%20Counter&query_place_id=ChIJA5BCOAQb6zkRXSU8CeVV3ho,0,,0.0,0,0
,,,,,"M9GW+8XC, Madhyapur Thimi, Nepal",0,0,0,0,0,Cooperative bank,Cooperative bank,5568124911719489227,Madhyapur Thimi,True,0,NP,NP,0,0,0,0,0x39eb1b13516405ff:0x4d45f41b240b1ecb,,10 AM to 5 PM,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=QJfeoB9IKoMJAZtuWpUFLA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=345.64786&pitch=0&thumbfov=100,2,,,,,,False,/g/11pd_8yz4r,en,27.6758124,85.3974005,27.6758124,85.3974005,27.6758124,85.3974005,0,Cooperative bank,Kantipur Saving and Credit Co-operative Limited - Radhe Radhe,,Monday,10 AM to 5 PM,False,+977 1-6637515,+97716637515,ChIJ_wVkURMb6zkRyx4LJBv0RU0,ChIJ_wVkURMb6zkRyx4LJBv0RU0,,,,4,4.0,0,4,0,0,0,0,0,4,2025-11-14T10:19:52.440Z,"https://www.google.com/maps/search/bank/@27.680106502310814,85.39674438680153,17z?hl=en",bank,bank,,M9GW+8XC,,0,False,Kantipur Saving and Credit Co-operative Limited - Radhe Radhe,4,0,https://www.google.com/maps/search/?api=1&query=Kantipur%20Saving%20and%20Credit%20Co-operative%20Limited%20-%20Radhe%20Radhe&query_place_id=ChIJ_wVkURMb6zkRyx4LJBv0RU0,0,,42.0,0,0
,,,,,"Jagatjung Marg, Kageshwori Manohara 44600, Nepal",0,0,0,0,0,Cooperative bank,Cooperative bank,5304486460728130748,Kageshwori Manohara,False,0,NP,NP,0,0,0,0,0x879cc8d7454d0f41:0x499d5254e791bcbc,,10 AM to 3 PM,https://lh3.googleusercontent.com/p/AF1QipOUHbWuS7BDYE5_0Lh-Cont9X-FJCmtOnwNBY8X=w408-h544-k-no,3,,,,,,False,/g/11k4ns3tpx,en,27.701128,85.3812477,27.701128,85.3812477,27.701128,85.3812477,0,Cooperative bank,Surya Sandesh Co-operative,Thapagaon,Monday,10 AM to 3 PM,False,+977 1-4990884,+97714990884,ChIJQQ9NRdfInIcRvLyR51RSnUk,ChIJQQ9NRdfInIcRvLyR51RSnUk,44600,44600,,21,5.0,0,1,1,0,0,0,0,1,2025-11-14T10:20:38.109Z,"https://www.google.com/maps/search/bank/@27.702926009243246,85.38815918240205,17z?hl=en",bank,bank,,Jagatjung Marg,,0,False,Surya Sandesh Co-operative,5,0,https://www.google.com/maps/search/?api=1&query=Surya%20Sandesh%20Co-operative&query_place_id=ChIJQQ9NRdfInIcRvLyR51RSnUk,0,https://www.facebook.com/surya.sandesh.37,28.0,0,0
,,,,,"M9FC+P6R, Araniko Highway, Madhyapur Thimi 44600, Nepal",0,0,0,0,0,Cooperative bank,Cooperative bank,17435039459944421978,Madhyapur Thimi,True,0,NP,NP,0,0,0,0,0x39eb1a122834bc99:0xf1f5b40396e7da5a,,10 AM to 4:30 PM,https://lh3.googleusercontent.com/gps-proxy/ALd4DhEYjh1KkRwPzGQ2gfdkoNxTt63y44QY4CyXC_P51C-vQHWZwOPkrZ6z4FLaJtPtUyHJk9v74q2fH2xvTzAemtcjmzfCKCEfgbKLjtVsagly_BlYG_OGzxJKC6MEOtcP0YZLnXn2I-bMCsvrMq0fVCdLkL2mhgctfZfh8upye9DP1UEXptHTpXCBfwJt5zMxqQsG7A=w408-h306-k-no,4,,,,,,False,/g/11b6s3p19v,en,27.67436,85.370524,27.67436,85.370524,27.67436,85.370524,0,Cooperative bank,Agricultural Development SACCOS,Gatthaghar,Monday,10 AM to 4:30 PM,False,+977 1-6636581,+97716636581,ChIJmbw0KBIa6zkRWtrnlgO09fE,ChIJmbw0KBIa6zkRWtrnlgO09fE,44600,44600,,18,3.7,0,3,0,0,0,0,0,3,2025-11-14T10:20:56.182Z,"https://www.google.com/maps/search/bank/@27.672500000000003,85.37098877360309,17z?hl=en",bank,bank,,"M9FC+P6R, Araniko Highway",,0,False,Agricultural Development SACCOS,3.7,0,https://www.google.com/maps/search/?api=1&query=Agricultural%20Development%20SACCOS&query_place_id=ChIJmbw0KBIa6zkRWtrnlgO09fE,0,,39.0,0,0
,,,,,"M9F7+GW9, Madhyapur Thimi 44600, Nepal",0,0,0,0,0,Cooperative bank,Cooperative bank,14811891745302890542,Madhyapur Thimi,True,0,NP,NP,0,0,0,0,0x39eb1b0060e42a5f:0xcd8e6910ca51c82e,,10 AM to 5 PM,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=bVxKHJ9SNSfTpbqlF7YEwQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=291.18787&pitch=0&thumbfov=100,2,,,,,,False,/g/11vrrrwt6m,en,27.6737761,85.3648729,27.6737761,85.3648729,27.6737761,85.3648729,0,Cooperative bank,Sakchhyam Saving & Credit Co-operative Ltd. सक्षम सहकारी,Kausaltar,Monday,10 AM to 5 PM,False,+977 1-5639316,+97715639316,ChIJXyrkYAAb6zkRLshRyhBpjs0,ChIJXyrkYAAb6zkRLshRyhBpjs0,44600,44600,,38,5.0,0,1,1,0,0,0,0,1,2025-11-14T10:20:56.960Z,"https://www.google.com/maps/search/bank/@27.672500000000003,85.37098877360309,17z?hl=en",bank,bank,,M9F7+GW9,,0,False,Sakchhyam Saving & Credit Co-operative Ltd. सक्षम सहकारी,5,0,https://www.google.com/maps/search/?api=1&query=Sakchhyam%20Saving%20%26%20Credit%20Co-operative%20Ltd.%20%E0%A4%B8%E0%A4%95%E0%A5%8D%E0%A4%B7%E0%A4%AE%20%E0%A4%B8%E0%A4%B9%E0%A4%95%E0%A4%BE%E0%A4%B0%E0%A5%80&query_place_id=ChIJXyrkYAAb6zkRLshRyhBpjs0,0,,42.0,0,0
,,,,,"M9FF+MPJ, Madhyapur Thimi 44600, Nepal",0,0,0,0,0,Cooperative bank,Cooperative bank,13738815824182193914,Madhyapur Thimi,True,0,NP,NP,0,0,0,0,0x39eb1b0b7a104a85:0xbeaa143362e52efa,,10 AM to 5:30 AM,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=jgjp8UjXZDKNg9uEBB5klw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=139.05292&pitch=0&thumbfov=100,1,,,,,,False,/g/11n0c0dnr2,en,27.6742155,85.374263,27.6742155,85.374263,27.6742155,85.374263,0,Cooperative bank,हिमशिखर बहुउद्देश्यीय सहकारी,Gatthaghar,Monday,10 AM to 5:30 AM,False,+977 1-6630872,+97716630872,ChIJhUoQegsb6zkR-i7lYjMUqr4,ChIJhUoQegsb6zkR-i7lYjMUqr4,,,,45,5.0,0,1,1,0,0,0,0,1,2025-11-14T10:20:57.680Z,"https://www.google.com/maps/search/bank/@27.672500000000003,85.37098877360309,17z?hl=en",bank,bank,,M9FF+MPJ,,0,False,हिमशिखर बहुउद्देश्यीय सहकारी,5,0,https://www.google.com/maps/search/?api=1&query=%E0%A4%B9%E0%A4%BF%E0%A4%AE%E0%A4%B6%E0%A4%BF%E0%A4%96%E0%A4%B0%20%E0%A4%AC%E0%A4%B9%E0%A5%81%E0%A4%89%E0%A4%A6%E0%A5%8D%E0%A4%A6%E0%A5%87%E0%A4%B6%E0%A5%8D%E0%A4%AF%E0%A5%80%E0%A4%AF%20%E0%A4%B8%E0%A4%B9%E0%A4%95%E0%A4%BE%E0%A4%B0%E0%A5%80&query_place_id=ChIJhUoQegsb6zkR-i7lYjMUqr4,0,http://www.himshikharcooperative.com.np/,116.5,0,0
,,,,,"M9FC+P8R, Bhaktapur 44600, Nepal",0,0,0,0,0,Cooperative bank,Cooperative bank,16026367061862634703,Bhaktapur,True,0,NP,NP,0,0,0,0,0x39eb1b53f2b28cf3:0xde6917ee7257d4cf,,10 AM to 3 PM,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=U78Hf7rS0vOWdDqUYtje_g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=128.72714&pitch=0&thumbfov=100,1,,,,,,False,/g/11rw7c0jdn,en,27.6743655,85.370781,27.6743655,85.370781,27.6743655,85.370781,0,Cooperative bank,Suryadev Multipurpose,Gatthaghar,Monday,10 AM to 3 PM,False,+977 1-5918414,+97715918414,ChIJ84yy8lMb6zkRz9RXcu4Xad4,ChIJ84yy8lMb6zkRz9RXcu4Xad4,,,,53,0.0,0,0,0,0,0,0,0,0,2025-11-14T10:20:57.680Z,"https://www.google.com/maps/search/bank/@27.672500000000003,85.37098877360309,17z?hl=en",bank,bank,,M9FC+P8R,,0,False,Suryadev Multipurpose,,0,https://www.google.com/maps/search/?api=1&query=Suryadev%20Multipurpose&query_place_id=ChIJ84yy8lMb6zkRz9RXcu4Xad4,0,,28.0,0,0
,,,,,"M9FF+C32, Madhyapur Thimi 44600, Nepal",0,0,0,0,0,Cooperative bank,Cooperative bank,11070484133643126144,Madhyapur Thimi,True,0,NP,NP,0,0,0,0,0x39eb1b003a5d86a7:0x99a242aa65658580,,0,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=TAOyQh-_BZ0_uiFFge_6XA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=225.11871&pitch=0&thumbfov=100,2,,,,,,False,/g/11y4vfqssd,en,27.6735006,85.3726426,27.6735006,85.3726426,27.6735006,85.3726426,0,Cooperative bank,Pabitra Halesi Dham Saving and Credit,Gatthaghar,,0,False,,,ChIJp4ZdOgAb6zkRgIVlZapCopk,ChIJp4ZdOgAb6zkRgIVlZapCopk,44600,44600,,55,0.0,0,0,0,0,0,0,0,0,2025-11-14T10:20:57.680Z,"https://www.google.com/maps/search/bank/@27.672500000000003,85.37098877360309,17z?hl=en",bank,bank,,M9FF+C32,,0,False,Pabitra Halesi Dham Saving and Credit,,0,https://www.google.com/maps/search/?api=1&query=Pabitra%20Halesi%20Dham%20Saving%20and%20Credit&query_place_id=ChIJp4ZdOgAb6zkRgIVlZapCopk,0,,0.0,0,0
