additionalInfo_Accessibility_Assistive hearing loop,additionalInfo_Accessibility_Wheelchair accessible entrance,additionalInfo_Accessibility_Wheelchair accessible parking lot,additionalInfo_Accessibility_Wheelchair accessible restroom,additionalInfo_Accessibility_Wheelchair accessible seating,additionalInfo_Accessibility_Wheelchair-accessible car park,additionalInfo_Amenities_Gender-neutral restroom,additionalInfo_Amenities_Gender-neutral toilets,additionalInfo_Amenities_Restroom,additionalInfo_Children_Discounts for kids,additionalInfo_Children_Family discount,additionalInfo_Children_Nursing room,additionalInfo_Crowd_LGBTQ+ friendly,additionalInfo_Crowd_Transgender safespace,additionalInfo_From the business_Identifies as women-owned,additionalInfo_Offerings_Cosmetic dentistry,additionalInfo_Offerings_Medication disposal,additionalInfo_Parking_Free parking garage,additionalInfo_Parking_Free parking lot,additionalInfo_Parking_Free street parking,additionalInfo_Parking_On-site parking,additionalInfo_Payments_Cash-only,additionalInfo_Payments_Checks,additionalInfo_Payments_Credit cards,additionalInfo_Payments_Debit cards,additionalInfo_Payments_NFC mobile payments,additionalInfo_Planning_Appointment required,additionalInfo_Planning_Appointments recommended,additionalInfo_Planning_Quick visit,additionalInfo_Service options_Delivery,additionalInfo_Service options_Drive-through,additionalInfo_Service options_Online appointments,additionalInfo_Service options_Onsite services,additionalOpeningHours_Delivery_day,additionalOpeningHours_Delivery_hours,additionalOpeningHours_Lunch_day,additionalOpeningHours_Lunch_hours,additionalOpeningHours_Online service hours_day,additionalOpeningHours_Online service hours_hours,address,alcohol,beer,breakfast,cash_only,casual,category,categoryName,cid,city,claimThisBusiness,coffee,country,countryCode,delivery,dine_in,dinner,family_friendly,fid,googleFoodUrl,hours,imageUrl,imagesCount,info_Accessibility_Assistive hearing loop,info_Accessibility_Wheelchair accessible entrance,info_Accessibility_Wheelchair accessible parking lot,info_Accessibility_Wheelchair accessible restroom,info_Accessibility_Wheelchair accessible seating,info_Accessibility_Wheelchair-accessible car park,info_Amenities_Gender-neutral restroom,info_Amenities_Gender-neutral toilets,info_Amenities_Restroom,info_Children_Discounts for kids,info_Children_Family discount,info_Children_Nursing room,info_Crowd_LGBTQ+ friendly,info_Crowd_Transgender safespace,info_From the business_Identifies as women-owned,info_Offerings_Cosmetic dentistry,info_Offerings_Medication disposal,info_Parking_Free parking garage,info_Parking_Free parking lot,info_Parking_Free street parking,info_Parking_On-site parking,info_Payments_Cash-only,info_Payments_Checks,info_Payments_Credit cards,info_Payments_Debit cards,info_Payments_NFC mobile payments,info_Planning_Appointment required,info_Planning_Appointments recommended,info_Planning_Quick visit,info_Service options_Delivery,info_Service options_Drive-through,info_Service options_Online appointments,info_Service options_Onsite services,isAdvertisement,kgmid,language,lat,lng,loc_lat,loc_lng,location_lat,location_lng,lunch,main_category,name,neighborhood,openingHours_day,openingHours_hours,permanentlyClosed,phone,phoneUnformatted,placeId,place_id,postal,postalCode,price,rank,rating,reservations,reviewsCount,reviewsDistribution_fiveStar,reviewsDistribution_fourStar,reviewsDistribution_oneStar,reviewsDistribution_threeStar,reviewsDistribution_twoStar,reviews_count,scrapedAt,searchPageUrl,searchString,search_term,state,street,subTitle,takeout,temporarilyClosed,title,totalScore,tourists,url,vegetarian,website,weekly_hours,wheelchair_accessible_entrance,wifi
,True,,,,,,,,0,0,,,,,,,,,,,,,True,,,,,,,,,,,0,,0,0,0,"Nagarkot Road, Bhaktapur 44800, Nepal",0,0,0,0,0,Private hospital,Private hospital,3789943586086217141,Bhaktapur,False,0,NP,NP,0,0,0,0,0x39eb1a9a1d71e29b:0x3498959c8f7065b5,,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipODt4YhQnoDmMddyqHKhc9gKFDHopoVTlF-JnO6=w408-h272-k-no,52,,True,,,,,,,,0,0,,,,,,,,,,,,,True,,,,,,,,,,False,/g/1hf0cn4m2,en,27.6724669,85.4118049,27.6724669,85.4118049,27.6724669,85.4118049,0,Private hospital,Dr. Iwamura Memorial Hospital (DRIM HOSPITAL),,Monday,Open 24 hours,False,+977 1-6612705,+97716612705,ChIJm-JxHZoa6zkRtWVwj5yVmDQ,ChIJm-JxHZoa6zkRtWVwj5yVmDQ,44800,44800,,9,4.3,0,148,0,0,0,0,0,148,2025-11-14T08:13:22.942Z,"https://www.google.com/maps/search/general%20hospital/@27.67530454090198,85.43009086349416,17z?hl=en",general hospital,general hospital,,Nagarkot Road,डा इवामुरा मेमोरियल अस्पताल,0,False,Dr. Iwamura Memorial Hospital (DRIM HOSPITAL),4.3,0,https://www.google.com/maps/search/?api=1&query=Dr.%20Iwamura%20Memorial%20Hospital%20(DRIM%20HOSPITAL)&query_place_id=ChIJm-JxHZoa6zkRtWVwj5yVmDQ,0,http://www.iwamurahospital.com/,168.0,1,0
,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,"MCFH+5R9, Bhaktapur 44800, Nepal",0,0,0,0,0,Health food store,Health food store,11105472877332790452,Bhaktapur,True,0,NP,NP,0,0,0,0,0x39eb1aafcc63b0cb:0x9a1e90be1c27fcb4,,0,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=xFN8uvCBQOzl41sMDPYnRw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=310.327&pitch=0&thumbfov=100,1,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,False,/g/11cmj2n8hf,en,27.6729058,85.4296225,27.6729058,85.4296225,27.6729058,85.4296225,0,Health food store,Puspa Curd Factory,,,0,False,,,ChIJy7BjzK8a6zkRtPwnHL6QHpo,ChIJy7BjzK8a6zkRtPwnHL6QHpo,44800,44800,,58,0.0,0,0,0,0,0,0,0,0,2025-11-14T08:13:32.079Z,"https://www.google.com/maps/search/health/@27.67530454090198,85.43009086349416,17z?hl=en",health,health,,MCFH+5R9,,0,False,Puspa Curd Factory,,0,https://www.google.com/maps/search/?api=1&query=Puspa%20Curd%20Factory&query_place_id=ChIJy7BjzK8a6zkRtPwnHL6QHpo,0,,0.0,0,0
,,,,,,,,True,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,"Bidhyarthi Niketan Higher Secondary School, Bhaktapur 44800, Nepal",0,0,0,0,0,Veterinary pharmacy,Veterinary pharmacy,7820430710157058929,Bhaktapur,True,0,NP,NP,0,0,0,0,0x39eb1b1528888afd:0x6c87c04be577a371,,8 AM to 6 PM,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyGqVzf_wvbLn9SN6TaOCmaGhmEXIEEQx8VedKWa3ST0_DLqXlxq3LaRbguuqVG-ieZfvItehPnPHr4XDD3one7YrM1KohGG9fKfQHpXt7qRrCt9-pH0DTz_7ij8T8aLc9xsR4w=w426-h240-k-no,7,,,,,,,,,True,0,0,,,,,,,,,,,,,,,,,,,,,,,False,/g/11h0llx336,en,27.6720639,85.4295029,27.6720639,85.4295029,27.6720639,85.4295029,0,Veterinary pharmacy,Pasa Veterinary Clinic (Dr. Ram Gopal Kayastha),,Monday,8 AM to 6 PM,False,+977 1-6611056,+97716611056,ChIJ_YqIKBUb6zkRcaN35UvAh2w,ChIJ_YqIKBUb6zkRcaN35UvAh2w,44800,44800,,2,4.2,0,22,0,0,0,0,0,22,2025-11-14T08:13:20.147Z,"https://www.google.com/maps/search/animal%20hospital/@27.67530454090198,85.43009086349416,17z?hl=en",animal hospital,animal hospital,,Bidhyarthi Niketan Higher Secondary School,,0,False,Pasa Veterinary Clinic (Dr. Ram Gopal Kayastha),4.2,0,https://www.google.com/maps/search/?api=1&query=Pasa%20Veterinary%20Clinic%20(Dr.%20Ram%20Gopal%20Kayastha)&query_place_id=ChIJ_YqIKBUb6zkRcaN35UvAh2w,0,,70.0,0,0
,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,"Golmadhi-7, 44600, Nepal",0,0,0,0,0,Veterinary pharmacy,Veterinary pharmacy,122686411056272101,Bhaktapur,False,0,NP,NP,0,0,0,0,0x39eb1bda9ad075ff:0x1b3dea40dc6d2e5,,0,https://lh3.googleusercontent.com/gps-proxy/ALd4DhH94yaARabCuLWNzNO97WeDWLCc7IkgmOLQ35ZuVce1TZgSbq8Xd97IgCgnmX-4VH68AVnaUX9GG4LJIUzxIbUAAq37rGGZygwK4UHoDZg1na0XvMd9pgIU_sKuFAzCDq9ng0vihSBYnkjrTfKvT3iN6T9F-zzRH2e5cA8prICZWUHTfxmSvdUXpHznPe4MvboWA8E=w408-h306-k-no,6,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,False,/g/11h4wb2g3s,en,27.6725839,85.4322696,27.6725839,85.4322696,27.6725839,85.4322696,0,Veterinary pharmacy,Laxmi Vet Pharma,,,0,False,+977 1-6613382,+97716613382,ChIJ_3XQmtob6zkR5dLGDaTeswE,ChIJ_3XQmtob6zkR5dLGDaTeswE,44600,44600,,17,0.0,0,0,0,0,0,0,0,0,2025-11-14T08:13:37.524Z,"https://www.google.com/maps/search/pharmacy/@27.67530454090198,85.43009086349416,17z?hl=en",pharmacy,pharmacy,,Golmadhi-7,,0,False,Laxmi Vet Pharma,,0,https://www.google.com/maps/search/?api=1&query=Laxmi%20Vet%20Pharma&query_place_id=ChIJ_3XQmtob6zkR5dLGDaTeswE,0,,0.0,0,0
,False,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,"MCCQ+G7C, Jagati-KamalBinayak Rd, Bhaktapur 44800, Nepal",0,0,0,0,0,Veterinary pharmacy,Veterinary pharmacy,1554578862949935132,Bhaktapur,True,0,NP,NP,0,0,0,0,0x39eb0552d7d485a3:0x1592f93d4576281c,,7:25 AM to 7 PM,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSytNbacV8YJOLCKfgBgc_eZpzLO3rjXySxV-ULj0gv0DE9unFxJuAlBkFgEPaXT0D2god1r0qg7EPLyXLzs9H_Evl2HVWE5_d-skOfHBT9daEdHKuP7BrDYAeKml-cWbbL55NdV=w426-h240-k-no,4,,False,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,False,/g/11c60v91h_,en,27.6713042,85.4381391,27.6713042,85.4381391,27.6713042,85.4381391,0,Veterinary pharmacy,Ujjwal Veterinary Clinic,,Monday,7:25 AM to 7 PM,False,+977 984-1620414,+9779841620414,ChIJo4XU11IF6zkRHCh2RT35khU,ChIJo4XU11IF6zkRHCh2RT35khU,44800,44800,,51,3.7,0,7,3,2,1,0,1,7,2025-11-14T08:42:57.335Z,"https://www.google.com/maps/search/clinic/@27.674599999999995,85.43729330118518,17z?hl=en",clinic,clinic,,"MCCQ+G7C, Jagati-KamalBinayak Rd",,0,False,Ujjwal Veterinary Clinic,3.7,0,https://www.google.com/maps/search/?api=1&query=Ujjwal%20Veterinary%20Clinic&query_place_id=ChIJo4XU11IF6zkRHCh2RT35khU,0,,81.08,1,0
,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,"MCFH+4XW, Tripurasundari Marg, Bhaktapur 44800, Nepal",0,0,0,0,0,Pharmacy,Pharmacy,2954014637678106647,Bhaktapur,True,0,NP,NP,0,0,0,0,0x39eb1aae335e6e21:0x28fec4a9741b9817,,6 AM to 9 PM,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyTkkqXwH6rgDjch3hcwvMZ_K52H5OcSv8hAR8Cr8EBT2qxvmGErmO2AiHceTXqqHGVt3a0ErbtCXYa5n_puyGhMCia5iKk5w87IonxMHAsCWsLrDOzpAU4mRSDFn60yDqPKx0j=w408-h725-k-no,3,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,False,/g/11gb3n3glp,en,27.6728707,85.4299399,27.6728707,85.4299399,27.6728707,85.4299399,0,Pharmacy,Bhaktapur Pharmacy,,Monday,6 AM to 9 PM,False,+977 1-6613388,+97716613388,ChIJIW5eM64a6zkRF5gbdKnE_ig,ChIJIW5eM64a6zkRF5gbdKnE_ig,44800,44800,,32,3.8,0,4,1,1,0,2,0,4,2025-11-14T08:13:20.486Z,"https://www.google.com/maps/search/hospital/@27.67530454090198,85.43009086349416,17z?hl=en",hospital,hospital,,"MCFH+4XW, Tripurasundari Marg",,0,False,Bhaktapur Pharmacy,3.8,0,https://www.google.com/maps/search/?api=1&query=Bhaktapur%20Pharmacy&query_place_id=ChIJIW5eM64a6zkRF5gbdKnE_ig,0,,105.0,0,0
,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,"MCCF+MHQ, भक्तपुर मार्ग, Bhaktapur 44800, Nepal",0,0,0,0,0,Pharmacy,Pharmacy,13451031255204538824,Bhaktapur,True,0,NP,NP,0,0,0,0,0x39eb1aa4ef9c9f29:0xbaaba9a8f524a9c8,,7 AM to 8 PM,https://lh3.googleusercontent.com/gps-proxy/ALd4DhH0OQV-IkjR2NZAD9hPdpqLh1EbMGXoRY05qBD6xh4X4xQfPlcpL-UlEUgXsmLakAoHEdfBaUqc6MQpKPsUA2h5MU9DpbCqpVQaAfobzJibe-MaWgpCpmFlv74DdQFPQTOW_AiD84bgOwB4BrIinX5-e4qR56NLBrnybjAljPN1KDDpBowTkvjmpHFbP9c4SGlHtA=w408-h306-k-no,3,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,False,/g/11b6qpjrst,en,27.6717227,85.4239698,27.6717227,85.4239698,27.6717227,85.4239698,0,Pharmacy,Rasu Pharmacy,,Monday,7 AM to 8 PM,False,+977 984-1580206,+9779841580206,ChIJKZ-c76Qa6zkRyKkk9aipq7o,ChIJKZ-c76Qa6zkRyKkk9aipq7o,44800,44800,,33,4.0,0,1,0,1,0,0,0,1,2025-11-14T08:13:20.486Z,"https://www.google.com/maps/search/hospital/@27.67530454090198,85.43009086349416,17z?hl=en",hospital,hospital,,"MCCF+MHQ, भक्तपुर मार्ग",रसु फार्मेसी,0,False,Rasu Pharmacy,4,0,https://www.google.com/maps/search/?api=1&query=Rasu%20Pharmacy&query_place_id=ChIJKZ-c76Qa6zkRyKkk9aipq7o,0,,91.0,0,0
,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,"MCFF+F54, Siddhapokhari 44800, Nepal",0,0,0,0,0,Pharmacy,Pharmacy,9489061074238159787,Siddhapokhari,True,0,NP,NP,0,0,0,0,0x39eb1b004dddbbbb:0x83afeac595f3bbab,,0,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=OSwNfbhhMd8RliIwAjy9vA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=86.51079&pitch=0&thumbfov=100,1,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,False,/g/11y7zvbwxg,en,27.6736341,85.4229661,27.6736341,85.4229661,27.6736341,85.4229661,0,Pharmacy,Washa medicare pvt.ltd,,,0,False,,,ChIJu7vdTQAb6zkRq7vzlcXqr4M,ChIJu7vdTQAb6zkRq7vzlcXqr4M,44800,44800,,37,0.0,0,0,0,0,0,0,0,0,2025-11-14T08:13:20.487Z,"https://www.google.com/maps/search/hospital/@27.67530454090198,85.43009086349416,17z?hl=en",hospital,hospital,,MCFF+F54,,0,False,Washa medicare pvt.ltd,,0,https://www.google.com/maps/search/?api=1&query=Washa%20medicare%20pvt.ltd&query_place_id=ChIJu7vdTQAb6zkRq7vzlcXqr4M,0,,0.0,0,0
,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,"6 Inacho - Hanumanghat Rd, Bhaktapur 44800, Nepal",0,0,0,0,0,Pharmacy,Pharmacy,1328179343393034873,Bhaktapur,True,0,NP,NP,0,0,0,0,0x39eb1aadae5684fd:0x126ea41368f41279,,0,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=YaNnuWTvLgekJDaTYwYl3g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=86.162636&pitch=0&thumbfov=100,1,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,False,/g/11c554xs2z,en,27.671883,85.4344014,27.671883,85.4344014,27.671883,85.4344014,0,Pharmacy,Shakya Clinic शाक्य क्लिनिक,,,0,False,+977 984-1257871,+9779841257871,ChIJ_YRWrq0a6zkReRL0aBOkbhI,ChIJ_YRWrq0a6zkReRL0aBOkbhI,44800,44800,,7,4.0,0,2,0,0,0,0,0,2,2025-11-14T08:13:23.896Z,"https://www.google.com/maps/search/clinic/@27.67530454090198,85.43009086349416,17z?hl=en",clinic,clinic,,6 Inacho - Hanumanghat Rd,,0,False,Shakya Clinic शाक्य क्लिनिक,4,0,https://www.google.com/maps/search/?api=1&query=Shakya%20Clinic%20%E0%A4%B6%E0%A4%BE%E0%A4%95%E0%A5%8D%E0%A4%AF%20%E0%A4%95%E0%A5%8D%E0%A4%B2%E0%A4%BF%E0%A4%A8%E0%A4%BF%E0%A4%95&query_place_id=ChIJ_YRWrq0a6zkReRL0aBOkbhI,0,,0.0,0,0
,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,True,,,,,0,,0,0,0,"MCCF+HHP, Bhaktapur 44800, Nepal",0,0,0,0,0,Pharmacy,Pharmacy,766004373199369588,Bhaktapur,True,0,NP,NP,1,0,0,0,0x39eb1bb534a7ad75:0xaa164eb40f1b574,,7 AM to 7 PM,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=EXV0qOdy9H4yHayPxaWSbA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=185.05487&pitch=0&thumbfov=100,1,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,True,,,,False,/g/11fpmgy385,en,27.6714716,85.4239454,27.6714716,85.4239454,27.6714716,85.4239454,0,Pharmacy,Jiwanta Pharmacy,,Monday,7 AM to 7 PM,False,+977 1-6615164,+97716615164,ChIJda2nNLUb6zkRdLXxQOtkoQo,ChIJda2nNLUb6zkRdLXxQOtkoQo,,,,16,5.0,0,1,0,0,0,0,0,1,2025-11-14T08:13:27.150Z,"https://www.google.com/maps/search/cancer%20treatment%20center/@27.67530454090198,85.43009086349416,17z?hl=en",cancer treatment center,cancer treatment center,,MCCF+HHP,,0,False,Jiwanta Pharmacy,5,0,https://www.google.com/maps/search/?api=1&query=Jiwanta%20Pharmacy&query_place_id=ChIJda2nNLUb6zkRdLXxQOtkoQo,0,http://www.ncrd.com.np/,84.0,0,0
