name,main_category,category,address,city,postal,country,phone,place_id,cid,url,search_term,hours,rating,reviews_count,lat,lng,dine_in,takeout,vegetarian,alcohol,beer,coffee,breakfast,lunch,dinner,wifi,restroom,casual,family_friendly,tourists,reservations,cash_only
Sagar tea shop,Coffee shop,Coffee shop,"PC3Q+495, Bhaktapur, Nepal",Bhaktapur,,NP,,ChIJMZjlXQAF6zkRctYX7_uF0W0,7913253337361274482,https://www.google.com/maps/search/?api=1&query=Sagar%20tea%20shop&query_place_id=ChIJMZjlXQAF6zkRctYX7_uF0W0,coffee store,,5.0,1,27.7027997,85.4385237,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Nagarkot peace garden cafe,Coffee shop,Coffee shop,"6 Changunarayan Rd, Changunarayan 44600, Nepal",Changunarayan,44600,NP,,ChIJQyBQWQAF6zkR1UXcMag9NK8,12624783448026662357,https://www.google.com/maps/search/?api=1&query=Nagarkot%20peace%20garden%20cafe&query_place_id=ChIJQyBQWQAF6zkR1UXcMag9NK8,coffee store,,0.0,0,27.7028242,85.4399102,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
Friendship coffee shop,Coffee shop,Coffee shop,"MCGV+F4R, Bhaktapur 44800, Nepal",Bhaktapur,44800,NP,,ChIJwamxOQAF6zkRKBMwHWCqEec,16650276627148706600,https://www.google.com/maps/search/?api=1&query=Friendship%20coffee%20shop&query_place_id=ChIJwamxOQAF6zkRKBMwHWCqEec,coffee store,,0.0,0,27.6763214,85.4428386,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Old Mill Cafe,Coffee shop,Coffee shop,"Kamalbinayak, Bhaktapur 44800, Nepal",Bhaktapur,,NP,+977 984-3803307,ChIJ592HFAAF6zkR9YxkGdXivqo,12303520636904705269,https://www.google.com/maps/search/?api=1&query=Old%20Mill%20Cafe&query_place_id=ChIJ592HFAAF6zkR9YxkGdXivqo,cafe,,5.0,8,27.675913,85.4392927,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0
Bamboo Brunch Restaurant,Restaurant,Restaurant,"PC5Q+CVF, Changunarayan Rd, Changunarayan 44600, Nepal",Changunarayan,44600,NP,+977 984-1725584,ChIJQW2VjyoF6zkRL293zz8dxxM,1425139966986907439,https://www.google.com/maps/search/?api=1&query=Bamboo%20Brunch%20Restaurant&query_place_id=ChIJQW2VjyoF6zkRL293zz8dxxM,cafe,8 AM to 6 PM,4.4,14,27.7085611,85.4396613,1,1,0,0,0,1,1,1,1,0,1,1,0,0,1,0
The Turning Point Restro,Fast food restaurant,Fast food restaurant,"Ghumti Ghar Bus Stop, Changunarayan Rd, Changunarayan 44600, Nepal",Changunarayan,44600,NP,,ChIJx89QMhcF6zkRhaIH5a53r4g,9849222503133061765,https://www.google.com/maps/search/?api=1&query=The%20Turning%20Point%20Restro&query_place_id=ChIJx89QMhcF6zkRhaIH5a53r4g,cafe,,4.8,4,27.705531,85.4403806,1,1,0,1,1,1,0,1,1,0,1,1,0,0,0,0
SISHIR RESORT,Restaurant,Restaurant,"PC4W+7WJ, Changunarayan 44600, Nepal",Changunarayan,44600,NP,,ChIJg0r1MgAF6zkRWOqWCjmH80A,4680233116828625496,https://www.google.com/maps/search/?api=1&query=SISHIR%20RESORT&query_place_id=ChIJg0r1MgAF6zkRWOqWCjmH80A,restaurant or cafe,,5.0,2,27.705148,85.447923,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
Pk Height Khaja Ghar,Restaurant,Restaurant,"PC3Q+4HG, Changunarayan Rd, Changunarayan, Nepal",Changunarayan,,NP,,ChIJY2_AGwAF6zkRZ_y86MDOVbc,13210692409894960231,https://www.google.com/maps/search/?api=1&query=Pk%20Height%20Khaja%20Ghar&query_place_id=ChIJY2_AGwAF6zkRZ_y86MDOVbc,restaurant or cafe,,0.0,0,27.7028133,85.4389522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pikhel Khaja Ghar,Bar,Bar,"PC2R+C2C Pikhel Bus Stop, Changunarayan Rd, Changunarayan, Nepal",Changunarayan,,NP,+977 985-1258383,ChIJMW1G-wsF6zkR2Xk9GSCaqfg,17918022055123319257,https://www.google.com/maps/search/?api=1&query=Pikhel%20Khaja%20Ghar&query_place_id=ChIJMW1G-wsF6zkR2Xk9GSCaqfg,bar,,0.0,0,27.7010539,85.4400137,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0
Shankha lal khaja ghar,Fast food restaurant,Fast food restaurant,"MCXW+45J, Chhaling Road, Bhaktapur, Nepal",Bhaktapur,,NP,+977 984-1360846,ChIJ4ffWMQAF6zkRhk6RoatbgQo,756987005083143814,https://www.google.com/maps/search/?api=1&query=Shankha%20lal%20khaja%20ghar&query_place_id=ChIJ4ffWMQAF6zkRhk6RoatbgQo,fast food,,0.0,0,27.6978251,85.4453949,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
