name,category,lat,lng,weekly_hours,rating,reviews_count
Sagar tea shop,Coffee shop,27.7027997,85.4385237,0.0,5.0,1
Nagarkot peace garden cafe,Coffee shop,27.7028242,85.4399102,0.0,0.0,0
Friendship coffee shop,Coffee shop,27.6763214,85.4428386,0.0,0.0,0
Old Mill Cafe,Coffee shop,27.675913,85.4392927,0.0,5.0,8
Bamboo Brunch Restaurant,Restaurant,27.7085611,85.4396613,70.0,4.4,14
The Turning Point Restro,Fast food restaurant,27.705531,85.4403806,0.0,4.8,4
SISHIR RESORT,Restaurant,27.705148,85.447923,0.0,5.0,2
Pk Height Khaja Ghar,Restaurant,27.7028133,85.4389522,0.0,0.0,0
Pikhel Khaja Ghar,Bar,27.7010539,85.4400137,0.0,0.0,0
Shankha lal khaja ghar,Fast food restaurant,27.6978251,85.4453949,0.0,0.0,0
Namaste Newa Fastfood,Restaurant,27.6780133,85.4391407,98.0,3.6,122
Alfa home,Coffee shop,27.6485793,85.448664,0.0,5.0,2
bhanye,Coffee shop,27.6748627,85.4459376,0.0,5.0,1
Chiya Daboo,Coffee shop,27.673315,85.4394403,91.0,5.0,1
Sathiko Bakes & Cakes,Cafe,27.6555219,85.4603871,94.5,3.0,2
Nyasa Cafe,Cafe,27.676534,85.43905,105.0,5.0,4
Phaidhoka Khaja Ghar,Restaurant,27.668621,85.4662416,94.5,4.7,27
Jay Himalayan Family Resort Restro,Restaurant,27.6569466,85.455566,70.0,3.9,18
Blunch Resort,Restaurant,27.6609597,85.4481456,0.0,4.3,45
Nakha Chhen Newari Restaurant,Restaurant,27.6831696,85.4539651,0.0,4.9,7
Bar 555777,Bar,27.6575716,85.4492298,0.0,0.0,0
हाइवे खाजा घर,Fast food restaurant,27.6613064,85.4455643,87.5,1.0,1
black cherry cafe,Fast food restaurant,27.6451028,85.4427153,0.0,5.0,1
Fast Food,Restaurant,27.6480052,85.4499348,0.0,0.0,0
Friendship cofee shop,Coffee shop,27.6767411,85.4428571,0.0,0.0,0
Friendship coffee shop,Coffee shop,27.6766696,85.4427921,0.0,0.0,0
LA: WO: Station,Restaurant,27.6797431,85.4429394,96.5,4.7,9
Purushottam Newa Khaja Ghar Restro,Asian restaurant,27.6788682,85.4413761,77.0,4.0,108
Chawo khaja Ghar And Tea Point,Fast food restaurant,27.6857468,85.4436662,0.0,4.5,2
Chyasha cafe,Cafe,27.6763231,85.4398356,98.0,5.0,2
Srisha's Dairy and Bakery,Cafe,27.6813731,85.4448577,108.5,4.5,2
Vintuna Khaja ghar,Asian restaurant,27.6808625,85.4441406,84.0,0.0,0
Maheshwor Khaja Pasal,Fast food restaurant,27.6813928,85.4448893,108.5,1.0,1
Thakali Station,Asian restaurant,27.6783117,85.4407716,87.5,3.6,99
Dawa dai khaja ghar,Nepalese restaurant,27.6818508,85.4446401,0.0,0.0,0
Lakhe Food Land,Fast food restaurant,27.6748528,85.4456897,51.0,0.0,0
Easy Fast Food,Coffee shop,27.6829462,85.4532658,0.0,4.4,7
Bhaktapur,Cafe,27.675625,85.4422873,133.0,0.0,0
SHANDAR MO:MO,Restaurant,27.6758611,85.448792,0.0,0.0,0
Ram caafe,Restaurant,27.6732467,85.4492083,0.0,0.0,0
Shreya Newari Khaja Ghar,Family restaurant,27.674057,85.4421886,0.0,3.0,1
Pond Station Hotel,Restaurant,27.6752537,85.4481499,0.0,0.0,0
Food Point Restro,Restaurant,27.6749704,85.4451027,90.0,0.0,0
Bhakta,Fast food restaurant,27.6747541,85.4460334,0.0,0.0,0
Sandesh Computer,Internet cafe,27.6773638,85.443104,0.0,0.0,0
Sunil khaja ghar,Restaurant,27.6752491,85.4434855,0.0,0.0,0
Lets Celebrate Family Resturant,Restaurant,27.67378,85.4421313,0.0,0.0,0
Pratik's Cafe,Cafe,27.687648,85.4526503,84.0,3.2,14
Himal shrestha,Bar,27.6755069,85.4474094,0.0,0.0,0
Chhusyaki Traders,Bar,27.6772092,85.4408656,74.67,3.6,21
Shiva ram house,Bar,27.6746056,85.4399017,0.0,0.0,0
Bansbari Kitchen,Barbecue restaurant,27.6865656,85.4590553,0.0,0.0,0
Maligaun high Cafe,Coffee shop,27.6399236,85.4416878,0.0,4.5,2
Camper 01,Restaurant,27.6862685,85.4514109,0.0,3.6,8
Chusky's,Restaurant,27.6423538,85.4354595,0.0,5.0,4
Purushottam khaja ghar,Restaurant,27.6930004,85.4498839,0.0,0.0,0
Balram khaja ghar,Fast food restaurant,27.6400904,85.4372728,0.0,5.0,2
Doleshwor kirana and khaja pasal,Restaurant,27.6393565,85.4376453,0.0,0.0,0
Doleshwor Village Resort,Restaurant,27.6430437,85.4356005,0.0,4.0,153
Dulal tea shop,Cafe,27.6705657,85.4623427,70.0,3.7,11
Friendship restro,Restaurant,27.6603735,85.4485444,94.5,4.0,4
Maya khaja ghar,Family restaurant,27.6608589,85.4466364,0.0,5.0,1
Pikhel Snooker and Pool House,Cafe,27.6972587,85.4493306,0.0,0.0,0
Daju Vai Khaja Ghar,Restaurant,27.6923888,85.4600068,0.0,0.0,0
Peaceful Baansghari Resort,Restaurant,27.6605064,85.4513596,91.0,3.2,22
Dhanush Restaurant,Restaurant,27.6584933,85.4526872,0.0,4.3,3
