name,lat,lng,reviews_count,weekly_hours,cafe_individual_score,cafe_weight,banks_count_1km,banks_weight_1km,education_count_1km,education_weight_1km,health_count_1km,health_weight_1km,temples_count_1km,temples_weight_1km,other_count_1km,other_weight_1km,banks_rank,education_rank,health_rank,temples_rank,other_rank
12 Shutter,27.6962121,85.3769261,56,85.0,0.7947898634227402,0.7947898634227402,12,5.993490471510173,1,0.34523809524957483,1,0.3939914982044257,35,14.9110077289805,23,9.408631228201894,1070.0,1224.0,1194.0,1013.0,1066.0
"12sutar chok,Deepa",27.6976597,85.3777113,0,85.0,0.5,0.5,11,5.4649735731772715,0,0.0,1,0.3939914982044257,33,14.2143410622852,22,9.027678847208698,1088.0,1261.0,1194.0,1027.0,1079.0
"1990s laphing,dhara",27.6718977,85.438394,0,85.0,0.5,0.5,51,24.60764018845389,141,44.717219614985794,123,52.34361935320784,239,99.53766074819012,106,42.142918330301505,294.0,296.0,304.0,227.0,279.0
1-shika café and Chat house,27.6813874,85.376168,1,85.0,0.55053924601816,0.55053924601816,45,22.55241544714098,2,0.8099228582392453,9,3.3897385124034267,143,58.71557136816148,46,18.439825678268893,359.0,1144.0,939.0,585.0,782.0
A.G LIQUOR SHOP,27.6756092,85.3975034,1,85.0,0.55053924601816,0.55053924601816,38,19.350669087453404,39,14.240379064563685,48,20.24719972072997,131,53.984829023461714,55,23.471517299896796,554.0,590.0,534.0,656.0,451.0
नेवा खाजा घर,27.6776203,85.3965558,0,85.0,0.5,0.5,40,20.504185985760266,35,12.748205747184683,41,17.58611907119798,140,58.01205932098954,52,22.158855461920453,487.0,609.0,595.0,595.0,548.0
साइलाको पसल,27.6869412,85.4827798,4,85.0,0.6173484952239897,0.6173484952239897,1,0.7543930975284249,2,0.8484848484993113,0,0.0,19,8.18349063814794,4,2.0692112760139767,1185.0,976.0,1296.0,1231.0,1303.0
बालकाेट मिठाई भण्डार,27.6654964,85.3663677,2,85.0,0.5801028097535045,0.5801028097535045,25,12.947439797861305,2,0.8125108499600547,3,1.0444519779701318,38,16.13329474229203,21,8.415370300809125,868.0,996.0,1109.0,926.0,1112.0
बालकुमारी खाजा घर,27.6794027,85.4758049,7,85.0,0.6516177380544796,0.6516177380544796,1,0.7543930975284249,2,0.8484848484993113,0,0.0,25,10.658156003113556,7,3.3390757058025393,1185.0,976.0,1296.0,1154.0,1247.0
महिम क्याफे,27.680051,85.386488,3,85.0,0.6010784920363198,0.6010784920363198,45,22.574923153008946,5,1.9897866679222946,11,4.057943516435604,154,63.97393607559958,53,22.84873772230799,354.0,775.0,763.0,412.0,491.0
मङली को पसल,27.7032375,85.4142656,0,85.0,0.5,0.5,1,0.7220158820719793,13,3.8526342824145754,11,4.810946411683165,17,7.182185451588374,7,2.925560075094646,1198.0,682.0,699.0,1260.0,1261.0
रोज खाना तथा खाजा घर,27.6896582,85.3910851,2,85.0,0.5801028097535045,0.5801028097535045,18,8.949710928877257,3,1.0679250795299757,3,1.24614796727813,109,45.13965792380207,31,12.894670828775062,1034.0,963.0,1095.0,783.0,934.0
रेष्मा खाजा पसल,27.6743633,85.3707449,1,85.0,0.55053924601816,0.55053924601816,34,17.968223237333092,2,0.8125108499600547,6,2.164934524978198,84,35.04800859236949,40,15.68667589438822,680.0,996.0,1014.0,815.0,877.0
श्याम चिया पसल,27.6760317,85.4325788,0,85.0,0.5,0.5,58,28.73164345903254,161,52.930184342679574,164,70.13590056796843,244,101.46664324087489,115,45.40087116346584,157.0,189.0,141.0,183.0,203.0
इन्द कमल लिक्वेर शप,27.67991,85.3993464,2,85.0,0.5801028097535045,0.5801028097535045,34,17.43798946284828,40,15.202078690531561,46,19.154612750869354,119,48.87922583701276,46,19.92631164596967,698.0,539.0,573.0,763.0,690.0
कार्कि दाई स्वादिष्ट सान्दार झोल म:म: Karki Dai Sandar momo,27.6959724,85.3767325,2,85.0,0.5801028097535045,0.5801028097535045,12,5.993490471510173,1,0.34523809524957483,1,0.3939914982044257,36,15.249035897999214,25,10.166684309834745,1070.0,1224.0,1194.0,1004.0,1020.0
भू. पु. सैनिक खाजा घर एण्ड सेकुवा कर्नर,27.6457577,85.4703245,1,85.0,0.55053924601816,0.55053924601816,1,0.7220158820719793,1,0.1851851852026749,4,2.04705129481135,20,8.060247908993679,6,2.19374624156556,1198.0,1256.0,1018.0,1237.0,1288.0
गेट टुगेदर फ्यामिली रेस्टुरेन्ट,27.6746368,85.3659858,5,85.0,0.6306420557716643,0.6306420557716643,28,14.58768646983564,2,0.8125108499600547,4,1.6772337972452762,30,12.694009606223707,27,10.610008423303631,791.0,996.0,1041.0,1088.0,1005.0
