name,main_category,category,address,city,lat,lng,rating,reviews_count,reviewsDistribution_oneStar,reviewsDistribution_twoStar,reviewsDistribution_threeStar,reviewsDistribution_fourStar,reviewsDistribution_fiveStar,weekly_hours,imageUrl,url
थालाछें बचत तथा ऋण सहकारी संस्था लिमिटेड,Cooperative bank,Cooperative bank,"MCFM+P46, थालाछें टोल सडक, Bhaktapur 44800, Nepal",Bhaktapur,27.6742856,85.4327744,4.0,1,0,0,0,1,0,46.0,https://lh3.googleusercontent.com/gps-proxy/ALd4DhH2KgUhJySSmx0xhqWoicza1LuQtSLei2YEwxJPF__5AOhLM5aR8IR9bWUKlINfiwGx6jDaxEDFMjpoXZMwGwCpG-eIoTcGzD8Gj9TQ0f2EoAzBuEThhIAZ_gzbfQtsFBBnn6ajeZtf4mQmP9xqJyeEiPdjuhD6VoB3gHRQkfqd_JakIOlOdh6kKw4s1eyvKjNBD04=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=%E0%A4%A5%E0%A4%BE%E0%A4%B2%E0%A4%BE%E0%A4%9B%E0%A5%87%E0%A4%82%20%E0%A4%AC%E0%A4%9A%E0%A4%A4%20%E0%A4%A4%E0%A4%A5%E0%A4%BE%20%E0%A4%8B%E0%A4%A3%20%E0%A4%B8%E0%A4%B9%E0%A4%95%E0%A4%BE%E0%A4%B0%E0%A5%80%20%E0%A4%B8%E0%A4%82%E0%A4%B8%E0%A5%8D%E0%A4%A5%E0%A4%BE%20%E0%A4%B2%E0%A4%BF%E0%A4%AE%E0%A4%BF%E0%A4%9F%E0%A5%87%E0%A4%A1&query_place_id=ChIJbY6kIrIa6zkR9XcO88LSGjg
Paripurna Multipurpose Co. Ltd,Cooperative bank,Cooperative bank,"MCFG+GVW Radhe radhe, Bhaktapur 44800, Nepal",Bhaktapur,27.6738729,85.4272013,0.0,0,0,0,0,0,0,57.0,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyYCqvBFJghsmTrNWuYy03G5l-4xjdZG87zi6RJzBM6vjnnOrdZmrbSPhu-F3C6GRH48m9sn-6GoxnY_KjQ_5SDxdtjnHQfK8rwUs6CorJENnlwYPnqqYJ68CAexrWj9622OHSw=w408-h544-k-no,https://www.google.com/maps/search/?api=1&query=Paripurna%20Multipurpose%20Co.%20Ltd&query_place_id=ChIJsSgCYasb6zkR9Tsovii8m04
Subhakamana Saving and Credit Cooperatives Ltd. Byasi Service Counter,Cooperative bank,Cooperative bank,"MCGH+5V8, Nagarkot Rd, Bhaktapur 44800, Nepal",Bhaktapur,27.6754579,85.4297438,0.0,0,0,0,0,0,0,0.0,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ThphHe1iX43hK4lFJCFF7Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=328.89456&pitch=0&thumbfov=100,https://www.google.com/maps/search/?api=1&query=Subhakamana%20Saving%20and%20Credit%20Cooperatives%20Ltd.%20Byasi%20Service%20Counter&query_place_id=ChIJA5BCOAQb6zkRXSU8CeVV3ho
Kantipur Saving and Credit Co-operative Limited - Radhe Radhe,Cooperative bank,Cooperative bank,"M9GW+8XC, Madhyapur Thimi, Nepal",Madhyapur Thimi,27.6758124,85.3974005,4.0,4,0,0,0,0,0,42.0,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=QJfeoB9IKoMJAZtuWpUFLA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=345.64786&pitch=0&thumbfov=100,https://www.google.com/maps/search/?api=1&query=Kantipur%20Saving%20and%20Credit%20Co-operative%20Limited%20-%20Radhe%20Radhe&query_place_id=ChIJ_wVkURMb6zkRyx4LJBv0RU0
Surya Sandesh Co-operative,Cooperative bank,Cooperative bank,"Jagatjung Marg, Kageshwori Manohara 44600, Nepal",Kageshwori Manohara,27.701128,85.3812477,5.0,1,0,0,0,0,1,28.0,https://lh3.googleusercontent.com/p/AF1QipOUHbWuS7BDYE5_0Lh-Cont9X-FJCmtOnwNBY8X=w408-h544-k-no,https://www.google.com/maps/search/?api=1&query=Surya%20Sandesh%20Co-operative&query_place_id=ChIJQQ9NRdfInIcRvLyR51RSnUk
Agricultural Development SACCOS,Cooperative bank,Cooperative bank,"M9FC+P6R, Araniko Highway, Madhyapur Thimi 44600, Nepal",Madhyapur Thimi,27.67436,85.370524,3.7,3,0,0,0,0,0,39.0,https://lh3.googleusercontent.com/gps-proxy/ALd4DhEYjh1KkRwPzGQ2gfdkoNxTt63y44QY4CyXC_P51C-vQHWZwOPkrZ6z4FLaJtPtUyHJk9v74q2fH2xvTzAemtcjmzfCKCEfgbKLjtVsagly_BlYG_OGzxJKC6MEOtcP0YZLnXn2I-bMCsvrMq0fVCdLkL2mhgctfZfh8upye9DP1UEXptHTpXCBfwJt5zMxqQsG7A=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=Agricultural%20Development%20SACCOS&query_place_id=ChIJmbw0KBIa6zkRWtrnlgO09fE
Sakchhyam Saving & Credit Co-operative Ltd. सक्षम सहकारी,Cooperative bank,Cooperative bank,"M9F7+GW9, Madhyapur Thimi 44600, Nepal",Madhyapur Thimi,27.6737761,85.3648729,5.0,1,0,0,0,0,1,42.0,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=bVxKHJ9SNSfTpbqlF7YEwQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=291.18787&pitch=0&thumbfov=100,https://www.google.com/maps/search/?api=1&query=Sakchhyam%20Saving%20%26%20Credit%20Co-operative%20Ltd.%20%E0%A4%B8%E0%A4%95%E0%A5%8D%E0%A4%B7%E0%A4%AE%20%E0%A4%B8%E0%A4%B9%E0%A4%95%E0%A4%BE%E0%A4%B0%E0%A5%80&query_place_id=ChIJXyrkYAAb6zkRLshRyhBpjs0
हिमशिखर बहुउद्देश्यीय सहकारी,Cooperative bank,Cooperative bank,"M9FF+MPJ, Madhyapur Thimi 44600, Nepal",Madhyapur Thimi,27.6742155,85.374263,5.0,1,0,0,0,0,1,116.5,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=jgjp8UjXZDKNg9uEBB5klw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=139.05292&pitch=0&thumbfov=100,https://www.google.com/maps/search/?api=1&query=%E0%A4%B9%E0%A4%BF%E0%A4%AE%E0%A4%B6%E0%A4%BF%E0%A4%96%E0%A4%B0%20%E0%A4%AC%E0%A4%B9%E0%A5%81%E0%A4%89%E0%A4%A6%E0%A5%8D%E0%A4%A6%E0%A5%87%E0%A4%B6%E0%A5%8D%E0%A4%AF%E0%A5%80%E0%A4%AF%20%E0%A4%B8%E0%A4%B9%E0%A4%95%E0%A4%BE%E0%A4%B0%E0%A5%80&query_place_id=ChIJhUoQegsb6zkR-i7lYjMUqr4
Suryadev Multipurpose,Cooperative bank,Cooperative bank,"M9FC+P8R, Bhaktapur 44600, Nepal",Bhaktapur,27.6743655,85.370781,0.0,0,0,0,0,0,0,28.0,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=U78Hf7rS0vOWdDqUYtje_g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=128.72714&pitch=0&thumbfov=100,https://www.google.com/maps/search/?api=1&query=Suryadev%20Multipurpose&query_place_id=ChIJ84yy8lMb6zkRz9RXcu4Xad4
Pabitra Halesi Dham Saving and Credit,Cooperative bank,Cooperative bank,"M9FF+C32, Madhyapur Thimi 44600, Nepal",Madhyapur Thimi,27.6735006,85.3726426,0.0,0,0,0,0,0,0,0.0,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=TAOyQh-_BZ0_uiFFge_6XA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=225.11871&pitch=0&thumbfov=100,https://www.google.com/maps/search/?api=1&query=Pabitra%20Halesi%20Dham%20Saving%20and%20Credit&query_place_id=ChIJp4ZdOgAb6zkRgIVlZapCopk
