name,main_category,category,address,city,lat,lng,rating,reviews_count,reviewsDistribution_oneStar,reviewsDistribution_twoStar,reviewsDistribution_threeStar,reviewsDistribution_fourStar,reviewsDistribution_fiveStar,weekly_hours,wifi,dine_in,takeout,delivery,breakfast,lunch,dinner,vegetarian,coffee,alcohol,beer,casual,family_friendly,tourists,reservations,cash_only,wheelchair_accessible_entrance,phone,price,rank,place_id,imageUrl,address,additionalInfo_Amenities_Restroom,url
.....,Fast food restaurant,Fast food restaurant,"M9FP+95P, Madhyapur Thimi, Nepal",Madhyapur Thimi,27.6735042,85.3854631,4.4,20,0,0,3,6,4.4,70,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,+977 984-1297490,,19,ChIJ0faNZQEb6zkRftoK0QQ9cYU,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxqjcq4fOdEKJyHj-IKz3ndDJLDH82ZWcPoCB7Wk_CCAnE8S6_olBTldfJUwPOQ2Vfq36Nak_scWCLatUevEmgwq2mfHInz69oiE3YuSasP_FQJ6i0Zp-_EVofPHMj-kFHElrJjBQ=w408-h306-k-no,"M9FP+95P, Madhyapur Thimi, Nepal",TRUE,https://www.google.com/maps/search/?api=1&query=.....&query_place_id=ChIJ0faNZQEb6zkRftoK0QQ9cYU
1-shika café and Chat house,Coffee shop,Coffee shop,"1-shika cafe and Chat house, Bhaktapur 44600, Nepal",Bhaktapur,27.6813874,85.376168,4.4,7,0,0,1,3,3,98,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,+977 984-9989675,,11,ChIJhYiJLncb6zkRXKCM99tgECA,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxSPRTqi5Sb5LMlE2cWMM4KdGkiNvDnfAyVuB0mOGj4YXYD2ktqKFYm3OA9OZVfL3GlMesefBxjHOpjRKIMd2GUBGP466PLGI1OQO3NwsPNxiGVJwB9MXmmkqCoBuI_bQU0O7eeIg=w408-h544-k-no,"1-shika cafe and Chat house, Bhaktapur 44600, Nepal",,https://www.google.com/maps/search/?api=1&query=1-shika%20caf%C3%A9%20and%20Chat%20house&query_place_id=ChIJhYiJLncb6zkRXKCM99tgECA
12 Shutter,Restaurant,Restaurant,"M9XG+CPX, Kathmandu 44600, Nepal",Kathmandu,27.6962121,85.3769261,4.2,20,0,5,1,0,4.2,77,0,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,,$$,32,ChIJk5FG6AYb6zkR7jWBqQI5puA,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy3UlriBgcfpUq3ZOX6tNyKOFePqc7Ggi1owzDFYZSQHtDHqLKYlKdG6hwhLVdsnvMDmZjCxVQWYjOzcdEDnjbKI_KCw0Cz4_-MSgEjI8AcE5uZQBk3oQL05UPA6yLXteOsP3P8Kg=w408-h725-k-no,"M9XG+CPX, Kathmandu 44600, Nepal",,https://www.google.com/maps/search/?api=1&query=12%20Shutter&query_place_id=ChIJk5FG6AYb6zkR7jWBqQI5puA
"12sutar chok,Deepa",Coffee shop,Coffee shop,"M9WH+W35, Kageshwori Manohara 44600, Nepal",Kageshwori Manohara,27.6976597,85.3777113,4.1,21,0,3,4,2,4.1,91,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,32,ChIJ6xvBCwAb6zkRYhtZxE7uTsk,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Id4W9zOLzWZ-Xu_J0waUaw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=254.63374&pitch=0&thumbfov=100,"M9WH+W35, Kageshwori Manohara 44600, Nepal",,https://www.google.com/maps/search/?api=1&query=12sutar%20chok%2CDeepa&query_place_id=ChIJ6xvBCwAb6zkRYhtZxE7uTsk
"1990s laphing,dhara",Restaurant,Restaurant,"MCCQ+Q92, Garud Kundal Road, Bhaktapur 44800, Nepal",Bhaktapur,27.6718977,85.438394,5,1,0,0,0,0,1,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,25,ChIJs2d6NwAF6zkRgNH2HCpW-d4,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=SBn4lNEACrcA7SldEYBuwA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=89.73411&pitch=0&thumbfov=100,"MCCQ+Q92, Garud Kundal Road, Bhaktapur 44800, Nepal",,https://www.google.com/maps/search/?api=1&query=1990s%20laphing%2Cdhara&query_place_id=ChIJs2d6NwAF6zkRgNH2HCpW-d4
3 R khaja ghar,Fast food restaurant,Fast food restaurant,"M9FV+MWH, Bhaktapur, Nepal",Bhaktapur,27.6741774,85.3948623,3.7,18,2,1,5,3,3.7,101.5,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,+977 980-3569776,,12,ChIJi3QCMfkb6zkRB3K1BAqslAA,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSylXkbTl7jFSIgYlFFYgj3g-vD2qCriMrM1ubfKcNsRGAsH5bQLQAkBROKFcyvHrDYadyDVNffTFIJqHNDOzfFeW-3LHdVBMN8RblOIHrz37dPSZTRhV2-58y-HZG8rudeC3ppspA=w408-h725-k-no,"M9FV+MWH, Bhaktapur, Nepal",TRUE,https://www.google.com/maps/search/?api=1&query=3%20R%20khaja%20ghar&query_place_id=ChIJi3QCMfkb6zkRB3K1BAqslAA
3rd eyes fast food,Restaurant,Restaurant,"MC8G+MR6 Bhulancha, Suryabinayak 44800, Nepal",Suryabinayak,27.6666523,85.4270263,5,1,0,0,0,0,1,84,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,+977 984-3303506,,13,ChIJlckidwAb6zkRaZzL6G-4WY8,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx3DVbGLyP3TNUdCvnJS5zH7gJA7KwG9_r-l3BV0ThgJ8Dj4R3-VkUuJixQMcopnzcHwhyOzV-G1GXsJ32RLtw56Qm-14S_JfTD0aMT8Z7mzcHnecgOiPctpqYocngg9yVu6AoW=w408-h725-k-no,"MC8G+MR6 Bhulancha, Suryabinayak 44800, Nepal",,https://www.google.com/maps/search/?api=1&query=3rd%20eyes%20fast%20food&query_place_id=ChIJlckidwAb6zkRaZzL6G-4WY8
5I Restaurant,Family restaurant,Family restaurant,"MCM6+Q9F, Rudraksha Rd, Changunarayan, Nepal",Changunarayan,27.6844567,85.4109168,5,3,0,0,0,1,2,72,0,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,+977 984-0127350,,18,ChIJ9Q68TgAb6zkRBIoLAliNUdM,https://lh3.googleusercontent.com/p/AF1QipPjjebPptxP2JKWsq3UKtwpKopEiCQ24wvI9uKi=w408-h306-k-no,"MCM6+Q9F, Rudraksha Rd, Changunarayan, Nepal",,https://www.google.com/maps/search/?api=1&query=5I%20Restaurant&query_place_id=ChIJ9Q68TgAb6zkRBIoLAliNUdM
6/9 Khaja Ghar,Fast food restaurant,Fast food restaurant,"M9HP+9G9, Madhyapur Thimi 44600, Nepal",Madhyapur Thimi,27.6784061,85.3863721,4.1,17,0,0,5,6,4.1,105,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,+977 984-3151167,,29,ChIJ67MV_mUa6zkR4-1KY7Kz1uY,https://lh3.googleusercontent.com/gps-proxy/ALd4DhGKo9CMmWRXnew814pevNujNQBiJEFkE0iLpsPztusN6ZwdT6xLp3eaNakbYjqfCV9GfL5oJhI_mYcRnuiy9VR96mBpAJq36sUK7_MTlOdP9DxNOxtQpjGptuqPkJtKekEXONHUC66qCJmsUe_U8DoijkmDMEcujspMfFrcIq8uIBUHVmTwhD6iK9NSzCLOqGwxcw=w408-h306-k-no,"M9HP+9G9, Madhyapur Thimi 44600, Nepal",TRUE,https://www.google.com/maps/search/?api=1&query=6%2F9%20Khaja%20Ghar&query_place_id=ChIJ67MV_mUa6zkR4-1KY7Kz1uY
90's Cafe,Coffee shop,Coffee shop,"M9FQ+MXM, Bhaktapur, Nepal",Bhaktapur,27.6742191,85.3899348,3.7,70,0,3,24,35,8,84,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,7,ChIJ1SlnVwAb6zkRfd2FxSvAUSg,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwY_kBbdkaOSwQURNOLb6uP0Hijkyy_LFv6DbH1j982pjnI89JyhedHxlzxUNJcmkN46JquxeUoexet241x9h6ZfiVBlM1VKggt07SQyuOuXnV8sBQu1Dpcu509Hes-fXL2yNWrRjWxf4zv=w408-h544-k-no,"M9FQ+MXM, Bhaktapur, Nepal",,https://www.google.com/maps/search/?api=1&query=90's%20Cafe&query_place_id=ChIJ1SlnVwAb6zkRfd2FxSvAUSg
