name,main_category,category,address,city,lat,lng,rating,reviews_count,reviewsDistribution_oneStar,reviewsDistribution_twoStar,reviewsDistribution_threeStar,reviewsDistribution_fourStar,reviewsDistribution_fiveStar,weekly_hours,imageUrl,url
Genius Chinese Language Institute,Chinese language school,Chinese language school,"Nagpokhari -04, Bhaktapur 44800, Nepal",Bhaktapur,27.6743095,85.4330235,5.0,107,0,0,1,2,104,0.0,https://lh3.googleusercontent.com/p/AF1QipNjHN_DtyBmahJDJpjop7TiWkG--qYpmcTaHioI=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=Genius%20Chinese%20Language%20Institute&query_place_id=ChIJ9_CgCLIa6zkRmyzYeidAse8
Bhaktapur Chinese Language and Culture Center,Chinese language school,Chinese language school,"Dekocha ( In front of Khwopa College, Bhaktapur, Nepal",Bhaktapur,27.6779731,85.4331964,4.0,2,0,0,1,0,1,0.0,https://lh3.googleusercontent.com/p/AF1QipPaJhcKRKQ3J28RYGKOnZtJKygdz2pjTt_Z7uTU=w423-h240-k-no,https://www.google.com/maps/search/?api=1&query=Bhaktapur%20Chinese%20Language%20and%20Culture%20Center&query_place_id=ChIJe5H06VIF6zkR_oN0PBJXimg
Durga Dhakal,After school program,After school program,"PC28+CW4, Unnamed Road, Changunarayan 44600, Nepal",Changunarayan,27.7010207,85.4173131,0.0,0,0,0,0,0,0,0.0,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ge65ARWJ8iTiy43S--zDkA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=270.64294&pitch=0&thumbfov=100,https://www.google.com/maps/search/?api=1&query=Durga%20Dhakal&query_place_id=ChIJT9iSAeUb6zkRTQgPqpx2rhU
Shree Padma Secondary School,Higher secondary school,Higher secondary school,"MCFG+3WW, Bhaktapur 44800, Nepal",Bhaktapur,27.6727274,85.4273205,0.0,0,0,0,0,0,0,36.0,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzk0nyUHn2e4zYdl4rTYDhk6D1adImly3FUdNmsecIS7wqmeYeypjrw3CHbu_AqMwTCOlvmtNBj3cHfkOs8_2C1z_IFouoEy3iF6sATWz9CLjtKFw5A8g_eSBgMbniQRy1-oe87Ww=w408-h544-k-no,https://www.google.com/maps/search/?api=1&query=Shree%20Padma%20Secondary%20School&query_place_id=ChIJjUwh768a6zkR_DqR9AVVMME
Basu seondary school,Higher secondary school,Higher secondary school,"MCHH+7QR, Bhaktapur 44800, Nepal",Bhaktapur,27.6782499,85.429387,0.0,0,0,0,0,0,0,0.0,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxAuDKuRgJ_E-orUtDNRCen1NpG2-ZYQCgy1wtT9WUniM02AmANL9t-_NnsNlii2OG2wl3U6HgfE8yjkFryWLdyCFzanZchR8ZyTAG9XiYDO-6F5wmrPe88dOU5NHXes3AEXVfUKA=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=Basu%20seondary%20school&query_place_id=ChIJsRoV57Aa6zkRDaZT7jT0O0I
Prabhat English Higher Secondary School (Block B),Higher secondary school,Higher secondary school,"MCGJ+F4Q, Bhaktapur 44800, Nepal",Bhaktapur,27.676218,85.4303581,0.0,0,0,0,0,0,0,0.0,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=nhxt5LuBQLu9nCOUSdCoeQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=81.41782&pitch=0&thumbfov=100,https://www.google.com/maps/search/?api=1&query=Prabhat%20English%20Higher%20Secondary%20School%20(Block%20B)&query_place_id=ChIJb26Sr7Ea6zkRqjrIc10kg-g
Sainik Awasiya Mahavidyalaya - Bhaktapur,Higher secondary school,Higher secondary school,"Nagarkot Road, Bhaktapur 44800, Nepal",Bhaktapur,27.6709416,85.4177728,0.0,0,0,0,0,0,0,72.0,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyaGx8PeOoY_TFLUrEeOACoGxYJnvFmRykkTO9j1zmnlrsrAUkDVGRVpDXhU6UyKXzx2C7efjzRYgk5gp7642WzpuWKHrvlkFHMh9nf1wRIp9rgrwmQ8Mt106NLC7G2EF_au9Ev=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=Sainik%20Awasiya%20Mahavidyalaya%20-%20Bhaktapur&query_place_id=ChIJ27G-uqIa6zkRKpecoF2ux0U
Nyatapola Sec. School,Higher secondary school,Higher secondary school,"MCHR+QPR, Bhaktapur 44800, Nepal",Bhaktapur,27.6794887,85.4417511,0.0,0,0,0,0,0,0,0.0,,https://www.google.com/maps/search/?api=1&query=Nyatapola%20Sec.%20School&query_place_id=ChIJVQkCEkwF6zkRtLKHP9F97tA
Adarsha Azad Higher Sec.School,Higher secondary school,Higher secondary school,"MC9J+5QX, Bhaktapur 44800, Nepal",Bhaktapur,27.6679894,85.4319764,0.0,0,0,0,0,0,0,66.0,https://lh3.googleusercontent.com/gps-proxy/ALd4DhFbHTqQ3u7DW5QP54VuyASfpzhoIQDbW9fPx463glp_8xm_rFyi2O_L-xM0qXYUD7r7A1ODcFIz1j56pde7KHegNfxqOemcZcdKJPPg19Md5wNVFdZwGS1c0v9Ep4aTKFWhhCS67zFYcsref_ZYoyeTv2WZAfpXjBgwqOd0b4E6kt1aoqC0XJEIVqugUStYDOcrRqY=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=Adarsha%20Azad%20Higher%20Sec.School&query_place_id=ChIJw52IU6ka6zkR1YC7bTHlnMA
Shree Changu Narayan Higher Sec. School.,Higher secondary school,Higher secondary school,"44600, Bhaktapur 44802, Nepal",Bhaktapur,27.7049951,85.4180073,0.0,0,0,0,0,0,0,107.5,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxgrlRWfziXaexVJv0r6vF3qShVoz7zj1q9fBMk68X5P5W_spOAPFMImpfVQAadOqD6BsX-G6hOAZTVvvPKo1cafVM5RDouQmwWMkqJHG2iplM9u0HGoOaD5P-IPyHvLS-4KzN7Gw=w408-h544-k-no,https://www.google.com/maps/search/?api=1&query=Shree%20Changu%20Narayan%20Higher%20Sec.%20School.&query_place_id=ChIJNeFsNt4a6zkRlDcBR-fkqbE
सुर्यदीप माध्यमिक बिद्यालय,Higher secondary school,Higher secondary school,"MC97+F4R, Araniko Highway, Suryabinayak 44800, Nepal",Suryabinayak,27.6687352,85.4127801,0.0,0,0,0,0,0,0,48.0,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxwvyxX5vHqOe_nrWQVOuq6Z4db80RUfwHR8TLfdmusLdCKb95IS7cYjDBoiRZc1UF24BYgxeEmb3RbSIT4IWRQoJvh57N9qsQyHtFgChN0eWFRP9HKfHQKeXZF9BcqWo8EUhYA6w=w427-h240-k-no,https://www.google.com/maps/search/?api=1&query=%E0%A4%B8%E0%A5%81%E0%A4%B0%E0%A5%8D%E0%A4%AF%E0%A4%A6%E0%A5%80%E0%A4%AA%20%E0%A4%AE%E0%A4%BE%E0%A4%A7%E0%A5%8D%E0%A4%AF%E0%A4%AE%E0%A4%BF%E0%A4%95%20%E0%A4%AC%E0%A4%BF%E0%A4%A6%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%B2%E0%A4%AF&query_place_id=ChIJNfr4Q5ka6zkRIkaQnZ-DX3k
Modern English Secondary School,Higher secondary school,Higher secondary school,"MCG4+34F, Bhaktapur 44800, Nepal",Bhaktapur,27.675192,85.4052924,0.0,0,0,0,0,0,0,161.0,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyvQ4zKPOh69PUoRrpcicZ0pG0FY0djm9LzEFK5X5wJOm041OrnbaZVeiO-r3ultDZG5hsqnlAiRnSNRIkjZpa9nVKAWMbZP58691Vi3Utpl6d1mk8bI_DER7whxlPZQLqssTYg7hwHWh8=w408-h272-k-no,https://www.google.com/maps/search/?api=1&query=Modern%20English%20Secondary%20School&query_place_id=ChIJs7vFxycb6zkR23X6ONZjEXc
Serene Ken English School,English language school,English language school,"MCHH+6RQ, Mandev Marg, Bhaktapur 44800, Nepal",Bhaktapur,27.6780972,85.4296057,3.0,2,1,0,0,0,1,0.0,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwBOXZ-PX4tKBqQnWdI1R-o755ClhERY6dp1sshEEpb9pDoPs_SDZf72mizlbSbEET9xThq1i9_lo6IqzM7DgQDvlRLiK79wHRqqU7oTbxm6LG6gcLxtrq6HeU2c37a_FchvMM=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=Serene%20Ken%20English%20School&query_place_id=ChIJjdSh4bAa6zkRYjCGCBwTgbM
Shree Deep Saraswoti English Sec. School,English language school,English language school,"PC2R+FFM, Changunarayan, Nepal",Changunarayan,27.7012036,85.4411606,0.0,0,0,0,0,0,0,51.0,,https://www.google.com/maps/search/?api=1&query=Shree%20Deep%20Saraswoti%20English%20Sec.%20School&query_place_id=ChIJ7wydzKMF6zkRINQMMXNF7N8
Future Star English Secondary School,English language school,English language school,"MC5J+WH2 Khapi, Suryabinayak 8, Nepal",Suryabinayak,27.6597613,85.4314027,4.0,4,0,0,0,0,0,0.0,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=nbWzPt8R7-btXh-2K5EKcA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=263.33856&pitch=0&thumbfov=100,https://www.google.com/maps/search/?api=1&query=Future%20Star%20English%20Secondary%20School&query_place_id=ChIJFecZAtgR6zkRczmz048jVVg
Kathmandu World School,International school,International school,"MC37+F6G, Surya Binayak - 7, F099, Anantalingeshwar, Nepal",Anantalingeshwar,27.6529379,85.4133508,0.0,0,0,0,0,0,0,43.0,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzIkJ1GRwjqNo98yFlErURajLTH6RFJu1VUhw5WKi7UYMWiZ1QWGSqsic2fzqx6g0FZHfKeasijg6iYoZPpT0w_9-Gu6NcT_XNrLb2_EhUHJzuZUIjK6VJOsLXZSNQgLCOqCquO=w408-h271-k-no,https://www.google.com/maps/search/?api=1&query=Kathmandu%20World%20School&query_place_id=ChIJj2EGAnMQ6zkR23OCDwST_kU
Glory English Secondary School,International school,International school,"MCH2+GC, Ajima Marga, Madhyapur Thimi, Nepal",Madhyapur Thimi,27.6788125,85.4010625,0.0,0,0,0,0,0,0,39.0,https://lh3.googleusercontent.com/p/AF1QipOTHVbQs_zKDdBV0AZAgf5xkvG6ZlOpqViWd0C5=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=Glory%20English%20Secondary%20School&query_place_id=ChIJdcPsLooa6zkR2z7Z2yAOMFA
Mainpoint Computer Institute,Computer training school,Computer training school,"MCCH+8MV, टौमदि सडक, Bhaktapur 44800, Nepal",Bhaktapur,27.6708666,85.4291646,4.0,2,0,0,0,0,0,90.0,https://lh3.googleusercontent.com/gps-proxy/ALd4DhHJZpDhus5joevwufMJFYruBl4cqN5kTjaC_yiEPKKHPmLLRUBNowdSGZWeR12ME1Va7sYtSyDJqHj91Sw_K10vczlkpkYC1ImGnn0rrDvELtUH2OJeex9YEoQD1ur_mzQhe06cEpIWMgIhXU_BbiXoaTINGCkHMrRtWt1Jh393OIfHiWIpyCWu8rfyLG4Zd4P5ggc=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=Mainpoint%20Computer%20Institute&query_place_id=ChIJY0fEB68a6zkR9-5lSOYIOjU
Helens Computer Institute,Computer training school,Computer training school,"Nagarkot Highway, Kamalbinayak, Bhaktapur Municipality #4, Bhaktapur, 44601, Nepal, Bhaktapur, Nepal",Bhaktapur,27.6774297,85.4374605,5.0,2,0,0,0,0,0,91.0,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy4zv7Mq_KLw7Igfg2dDW9FrXwojuABQYMcYas2J8ytx4Uq6Sxks31m0AA6v7jWpzxv2kuBv5ZXdo94CkfFnG2OYf4joBWWq2R4ii2_iv9fpwb2i-3FD1NAgEBvpbsrT9glqJFW=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=Helens%20Computer%20Institute&query_place_id=ChIJ8_8-K7Ma6zkRSyu5sp13Ss0
