name,main_category,category,address,city,lat,lng,rating,reviews_count,reviewsDistribution_oneStar,reviewsDistribution_twoStar,reviewsDistribution_threeStar,reviewsDistribution_fourStar,reviewsDistribution_fiveStar,weekly_hours,imageUrl,url
Dr. Iwamura Memorial Hospital (DRIM HOSPITAL),Private hospital,Private hospital,"Nagarkot Road, Bhaktapur 44800, Nepal",Bhaktapur,27.6724669,85.4118049,4.3,148,0,0,0,0,0,168.0,https://lh3.googleusercontent.com/p/AF1QipODt4YhQnoDmMddyqHKhc9gKFDHopoVTlF-JnO6=w408-h272-k-no,https://www.google.com/maps/search/?api=1&query=Dr.%20Iwamura%20Memorial%20Hospital%20(DRIM%20HOSPITAL)&query_place_id=ChIJm-JxHZoa6zkRtWVwj5yVmDQ
Puspa Curd Factory,Health food store,Health food store,"MCFH+5R9, Bhaktapur 44800, Nepal",Bhaktapur,27.6729058,85.4296225,0.0,0,0,0,0,0,0,0.0,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=xFN8uvCBQOzl41sMDPYnRw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=310.327&pitch=0&thumbfov=100,https://www.google.com/maps/search/?api=1&query=Puspa%20Curd%20Factory&query_place_id=ChIJy7BjzK8a6zkRtPwnHL6QHpo
Pasa Veterinary Clinic (Dr. Ram Gopal Kayastha),Veterinary pharmacy,Veterinary pharmacy,"Bidhyarthi Niketan Higher Secondary School, Bhaktapur 44800, Nepal",Bhaktapur,27.6720639,85.4295029,4.2,22,0,0,0,0,0,70.0,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyGqVzf_wvbLn9SN6TaOCmaGhmEXIEEQx8VedKWa3ST0_DLqXlxq3LaRbguuqVG-ieZfvItehPnPHr4XDD3one7YrM1KohGG9fKfQHpXt7qRrCt9-pH0DTz_7ij8T8aLc9xsR4w=w426-h240-k-no,https://www.google.com/maps/search/?api=1&query=Pasa%20Veterinary%20Clinic%20(Dr.%20Ram%20Gopal%20Kayastha)&query_place_id=ChIJ_YqIKBUb6zkRcaN35UvAh2w
Laxmi Vet Pharma,Veterinary pharmacy,Veterinary pharmacy,"Golmadhi-7, 44600, Nepal",Bhaktapur,27.6725839,85.4322696,0.0,0,0,0,0,0,0,0.0,https://lh3.googleusercontent.com/gps-proxy/ALd4DhH94yaARabCuLWNzNO97WeDWLCc7IkgmOLQ35ZuVce1TZgSbq8Xd97IgCgnmX-4VH68AVnaUX9GG4LJIUzxIbUAAq37rGGZygwK4UHoDZg1na0XvMd9pgIU_sKuFAzCDq9ng0vihSBYnkjrTfKvT3iN6T9F-zzRH2e5cA8prICZWUHTfxmSvdUXpHznPe4MvboWA8E=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=Laxmi%20Vet%20Pharma&query_place_id=ChIJ_3XQmtob6zkR5dLGDaTeswE
Ujjwal Veterinary Clinic,Veterinary pharmacy,Veterinary pharmacy,"MCCQ+G7C, Jagati-KamalBinayak Rd, Bhaktapur 44800, Nepal",Bhaktapur,27.6713042,85.4381391,3.7,7,1,1,0,2,3,81.08,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSytNbacV8YJOLCKfgBgc_eZpzLO3rjXySxV-ULj0gv0DE9unFxJuAlBkFgEPaXT0D2god1r0qg7EPLyXLzs9H_Evl2HVWE5_d-skOfHBT9daEdHKuP7BrDYAeKml-cWbbL55NdV=w426-h240-k-no,https://www.google.com/maps/search/?api=1&query=Ujjwal%20Veterinary%20Clinic&query_place_id=ChIJo4XU11IF6zkRHCh2RT35khU
Bhaktapur Pharmacy,Pharmacy,Pharmacy,"MCFH+4XW, Tripurasundari Marg, Bhaktapur 44800, Nepal",Bhaktapur,27.6728707,85.4299399,3.8,4,0,0,2,1,1,105.0,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyTkkqXwH6rgDjch3hcwvMZ_K52H5OcSv8hAR8Cr8EBT2qxvmGErmO2AiHceTXqqHGVt3a0ErbtCXYa5n_puyGhMCia5iKk5w87IonxMHAsCWsLrDOzpAU4mRSDFn60yDqPKx0j=w408-h725-k-no,https://www.google.com/maps/search/?api=1&query=Bhaktapur%20Pharmacy&query_place_id=ChIJIW5eM64a6zkRF5gbdKnE_ig
Rasu Pharmacy,Pharmacy,Pharmacy,"MCCF+MHQ, भक्तपुर मार्ग, Bhaktapur 44800, Nepal",Bhaktapur,27.6717227,85.4239698,4.0,1,0,0,0,1,0,91.0,https://lh3.googleusercontent.com/gps-proxy/ALd4DhH0OQV-IkjR2NZAD9hPdpqLh1EbMGXoRY05qBD6xh4X4xQfPlcpL-UlEUgXsmLakAoHEdfBaUqc6MQpKPsUA2h5MU9DpbCqpVQaAfobzJibe-MaWgpCpmFlv74DdQFPQTOW_AiD84bgOwB4BrIinX5-e4qR56NLBrnybjAljPN1KDDpBowTkvjmpHFbP9c4SGlHtA=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=Rasu%20Pharmacy&query_place_id=ChIJKZ-c76Qa6zkRyKkk9aipq7o
Washa medicare pvt.ltd,Pharmacy,Pharmacy,"MCFF+F54, Siddhapokhari 44800, Nepal",Siddhapokhari,27.6736341,85.4229661,0.0,0,0,0,0,0,0,0.0,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=OSwNfbhhMd8RliIwAjy9vA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=86.51079&pitch=0&thumbfov=100,https://www.google.com/maps/search/?api=1&query=Washa%20medicare%20pvt.ltd&query_place_id=ChIJu7vdTQAb6zkRq7vzlcXqr4M
Shakya Clinic शाक्य क्लिनिक,Pharmacy,Pharmacy,"6 Inacho - Hanumanghat Rd, Bhaktapur 44800, Nepal",Bhaktapur,27.671883,85.4344014,4.0,2,0,0,0,0,0,0.0,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=YaNnuWTvLgekJDaTYwYl3g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=86.162636&pitch=0&thumbfov=100,https://www.google.com/maps/search/?api=1&query=Shakya%20Clinic%20%E0%A4%B6%E0%A4%BE%E0%A4%95%E0%A5%8D%E0%A4%AF%20%E0%A4%95%E0%A5%8D%E0%A4%B2%E0%A4%BF%E0%A4%A8%E0%A4%BF%E0%A4%95&query_place_id=ChIJ_YRWrq0a6zkReRL0aBOkbhI
Jiwanta Pharmacy,Pharmacy,Pharmacy,"MCCF+HHP, Bhaktapur 44800, Nepal",Bhaktapur,27.6714716,85.4239454,5.0,1,0,0,0,0,0,84.0,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=EXV0qOdy9H4yHayPxaWSbA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=185.05487&pitch=0&thumbfov=100,https://www.google.com/maps/search/?api=1&query=Jiwanta%20Pharmacy&query_place_id=ChIJda2nNLUb6zkRdLXxQOtkoQo
