name,main_category,category,address,city,lat,lng,rating,reviews_count,imageUrl,phone,url
Jhaur Bahi (Mangal Dharmadeep Mahavihar),Buddhist temple,Buddhist temple,"MCCM+W7R, Bhaktapur 44800, Nepal",Bhaktapur,27.6723509,85.4331308,4.8,19,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz8Nk6FS86T3BnYnDsDXxKKQpTz2enaNiBK2hNbjkJ8WU_OCNyE81Whn5LkoXYDcsW9UuC8-EH7trIXUyLnbHtV2CqhdV42NqNkg8V1MN6o94ZZYmCk9q_CCa_imqTe18E7dog=w408-h306-k-no,,https://www.google.com/maps/search/?api=1&query=Jhaur%20Bahi%20(Mangal%20Dharmadeep%20Mahavihar)&query_place_id=ChIJ99jgwq0a6zkRRj3EwTVbA-I
YAAN Vihar (याँ बिहार),Buddhist temple,Buddhist temple,"MCGP+922, Kwathandau Tole, Bhaktapur 44800, Nepal",Bhaktapur,27.6758948,85.4350299,5,5,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx2rZb9k41W8owC8W5D0L0XM-v8tl0sDi8WArA3y8rq39ohwRBzl1yGsNBa-lS2QYpFUfOBK7vGAiaYkip6c6HI1hO8TDzPsPXWqMr5jx-kBWX_gU6ooHl0LLnqj4DE30m5Fc0M=w408-h306-k-no,,https://www.google.com/maps/search/?api=1&query=YAAN%20Vihar%20(%E0%A4%AF%E0%A4%BE%E0%A4%81%20%E0%A4%AC%E0%A4%BF%E0%A4%B9%E0%A4%BE%E0%A4%B0)&query_place_id=ChIJ3c3k9bIa6zkREKaXLduRqUE
Dipankar Vihar,Buddhist temple,Buddhist temple,"MCFM+XP3, Kwathandau Tole, Bhaktapur 44800, Nepal",Bhaktapur,27.674884,85.4343098,4.7,29,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzmKzoO1e0gJ4-cTq1DA5tw2b3Aqpcqxksvb5i097tjv1C1cXKJyyWkgBilMBezaLFBApxw1V3aBA8xKJfhyCFr-IDZ6-_VLRjOU_o5YTrmtjoMTETiFbLvRgBGqPSBRIxPxY5VMw=w426-h240-k-no,,https://www.google.com/maps/search/?api=1&query=Dipankar%20Vihar&query_place_id=ChIJgYOQh7Ia6zkRvpEI5dA5uYM
Indravarna Mahavihara (Inacho Baha),Buddhist temple,Buddhist temple,"इनाचो मार्ग, Bhaktapur 44800, Nepal",Bhaktapur,27.6721262,85.4342487,4.4,14,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxvQG5_4r4Gn1uL57Zmg5MhD-ERJ6oDNMq3C7BRzc10MMBOfDG7R3M-Kf7faOBWIgC22vDhu0kranMdWmjsEYt_PIwYJozEBaN2hRx4x2_GutZ5ErDp-hJNskBZ4aczt4n2qlTo=w408-h272-k-no,,https://www.google.com/maps/search/?api=1&query=Indravarna%20Mahavihara%20(Inacho%20Baha)&query_place_id=ChIJt3llu60a6zkR72lsG_tVvQg
Prashanasil Mahabihar,Buddhist temple,Buddhist temple,"MCFM+RMR, Bhaktapur 44800, Nepal",Bhaktapur,27.674612,85.4341282,4.8,4,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxfWmkiBXnQEwzgqNUarQJuxbzIAvkzL9yOy6gzoZbANr9TOHrAqLnU9GWPB6AEBzspWisFgGb4MsgGCPI7L0tYP-ZzcEyWV89ToUBNvUOhaVFMzsnvd3FU36puMaY6BeolLo7r=w408-h544-k-no,,https://www.google.com/maps/search/?api=1&query=Prashanasil%20Mahabihar&query_place_id=ChIJh278cLIa6zkR6T0r2auAv-Q
Taumadhi Dabu (Tamari Dabu),Buddhist temple,Buddhist temple,"MCCH+9QX, Unnamed Road, 44800, Nepal",Bhaktapur,27.670996,85.4294692,5,10,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy9uf0R1QExpQithkbdibIaYZ1Rc8aZVFga9oQdSO69TTw7Vt5JFanjEdpL7jj6xHxlG0hkX7oH-6331jDTQ1w8oVOcWsV5s7ycbgN5j35mjibLW9s5opjngz40pSbMWd-n0VsA=w408-h306-k-no,,https://www.google.com/maps/search/?api=1&query=Taumadhi%20Dabu%20(Tamari%20Dabu)&query_place_id=ChIJmVaqY7Ub6zkRzWkzV1EdHj8
Subarna Mahavihar,Buddhist temple,Buddhist temple,"MCFJ+2JC, Bhaktapur 44800, Nepal",Bhaktapur,27.6725635,85.4315305,4.8,8,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzc68S_6bT1vWsaMIR_QA0WIRp7nxoRr5lwT0tiW_b1p8iP5_-SAhwdCXVV5gSqwcolrArV2aeBz8AN9l7VUK2L8qSj5UmdY44lGp0oLVAx1nX0FvEcWzQ67Mum1tJ9dsqiACKO=w408-h544-k-no,,https://www.google.com/maps/search/?api=1&query=Subarna%20Mahavihar&query_place_id=ChIJh7zJbK4a6zkRLwUcjQty1gQ
Manjuvarna Mahavihar,Buddhist temple,Buddhist temple,"MCFM+WH4 Bekhal Tole, Bhaktapur 44800, Nepal",Bhaktapur,27.6747634,85.4339378,4.8,4,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzklaA435oU4yp51xgUIUqU94U83Nu27Z2NE1zx1cUT7BO10W17iZTqaaeh5GjKpAUk8sA6oEFuwVXvxlbZaJDNlToVOzBV0X1njDMI2AJBlDpfEEqRc_OB-O0KHklreS3lNGfy=w408-h544-k-no,,https://www.google.com/maps/search/?api=1&query=Manjuvarna%20Mahavihar&query_place_id=ChIJVyoDcrIa6zkRw8l_gdVqlV4
Pasu Mahabihar,Buddhist temple,Buddhist temple,"Kathmandu 44800, Nepal",Kathmandu,27.6746988,85.4342383,5,1,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwTagLcd_Ldtd7Xiw-A0eZzUvOqsgtYEKp644hpOW3kb_9FmQ-sgbOpbv7Y__8o7cnVIgZFTPxzwTcudf03z4oA9uZsC7iND-5wqt0UIkR6feqfaRHTCHtG3bajeUB0Rc_tIpC9=w408-h306-k-no,,https://www.google.com/maps/search/?api=1&query=Pasu%20Mahabihar&query_place_id=ChIJize5RgAb6zkRmRvI-tsHTkU
चतुब्रह्म महाविहार (Chatubramha Mahavihar),Buddhist temple,Buddhist temple,"MCCH+PPV, Bhaktapur 44800, Nepal",Bhaktapur,27.6718526,85.4292919,4.3,6,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwAYszYRisWonIrcVyflGKUf0NhN5tl90aCtbfrfOqNaWWktzD3tGJDiQ_CwSnMjRu1hYPuYTcNbbHB7jic3JZyR_2WKr35VsYl71XIogKTKGJ8056QMcT6uqSpKv5WVfQ3B2RS2g=w408-h528-k-no,,https://www.google.com/maps/search/?api=1&query=%E0%A4%9A%E0%A4%A4%E0%A5%81%E0%A4%AC%E0%A5%8D%E0%A4%B0%E0%A4%B9%E0%A5%8D%E0%A4%AE%20%E0%A4%AE%E0%A4%B9%E0%A4%BE%E0%A4%B5%E0%A4%BF%E0%A4%B9%E0%A4%BE%E0%A4%B0%20(Chatubramha%20Mahavihar)&query_place_id=ChIJjeJSsK8a6zkRvmTcV80yWAw
