name,lat,lng,category,subcategory_weight,final_weight,rank,filled_rank
Genius Chinese Language Institute,27.6743095,85.4330235,Chinese language school,0.7,0.5304181019929097,61,61.0
Bhaktapur Chinese Language and Culture Center,27.6779731,85.4331964,Chinese language school,0.7,0.30666089268834384,68,68.0
Durga Dhakal,27.7010207,85.4173131,After school program,0.5,0.1794871794995069,26,26.0
Shree Padma Secondary School,27.6727274,85.4273205,Higher secondary school,1.0,0.35714285716496597,14,14.0
Basu seondary school,27.6782499,85.429387,Higher secondary school,1.0,0.3418803418886697,39,39.0
Prabhat English Higher Secondary School (Block B),27.676218,85.4303581,Higher secondary school,1.0,0.3402777777845776,48,48.0
Sainik Awasiya Mahavidyalaya - Bhaktapur,27.6709416,85.4177728,Higher secondary school,1.0,0.3397435897498767,52,52.0
Nyatapola Sec. School,27.6794887,85.4417511,Higher secondary school,1.0,0.3666666666966667,10,10.0
Adarsha Azad Higher Sec.School,27.6679894,85.4319764,Higher secondary school,1.0,0.3401360544284326,49,49.0
Shree Changu Narayan Higher Sec. School.,27.7049951,85.4180073,Higher secondary school,1.0,0.4166666667291667,4,4.0
सुर्यदीप माध्यमिक बिद्यालय,27.6687352,85.4127801,Higher secondary school,1.0,0.36111111113657407,12,12.0
Modern English Secondary School,27.675192,85.4052924,Higher secondary school,1.0,0.37500000003645834,8,8.0
Serene Ken English School,27.6780972,85.4296057,English language school,0.5,0.24104464619076063,56,56.0
Shree Deep Saraswoti English Sec. School,27.7012036,85.4411606,English language school,0.5,0.5,1,1.0
Future Star English Secondary School,27.6597613,85.4314027,English language school,0.5,0.3502416901007696,4,4.0
Kathmandu World School,27.6529379,85.4133508,International school,1.0,0.3666666666966667,10,10.0
Glory English Secondary School,27.6788125,85.4010625,International school,1.0,0.3666666666966667,10,10.0
Mainpoint Computer Institute,27.6708666,85.4291646,Computer training school,0.8,0.36842559859586693,10,10.0
Helens Computer Institute,27.6774297,85.4374605,Computer training school,0.8,0.35731448747549654,15,15.0
World Vision Computer Institute,27.6654637,85.4232435,Computer training school,0.8,0.3786511844136447,13,13.0
C.Net Computer Education,27.6659903,85.4258603,Computer training school,0.8,0.4059858263682354,34,34.0
Graphika Academy,27.6674447,85.4267293,Computer training school,0.8,0.43069501658307874,36,36.0
