name,lat,lng,category,banks_count_1km,banks_weight_1km,education_count_1km,education_weight_1km,health_count_1km,health_weight_1km,temples_count_1km,temples_weight_1km,other_count_1km,other_weight_1km,cafe_weight,poi_composite_score
Alphabet Pizzeria,27.6722963,85.4241239,Restaurant,63,31.020315348743225,177,56.40978655223312,169,70.64543114896001,248,103.16617145500541,122,47.17576210355532,1.0,3.8681108354474123
Aalucha,27.6715487,85.4283565,Fast food restaurant,65,31.445596253098525,179,57.04556722428763,175,73.4429654247424,249,103.23970031127408,123,47.89547161012417,0.9649445039221469,3.8547604082584366
Namaste Restaurant,27.6713046,85.4294878,Family restaurant,65,31.445596253098525,176,55.916468521948126,177,74.82108390705869,250,103.75217991884816,126,49.061864093765735,0.8898721520618155,3.8108524043691014
Himalayan Java Coffee - Bhaktapur,27.6708631,85.4292379,Coffee shop,65,31.445596253098525,177,56.32142235657132,176,74.15441724039204,250,103.61803735084452,127,49.451563149264345,0.8840938648478681,3.8085902014473083
Aamako Bara Pasal,27.6719045,85.4294079,Restaurant,65,31.445596253098525,174,55.450820701005426,178,75.06284846567736,251,104.18911503337115,126,49.061864093765735,0.8821900303266748,3.8015397315730666
Balakhu Food Point,27.6728194,85.4293616,Restaurant,64,31.102161909654388,173,55.02496591829111,176,73.68472998336107,247,102.57252485498859,125,48.826011192184296,0.9079256220675673,3.795801439908419
Muglan Hotel & Thakali Restaurant,27.6728125,85.4289375,Restaurant,65,31.445596253098525,176,56.319712441479474,175,73.29783957121167,248,102.92177986126039,124,48.409344525455126,0.8884699411620285,3.7895705449946546
The Pottery Cafe and bar,27.6697144,85.4276931,Restaurant,64,30.82748492990018,181,58.02287426195254,171,71.41646268493588,253,105.16291245741832,123,47.74772225332261,0.9087342741966774,3.7893680607186466
Sha-Jhya Cafe & Funkey Delights,27.6719183,85.4296154,Cafe,65,31.445596253098525,174,55.450820701005426,178,75.06284846567736,249,103.44902555071742,126,49.061864093765735,0.8695875907791243,3.787960993266111
Vajra Boutique Hotel,27.6726197,85.4295217,Restaurant,64,31.102161909654388,173,55.02496591829111,176,73.68472998336107,247,102.57252485498859,125,48.826011192184296,0.8898721520618155,3.7803079248925866
Everest MoMo,27.671336,85.4300794,Fast food restaurant,64,31.102161909654388,176,56.00535741079294,178,75.06284846567736,250,103.68587715157099,126,49.061864093765735,0.8514598381892222,3.7694331532075838
Hotel Empire & Rooftop Restaurant,27.6716687,85.4293462,Restaurant,65,31.445596253098525,176,56.06410786899841,176,74.23151360900944,250,103.72717991883128,126,49.061864093765735,0.8472230527975119,3.763756981314243
Coffee in Style,27.6713463,85.4300451,Cafe,64,31.102161909654388,176,56.00535741079294,178,75.06284846567736,250,103.68587715157099,126,49.061864093765735,0.8400240270437798,3.7553476412513453
The Garuda Bar,27.6707963,85.4288518,Bar,65,31.445596253098525,180,57.25371537253624,176,74.15441724039204,249,103.26248179526823,124,48.131324511705614,0.8386351713449827,3.744035829026972
Matina Cafe,27.6715049,85.4298364,Cafe,64,31.102161909654388,176,56.00535741079294,178,75.06284846567736,249,103.4585594777584,126,49.061864093765735,0.8256215064178021,3.7401167654267518
The Golden Eyes Restaurant & Cafe,27.6715495,85.429344,Restaurant,65,31.445596253098525,175,55.697441202301746,176,74.23151360900944,250,103.75217991884816,126,49.061864093765735,0.8247785754157193,3.73568572431307
बर्गर हाउस,27.6727151,85.4258303,Cafe,64,30.82748492990018,174,56.19623499396395,171,71.37211427524545,250,103.96874268060793,122,47.38489393036072,0.8681987350803272,3.715159397200953
khwapa chhen Guest House and Restaurant,27.6721267,85.4273216,Restaurant,65,31.445596253098525,179,57.20368613601872,173,72.1029376864972,248,102.86548384452337,125,48.7888743693594,0.8185883260766627,3.7091389449407877
The 1990 Yummy Laphing & Momo Center,27.6692533,85.4250107,Asian restaurant,58,28.188504179569478,176,56.17968747385036,159,66.9861814375861,252,105.31532619361712,123,47.37706302521121,0.9019990842073822,3.7003365324642
JUJU CAFE,27.6726179,85.4292028,Cafe,65,31.445596253098525,175,55.911286842907074,176,73.68472998336107,248,102.92808041056486,125,48.826011192184296,0.7960579426824574,3.6987490162502503
Coffee Klatch,27.6700445,85.4282604,Coffee shop,64,30.82748492990018,178,56.82593759467967,173,72.62180091377863,251,104.39504519696617,126,48.865666424305374,0.8108035826221174,3.696086412173841
Mayur Restaurant,27.6733621,85.434938,Restaurant,60,29.837278414541203,160,51.721810309495865,169,71.86792026170944,242,100.70543667939283,119,46.91489620433231,0.918737981098487,3.6937344494085202
Madhikarmi JuJu Dhau Center,27.6727945,85.431531,Dessert restaurant,64,31.102161909654388,172,55.54452295536807,178,74.97902209452222,244,101.49817116362298,123,48.22972123653432,0.798529797013814,3.6874737112757616
Newa Lahana Bhaktapur & Hotel,27.6722545,85.4308109,Restaurant,64,31.102161909654388,173,55.1727695359009,179,75.6456887611889,247,102.55046603144118,124,48.471387903237435,0.7775541147309986,3.683192590918625
The Nanee,27.6727318,85.4257091,Cafe,64,30.82748492990018,172,55.48313975582756,170,71.19503094190202,250,103.96874268060793,122,47.38489393036072,0.8312639785228243,3.6797308828670143
Restaurant Tusa,27.6736992,85.4334327,Restaurant,62,30.609819567287445,164,53.33646733052646,174,73.58849527436638,244,101.46201361124173,119,46.728390731796246,0.8427248068994612,3.663935660033509
D'Ja Cafe & Sports Bar with Rooftop Restaurant,27.6719349,85.4300687,Sports bar,64,31.102161909654388,173,55.02496591829111,178,75.06284846567736,247,102.55046603144118,126,49.061864093765735,0.7571165361421976,3.661851342684556
